№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Mental status assessment,Да,состояние,принцип нейронной пластичности,эндогенные/экзогенные,уникальный
2,Psychological testing,Нет,состояние,принцип духовного развития,индивидуальные/коллективные,уникальный
3,Diagnostic formulation,Условно,состояние,принцип клинической эффективности,явные/латентные,уникальный
4,Case conceptualization,Нет,состояние,принцип духовного развития,дискретные/континуальные,аналогичен другим
5,Therapeutic alliance building,Условно,состояние,принцип когнитивной экономии,эндогенные/экзогенные,аналогичен другим
6,Cognitive behavioural therapy,Нет,состояние,принцип индивидуальных различий,явные/латентные,уникальный
7,Exposure therapy,Нет,состояние,принцип клинической эффективности,индивидуальные/коллективные,уникальный
8,Psychodynamic interpretation,Условно,состояние,принцип духовного развития,индивидуальные/коллективные,уникальный
9,Humanistic counseling,Да,состояние,принцип духовного развития,эндогенные/экзогенные,уникальный
10,Family systems therapy,Да,состояние,принцип развития,мгновенные/постепенные,аналогичен другим
11,Group therapy facilitation,Нет,состояние,принцип памяти,цикличные/каскадные,аналогичен другим
12,Pharmacotherapy management,Условно,состояние,принцип развития,явные/латентные,аналогичен другим
13,Crisis intervention,Нет,состояние,принцип социальной взаимности,явные/латентные,аналогичен другим
14,Risk assessment,Нет,состояние,принцип памяти,индивидуальные/коллективные,аналогичен другим
15,Suicide prevention planning,Нет,состояние,принцип памяти,дискретные/континуальные,аналогичен другим
16,Addiction counseling,Условно,состояние,принцип памяти,явные/латентные,аналогичен другим
17,Trauma‑focused therapy,Нет,состояние,принцип осознанности,эндогенные/экзогенные,аналогичен другим
18,Mindfulness intervention,Условно,состояние,принцип эмоциональной гомеостаза,институциональные/неформальные,аналогичен другим
19,Acceptance and commitment therapy,Нет,состояние,принцип памяти,дискретные/континуальные,аналогичен другим
20,Motivational interviewing,Условно,состояние,принцип восприятия,необходимые/возможные,аналогичен другим
21,Biofeedback training,Да,состояние,принцип социальной взаимности,институциональные/неформальные,аналогичен другим
22,Stress reduction techniques,Условно,состояние,принцип когнитивной экономии,дискретные/континуальные,аналогичен другим
23,Psychoeducation,Да,состояние,принцип эмоциональной гомеостаза,явные/латентные,аналогичен другим
24,Relapse prevention,Условно,состояние,принцип восприятия,мгновенные/постепенные,аналогичен другим
25,Symptom monitoring,Условно,состояние,принцип эмоциональной гомеостаза,дискретные/континуальные,аналогичен другим
26,Progress evaluation,Да,состояние,принцип духовного развития,индивидуальные/коллективные,уникальный
27,Treatment adherence promotion,Условно,состояние,принцип памяти,цикличные/каскадные,аналогичен другим
28,Therapeutic termination,Да,состояние,принцип духовного развития,эндогенные/экзогенные,аналогичен другим
29,Self‑help facilitation,Да,состояние,принцип развития,дискретные/континуальные,аналогичен другим
30,Case management,Условно,состояние,принцип социальной взаимности,индивидуальные/коллективные,аналогичен другим
31,Psychoanalytic therapy,Нет,состояние,принцип клинической эффективности,необходимые/возможные,аналогичен другим
32,Behavior modification,Нет,состояние,принцип клинической эффективности,цикличные/каскадные,уникальный
33,Cultural competency integration,Условно,состояние,принцип эмоциональной гомеостаза,цикличные/каскадные,аналогичен другим
34,Positive psychology techniques,Нет,состояние,принцип индивидуальных различий,институциональные/неформальные,уникальный
35,Art therapy application,Условно,состояние,принцип клинической эффективности,дискретные/континуальные,уникальный
36,Play therapy,Нет,состояние,принцип восприятия,цикличные/каскадные,аналогичен другим
37,Assessment feedback,Условно,состояние,принцип социальной взаимности,необходимые/возможные,аналогичен другим
38,Interdisciplinary collaboration,Да,состояние,принцип эмоциональной гомеостаза,индивидуальные/коллективные,уникальный
39,Neuropsychological evaluation,Нет,состояние,принцип мотивационного баланса,мгновенные/постепенные,аналогичен другим
40,Holistic wellness planning,Да,состояние,принцип мотивационного баланса,необходимые/возможные,аналогичен другим
41,Sleep hygiene education,Да,состояние,принцип восприятия,мгновенные/постепенные,аналогичен другим
42,Cognitive restructuring,Нет,состояние,принцип восприятия,институциональные/неформальные,аналогичен другим
43,Coping skill training,Нет,состояние,принцип развития,эндогенные/экзогенные,уникальный
44,Emotion regulation skills,Нет,состояние,принцип когнитивной экономии,институциональные/неформальные,уникальный
45,Self‑monitoring training,Условно,состояние,принцип развития,цикличные/каскадные,аналогичен другим
46,Assertiveness training,Да,состояние,принцип духовного развития,явные/латентные,аналогичен другим
47,Interpersonal therapy,Да,состояние,принцип осознанности,мгновенные/постепенные,аналогичен другим
48,Behavioral activation,Условно,состояние,принцип духовного развития,институциональные/неформальные,уникальный
