№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Awareness of self,Да,состояние,принцип мотивационного баланса,институциональные/неформальные,аналогичен другим
2,Awareness of environment,Да,состояние,принцип восприятия,мгновенные/постепенные,аналогичен другим
3,State monitoring,Да,состояние,принцип развития,мгновенные/постепенные,аналогичен другим
4,Lucid dreaming initiation,Да,состояние,принцип индивидуальных различий,дискретные/континуальные,аналогичен другим
5,Mindfulness practice,Да,состояние,принцип памяти,необходимые/возможные,уникальный
6,Meditative absorption,Условно,состояние,принцип осознанности,необходимые/возможные,аналогичен другим
7,Introspection,Да,состояние,принцип осознанности,эндогенные/экзогенные,аналогичен другим
8,Attention focusing,Условно,состояние,принцип клинической эффективности,мгновенные/постепенные,аналогичен другим
9,Self‑reflection,Да,состояние,принцип клинической эффективности,индивидуальные/коллективные,аналогичен другим
10,Meta‑awareness,Да,состояние,принцип когнитивной экономии,мгновенные/постепенные,аналогичен другим
11,Altered state induction,Да,состояние,принцип нейронной пластичности,цикличные/каскадные,аналогичен другим
12,Dissociation awareness,Нет,состояние,принцип памяти,необходимые/возможные,аналогичен другим
13,Hypnagogic state recognition,Да,состояние,принцип социальной взаимности,дискретные/континуальные,уникальный
14,Hypnopompic state recognition,Да,состояние,принцип духовного развития,мгновенные/постепенные,аналогичен другим
15,Stream of consciousness tracking,Нет,состояние,принцип мотивационного баланса,цикличные/каскадные,уникальный
16,Awareness expansion,Нет,состояние,принцип эмоциональной гомеостаза,цикличные/каскадные,уникальный
17,Phenomenological reporting,Нет,состояние,принцип духовного развития,институциональные/неформальные,уникальный
18,Qualia identification,Да,состояние,принцип нейронной пластичности,цикличные/каскадные,аналогичен другим
19,Temporal awareness,Да,состояние,принцип мотивационного баланса,цикличные/каскадные,аналогичен другим
20,Spatial awareness,Да,состояние,принцип социальной взаимности,мгновенные/постепенные,аналогичен другим
21,Agency detection,Нет,состояние,принцип мотивационного баланса,явные/латентные,аналогичен другим
22,Self‑conscious emotion processing,Нет,состояние,принцип памяти,дискретные/континуальные,аналогичен другим
23,Self‑awareness regulation,Нет,состояние,принцип духовного развития,дискретные/континуальные,аналогичен другим
24,Self‑as‑context recognition,Условно,состояние,принцип индивидуальных различий,мгновенные/постепенные,уникальный
25,Nondual awareness experience,Нет,состояние,принцип духовного развития,эндогенные/экзогенные,уникальный
26,Conscious access gating,Условно,состояние,принцип индивидуальных различий,дискретные/континуальные,аналогичен другим
27,Attentional spotlight shifting,Да,состояние,принцип осознанности,цикличные/каскадные,аналогичен другим
28,Conscious decision making,Нет,состояние,принцип индивидуальных различий,институциональные/неформальные,аналогичен другим
29,Unconscious processing integration,Условно,состояние,принцип памяти,институциональные/неформальные,аналогичен другим
30,Subjective time dilation,Условно,состояние,принцип памяти,мгновенные/постепенные,аналогичен другим
31,Sense of presence,Да,состояние,принцип социальной взаимности,эндогенные/экзогенные,аналогичен другим
32,Metacognitive judgment,Нет,состояние,принцип нейронной пластичности,эндогенные/экзогенные,аналогичен другим
33,Self‑monitoring of speech,Нет,состояние,принцип индивидуальных различий,институциональные/неформальные,уникальный
34,Self‑monitoring of thoughts,Условно,состояние,принцип развития,необходимые/возможные,уникальный
35,Embodiment awareness,Нет,состояние,принцип эмоциональной гомеостаза,эндогенные/экзогенные,аналогичен другим
36,Interoceptive awareness,Нет,состояние,принцип осознанности,мгновенные/постепенные,уникальный
37,Exteroceptive awareness,Нет,состояние,принцип социальной взаимности,эндогенные/экзогенные,уникальный
38,Global workspace activation,Условно,состояние,принцип мотивационного баланса,эндогенные/экзогенные,уникальный
39,Default mode network deactivation,Условно,состояние,принцип восприятия,мгновенные/постепенные,уникальный
40,Consciousness modulation via neurofeedback,Да,состояние,принцип эмоциональной гомеостаза,явные/латентные,аналогичен другим
41,Transcendent experience integration,Нет,состояние,принцип социальной взаимности,эндогенные/экзогенные,уникальный
42,Consciousness expansion techniques,Условно,состояние,принцип когнитивной экономии,мгновенные/постепенные,аналогичен другим
43,Self‑transcendence observation,Условно,состояние,принцип нейронной пластичности,институциональные/неформальные,аналогичен другим
44,Vipassana practice,Условно,состояние,принцип нейронной пластичности,индивидуальные/коллективные,аналогичен другим
45,Samadhi attainment,Да,состояние,принцип памяти,цикличные/каскадные,аналогичен другим
46,Waking consciousness stabilization,Условно,состояние,принцип нейронной пластичности,индивидуальные/коллективные,аналогичен другим
47,Consciousness continuity maintenance,Нет,состояние,принцип социальной взаимности,индивидуальные/коллективные,уникальный
48,Observer perspective cultivation,Условно,состояние,принцип когнитивной экономии,цикличные/каскадные,аналогичен другим
