№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Signal transduction,Нет,содержание,принцип осознанности,дискретные/континуальные,уникальный
2,Sensory adaptation,Условно,содержание,принцип мотивационного баланса,необходимые/возможные,аналогичен другим
3,Feature detection,Нет,содержание,принцип восприятия,институциональные/неформальные,аналогичен другим
4,Pattern recognition,Да,содержание,принцип памяти,необходимые/возможные,аналогичен другим
5,Gestalt grouping,Да,содержание,принцип осознанности,мгновенные/постепенные,уникальный
6,Depth perception computation,Условно,содержание,принцип нейронной пластичности,эндогенные/экзогенные,аналогичен другим
7,Motion detection,Да,содержание,принцип духовного развития,цикличные/каскадные,аналогичен другим
8,Color constancy maintenance,Да,содержание,принцип индивидуальных различий,индивидуальные/коллективные,аналогичен другим
9,Size constancy maintenance,Условно,содержание,принцип социальной взаимности,явные/латентные,аналогичен другим
10,Shape constancy maintenance,Нет,содержание,принцип развития,явные/латентные,уникальный
11,Spatial orientation,Условно,содержание,принцип памяти,мгновенные/постепенные,аналогичен другим
12,Cross‑modal perception,Да,содержание,принцип развития,явные/латентные,уникальный
13,Auditory localization,Условно,содержание,принцип осознанности,индивидуальные/коллективные,уникальный
14,Taste discrimination,Условно,содержание,принцип индивидуальных различий,дискретные/континуальные,аналогичен другим
15,Olfactory discrimination,Нет,содержание,принцип мотивационного баланса,эндогенные/экзогенные,аналогичен другим
16,Tactile perception,Да,содержание,принцип социальной взаимности,эндогенные/экзогенные,аналогичен другим
17,Pain perception modulation,Да,содержание,принцип памяти,индивидуальные/коллективные,аналогичен другим
18,Proprioceptive sensing,Да,содержание,принцип памяти,мгновенные/постепенные,уникальный
19,Interoceptive perception,Нет,содержание,принцип социальной взаимности,эндогенные/экзогенные,аналогичен другим
20,Visual scanning,Нет,содержание,принцип духовного развития,цикличные/каскадные,аналогичен другим
21,Perceptual set formation,Нет,содержание,принцип нейронной пластичности,дискретные/континуальные,аналогичен другим
22,Contextual illusion resolution,Условно,содержание,принцип развития,явные/латентные,уникальный
23,Perceptual learning,Условно,содержание,принцип индивидуальных различий,институциональные/неформальные,аналогичен другим
24,Perceptual constancy breakdown,Да,содержание,принцип осознанности,цикличные/каскадные,уникальный
25,Perceptual adaptation,Да,содержание,принцип социальной взаимности,эндогенные/экзогенные,аналогичен другим
26,Depth cue integration,Да,содержание,принцип эмоциональной гомеостаза,эндогенные/экзогенные,аналогичен другим
27,Figure‑ground segregation,Условно,содержание,принцип духовного развития,необходимые/возможные,уникальный
28,Temporal resolution,Да,содержание,принцип развития,институциональные/неформальные,аналогичен другим
29,Perceptual grouping,Да,содержание,принцип индивидуальных различий,дискретные/континуальные,уникальный
30,Face recognition,Нет,содержание,принцип восприятия,необходимые/возможные,уникальный
31,Object recognition,Условно,содержание,принцип духовного развития,институциональные/неформальные,аналогичен другим
32,Voice recognition,Да,содержание,принцип когнитивной экономии,цикличные/каскадные,аналогичен другим
33,Perceptual decision making,Условно,содержание,принцип мотивационного баланса,необходимые/возможные,аналогичен другим
34,Auditory scene analysis,Нет,содержание,принцип когнитивной экономии,институциональные/неформальные,аналогичен другим
35,Visual search,Условно,содержание,принцип эмоциональной гомеостаза,институциональные/неформальные,аналогичен другим
36,Multisensory integration,Нет,содержание,принцип памяти,дискретные/континуальные,уникальный
37,Sensory gating,Нет,содержание,принцип клинической эффективности,явные/латентные,аналогичен другим
38,Sensory fatigue recovery,Условно,содержание,принцип индивидуальных различий,мгновенные/постепенные,аналогичен другим
39,Illusory contour perception,Условно,содержание,принцип нейронной пластичности,эндогенные/экзогенные,уникальный
40,Perceptual completion,Нет,содержание,принцип восприятия,мгновенные/постепенные,аналогичен другим
41,Selective attention in perception,Да,содержание,принцип эмоциональной гомеостаза,мгновенные/постепенные,уникальный
42,Perceptual schema formation,Да,содержание,принцип духовного развития,дискретные/континуальные,аналогичен другим
43,Perceptual expectation adjustment,Нет,содержание,принцип индивидуальных различий,цикличные/каскадные,уникальный
44,Top‑down modulation of perception,Условно,содержание,принцип мотивационного баланса,необходимые/возможные,аналогичен другим
45,Bottom‑up sensory processing,Нет,содержание,принцип осознанности,эндогенные/экзогенные,аналогичен другим
46,Perceptual disambiguation,Условно,содержание,принцип духовного развития,дискретные/континуальные,уникальный
47,Sensory overload management,Да,содержание,принцип нейронной пластичности,индивидуальные/коллективные,аналогичен другим
