№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Social comparison,Да,отношения,принцип клинической эффективности,индивидуальные/коллективные,аналогичен другим
2,Conformity pressure,Условно,отношения,принцип развития,институциональные/неформальные,аналогичен другим
3,Compliance with norms,Да,отношения,принцип эмоциональной гомеостаза,мгновенные/постепенные,аналогичен другим
4,Obedience to authority,Нет,отношения,принцип развития,индивидуальные/коллективные,аналогичен другим
5,Persuasion through communication,Да,отношения,принцип осознанности,цикличные/каскадные,аналогичен другим
6,Group polarization,Да,отношения,принцип духовного развития,явные/латентные,аналогичен другим
7,Groupthink suppression,Нет,отношения,принцип духовного развития,индивидуальные/коллективные,аналогичен другим
8,Attribution of causality,Условно,отношения,принцип нейронной пластичности,цикличные/каскадные,аналогичен другим
9,Self‑presentation,Нет,отношения,принцип мотивационного баланса,индивидуальные/коллективные,аналогичен другим
10,Social loafing,Условно,отношения,принцип эмоциональной гомеостаза,мгновенные/постепенные,аналогичен другим
11,Social facilitation,Условно,отношения,принцип эмоциональной гомеостаза,необходимые/возможные,аналогичен другим
12,Bystander intervention,Нет,отношения,принцип нейронной пластичности,цикличные/каскадные,аналогичен другим
13,Empathy development,Нет,отношения,принцип осознанности,эндогенные/экзогенные,аналогичен другим
14,Stereotype activation,Условно,отношения,принцип нейронной пластичности,институциональные/неформальные,аналогичен другим
15,Prejudice reduction,Да,отношения,принцип духовного развития,явные/латентные,аналогичен другим
16,Attitude change,Да,отношения,принцип когнитивной экономии,институциональные/неформальные,аналогичен другим
17,Cognitive dissonance resolution,Нет,отношения,принцип мотивационного баланса,эндогенные/экзогенные,аналогичен другим
18,Altruistic helping,Условно,отношения,принцип когнитивной экономии,явные/латентные,аналогичен другим
19,Aggression inhibition,Нет,отношения,принцип эмоциональной гомеостаза,цикличные/каскадные,уникальный
20,Interpersonal attraction,Условно,отношения,принцип памяти,эндогенные/экзогенные,аналогичен другим
21,Intergroup cooperation,Нет,отношения,принцип осознанности,эндогенные/экзогенные,уникальный
22,Ingroup identification,Да,отношения,принцип когнитивной экономии,индивидуальные/коллективные,аналогичен другим
23,Outgroup homogeneity perception,Условно,отношения,принцип развития,необходимые/возможные,аналогичен другим
24,Moral judgment,Да,отношения,принцип развития,эндогенные/экзогенные,аналогичен другим
25,Norm internalization,Нет,отношения,принцип социальной взаимности,мгновенные/постепенные,уникальный
26,Social identity formation,Условно,отношения,принцип индивидуальных различий,институциональные/неформальные,аналогичен другим
27,Social influence resistance,Условно,отношения,принцип мотивационного баланса,явные/латентные,аналогичен другим
28,Role adoption,Нет,отношения,принцип восприятия,институциональные/неформальные,уникальный
29,Leadership emergence,Да,отношения,принцип эмоциональной гомеостаза,индивидуальные/коллективные,аналогичен другим
30,Negotiation and compromise,Да,отношения,принцип клинической эффективности,цикличные/каскадные,аналогичен другим
31,Conflict resolution,Условно,отношения,принцип осознанности,цикличные/каскадные,аналогичен другим
32,Prosocial behavior,Условно,отношения,принцип эмоциональной гомеостаза,явные/латентные,аналогичен другим
33,Social support seeking,Да,отношения,принцип клинической эффективности,цикличные/каскадные,аналогичен другим
34,Social network building,Нет,отношения,принцип нейронной пластичности,эндогенные/экзогенные,уникальный
35,Impression management,Да,отношения,принцип духовного развития,необходимые/возможные,аналогичен другим
36,Status seeking,Условно,отношения,принцип клинической эффективности,цикличные/каскадные,аналогичен другим
37,Power assertion,Да,отношения,принцип социальной взаимности,институциональные/неформальные,аналогичен другим
38,Deindividuation control,Да,отношения,принцип индивидуальных различий,необходимые/возможные,аналогичен другим
39,Social learning,Условно,отношения,принцип восприятия,явные/латентные,аналогичен другим
40,Reciprocal altruism,Да,отношения,принцип клинической эффективности,индивидуальные/коллективные,аналогичен другим
41,Tit‑for‑tat retaliation,Да,отношения,принцип эмоциональной гомеостаза,дискретные/континуальные,аналогичен другим
42,Trust calibration,Нет,отношения,принцип развития,эндогенные/экзогенные,уникальный
43,Cooperation enforcement,Условно,отношения,принцип социальной взаимности,институциональные/неформальные,аналогичен другим
44,Cultural assimilation,Да,отношения,принцип эмоциональной гомеостаза,институциональные/неформальные,аналогичен другим
45,Normative feedback,Условно,отношения,принцип осознанности,институциональные/неформальные,аналогичен другим
46,Reputation management,Условно,отношения,принцип нейронной пластичности,явные/латентные,аналогичен другим
47,Value signaling,Нет,отношения,принцип мотивационного баланса,мгновенные/постепенные,аналогичен другим
48,Empowerment of others,Условно,отношения,принцип клинической эффективности,цикличные/каскадные,аналогичен другим
