№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,культурная диффузия,Условно,отношения/репертуар практик,адаптация/обмен/экономия усилий,возможные; постепенные; латентные/явные; эндо/экзо,Аналоги: биология—генетический поток; социология—диффузия инноваций; лингвистика—заимствования
2,транскультурация,Условно,отношения/репертуар практик,адаптация/обмен/экономия усилий,возможные; постепенные; латентные/явные; эндо/экзо,Аналоги: биология—генетический поток; социология—диффузия инноваций; лингвистика—заимствования
3,аккультурация,Условно,отношения/репертуар практик,адаптация/обмен/экономия усилий,возможные; постепенные; латентные/явные; эндо/экзо,Аналоги: биология—генетический поток; социология—диффузия инноваций; лингвистика—заимствования
4,декультурация,Условно,отношения/репертуар практик,адаптация/обмен/экономия усилий,возможные; постепенные; латентные/явные; эндо/экзо,Аналоги: биология—генетический поток; социология—диффузия инноваций; лингвистика—заимствования
5,ассимиляция,Условно,отношения/репертуар практик,адаптация/обмен/экономия усилий,возможные; постепенные; латентные/явные; эндо/экзо,Аналоги: биология—генетический поток; социология—диффузия инноваций; лингвистика—заимствования
6,интеграция культурная,Условно,отношения/репертуар практик,адаптация/обмен/экономия усилий,возможные; постепенные; латентные/явные; эндо/экзо,Аналоги: биология—генетический поток; социология—диффузия инноваций; лингвистика—заимствования
7,сепарация культурная,Условно,отношения/репертуар практик,адаптация/обмен/экономия усилий,возможные; постепенные; латентные/явные; эндо/экзо,Аналоги: биология—генетический поток; социология—диффузия инноваций; лингвистика—заимствования
8,маргинализация,Условно,отношения/репертуар практик,адаптация/обмен/экономия усилий,возможные; постепенные; латентные/явные; эндо/экзо,Аналоги: биология—генетический поток; социология—диффузия инноваций; лингвистика—заимствования
9,селективное заимствование,Условно,отношения/репертуар практик,адаптация/обмен/экономия усилий,возможные; постепенные; латентные/явные; эндо/экзо,Аналоги: биология—генетический поток; социология—диффузия инноваций; лингвистика—заимствования
10,адоптация (культурное приспособление),Условно,отношения/репертуар практик,адаптация/обмен/экономия усилий,возможные; постепенные; латентные/явные; эндо/экзо,Аналоги: биология—генетический поток; социология—диффузия инноваций; лингвистика—заимствования
11,приживление инновации,Условно,отношения/репертуар практик,адаптация/обмен/экономия усилий,возможные; постепенные; латентные/явные; эндо/экзо,Аналоги: биология—генетический поток; социология—диффузия инноваций; лингвистика—заимствования
12,культурный дрейф,Условно,отношения/репертуар практик,адаптация/обмен/экономия усилий,возможные; постепенные; латентные/явные; эндо/экзо,Аналоги: биология—генетический поток; социология—диффузия инноваций; лингвистика—заимствования
13,перенос практик через посредников,Условно,отношения/репертуар практик,адаптация/обмен/экономия усилий,возможные; постепенные; латентные/явные; эндо/экзо,Аналоги: биология—генетический поток; социология—диффузия инноваций; лингвистика—заимствования
14,миссионеризация (культурная),Условно,отношения/репертуар практик,адаптация/обмен/экономия усилий,возможные; постепенные; латентные/явные; эндо/экзо,Аналоги: биология—генетический поток; социология—диффузия инноваций; лингвистика—заимствования
