№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,создание аватара,Условно,онлайн-идентичность/аватары/профили,самопрезентация/границесоздание/брендинг,мгновенные/постепенные; индивидуальные/коллективные,Аналоги: психология—имидж; социология—самопрезентация; маркетинг—брендинг
2,персонализация профиля,Условно,онлайн-идентичность/аватары/профили,самопрезентация/границесоздание/брендинг,мгновенные/постепенные; индивидуальные/коллективные,Аналоги: психология—имидж; социология—самопрезентация; маркетинг—брендинг
3,брендинг личности,Условно,онлайн-идентичность/аватары/профили,самопрезентация/границесоздание/брендинг,мгновенные/постепенные; индивидуальные/коллективные,Аналоги: психология—имидж; социология—самопрезентация; маркетинг—брендинг
4,ребрендинг личности,Условно,онлайн-идентичность/аватары/профили,самопрезентация/границесоздание/брендинг,мгновенные/постепенные; индивидуальные/коллективные,Аналоги: психология—имидж; социология—самопрезентация; маркетинг—брендинг
5,анонимизация,Условно,онлайн-идентичность/аватары/профили,самопрезентация/границесоздание/брендинг,мгновенные/постепенные; индивидуальные/коллективные,Аналоги: психология—имидж; социология—самопрезентация; маркетинг—брендинг
6,деанонимизация,Условно,онлайн-идентичность/аватары/профили,самопрезентация/границесоздание/брендинг,мгновенные/постепенные; индивидуальные/коллективные,Аналоги: психология—имидж; социология—самопрезентация; маркетинг—брендинг
7,маскирование идентичности,Условно,онлайн-идентичность/аватары/профили,самопрезентация/границесоздание/брендинг,мгновенные/постепенные; индивидуальные/коллективные,Аналоги: психология—имидж; социология—самопрезентация; маркетинг—брендинг
8,троллизация,Условно,онлайн-идентичность/аватары/профили,самопрезентация/границесоздание/брендинг,мгновенные/постепенные; индивидуальные/коллективные,Аналоги: психология—имидж; социология—самопрезентация; маркетинг—брендинг
9,мемификация идентичности,Условно,онлайн-идентичность/аватары/профили,самопрезентация/границесоздание/брендинг,мгновенные/постепенные; индивидуальные/коллективные,Аналоги: психология—имидж; социология—самопрезентация; маркетинг—брендинг
10,виртуальная самопрезентация,Условно,онлайн-идентичность/аватары/профили,самопрезентация/границесоздание/брендинг,мгновенные/постепенные; индивидуальные/коллективные,Аналоги: психология—имидж; социология—самопрезентация; маркетинг—брендинг
11,вирализация контента,Условно,сетевые взаимодействия/мессенджеры/форумы,распространение/связность/виральность,мгновенные; сетевые; массовые,Аналоги: информатика—сети; эпидемиология—распространение; маркетинг—виральность
12,меметизация,Условно,сетевые взаимодействия/мессенджеры/форумы,распространение/связность/виральность,мгновенные; сетевые; массовые,Аналоги: информатика—сети; эпидемиология—распространение; маркетинг—виральность
13,флуд,Условно,сетевые взаимодействия/мессенджеры/форумы,распространение/связность/виральность,мгновенные; сетевые; массовые,Аналоги: информатика—сети; эпидемиология—распространение; маркетинг—виральность
14,троллинг,Условно,сетевые взаимодействия/мессенджеры/форумы,распространение/связность/виральность,мгновенные; сетевые; массовые,Аналоги: информатика—сети; эпидемиология—распространение; маркетинг—виральность
15,хейтеризация,Условно,сетевые взаимодействия/мессенджеры/форумы,распространение/связность/виральность,мгновенные; сетевые; массовые,Аналоги: информатика—сети; эпидемиология—распространение; маркетинг—виральность
16,ботификация,Условно,сетевые взаимодействия/мессенджеры/форумы,распространение/связность/виральность,мгновенные; сетевые; массовые,Аналоги: информатика—сети; эпидемиология—распространение; маркетинг—виральность
17,репостинг,Условно,сетевые взаимодействия/мессенджеры/форумы,распространение/связность/виральность,мгновенные; сетевые; массовые,Аналоги: информатика—сети; эпидемиология—распространение; маркетинг—виральность
18,лайкоориентирование,Условно,сетевые взаимодействия/мессенджеры/форумы,распространение/связность/виральность,мгновенные; сетевые; массовые,Аналоги: информатика—сети; эпидемиология—распространение; маркетинг—виральность
19,хэштегизация,Условно,сетевые взаимодействия/мессенджеры/форумы,распространение/связность/виральность,мгновенные; сетевые; массовые,Аналоги: информатика—сети; эпидемиология—распространение; маркетинг—виральность
20,сетевой флешмоб,Условно,сетевые взаимодействия/мессенджеры/форумы,распространение/связность/виральность,мгновенные; сетевые; массовые,Аналоги: информатика—сети; эпидемиология—распространение; маркетинг—виральность
21,форумизация,Условно,онлайн-сообщества/форумы/сети,интеграция/сегрегация/иерархизация,постепенные; коллективные; сетевые,Аналоги: социология—группы; психология—коллективы; антропология—общины
22,чатрумизация,Условно,онлайн-сообщества/форумы/сети,интеграция/сегрегация/иерархизация,постепенные; коллективные; сетевые,Аналоги: социология—группы; психология—коллективы; антропология—общины
