№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,охота,Условно,способы жизнеобеспечения/хозяйство,адаптация/устойчивость/эффективность,постепенные; сезонные; коллективные,Аналоги: экология—экосистемы; экономика—хозяйство; археология—пищевые стратегии
2,собирательство,Условно,способы жизнеобеспечения/хозяйство,адаптация/устойчивость/эффективность,постепенные; сезонные; коллективные,Аналоги: экология—экосистемы; экономика—хозяйство; археология—пищевые стратегии
3,рыболовство,Условно,способы жизнеобеспечения/хозяйство,адаптация/устойчивость/эффективность,постепенные; сезонные; коллективные,Аналоги: экология—экосистемы; экономика—хозяйство; археология—пищевые стратегии
4,земледелие,Условно,способы жизнеобеспечения/хозяйство,адаптация/устойчивость/эффективность,постепенные; сезонные; коллективные,Аналоги: экология—экосистемы; экономика—хозяйство; археология—пищевые стратегии
5,скотоводство,Условно,способы жизнеобеспечения/хозяйство,адаптация/устойчивость/эффективность,постепенные; сезонные; коллективные,Аналоги: экология—экосистемы; экономика—хозяйство; археология—пищевые стратегии
6,садоводство,Условно,способы жизнеобеспечения/хозяйство,адаптация/устойчивость/эффективность,постепенные; сезонные; коллективные,Аналоги: экология—экосистемы; экономика—хозяйство; археология—пищевые стратегии
7,пасторализм,Условно,способы жизнеобеспечения/хозяйство,адаптация/устойчивость/эффективность,постепенные; сезонные; коллективные,Аналоги: экология—экосистемы; экономика—хозяйство; археология—пищевые стратегии
8,агролесоводство,Условно,способы жизнеобеспечения/хозяйство,адаптация/устойчивость/эффективность,постепенные; сезонные; коллективные,Аналоги: экология—экосистемы; экономика—хозяйство; археология—пищевые стратегии
9,интенсивное земледелие,Условно,способы жизнеобеспечения/хозяйство,адаптация/устойчивость/эффективность,постепенные; сезонные; коллективные,Аналоги: экология—экосистемы; экономика—хозяйство; археология—пищевые стратегии
10,экстенсивное земледелие,Условно,способы жизнеобеспечения/хозяйство,адаптация/устойчивость/эффективность,постепенные; сезонные; коллективные,Аналоги: экология—экосистемы; экономика—хозяйство; археология—пищевые стратегии
11,антропогенизация,Условно,взаимодействие с природой/экосистемы,экологическая адаптация/устойчивость/сопротивление,постепенные; коллективные/индивидуальные,Аналоги: география—ландшафты; биология—экологические ниши; урбанистика—экология города
12,деантропогенизация,Условно,взаимодействие с природой/экосистемы,экологическая адаптация/устойчивость/сопротивление,постепенные; коллективные/индивидуальные,Аналоги: география—ландшафты; биология—экологические ниши; урбанистика—экология города
13,экологизация,Условно,взаимодействие с природой/экосистемы,экологическая адаптация/устойчивость/сопротивление,постепенные; коллективные/индивидуальные,Аналоги: география—ландшафты; биология—экологические ниши; урбанистика—экология города
14,деградация среды,Условно,взаимодействие с природой/экосистемы,экологическая адаптация/устойчивость/сопротивление,постепенные; коллективные/индивидуальные,Аналоги: география—ландшафты; биология—экологические ниши; урбанистика—экология города
15,устойчивое использование,Условно,взаимодействие с природой/экосистемы,экологическая адаптация/устойчивость/сопротивление,постепенные; коллективные/индивидуальные,Аналоги: география—ландшафты; биология—экологические ниши; урбанистика—экология города
16,ресурсная оптимизация,Условно,взаимодействие с природой/экосистемы,экологическая адаптация/устойчивость/сопротивление,постепенные; коллективные/индивидуальные,Аналоги: география—ландшафты; биология—экологические ниши; урбанистика—экология города
17,ландшафтная сакрализация,Условно,взаимодействие с природой/экосистемы,экологическая адаптация/устойчивость/сопротивление,постепенные; коллективные/индивидуальные,Аналоги: география—ландшафты; биология—экологические ниши; урбанистика—экология города
18,урбанизация,Условно,взаимодействие с природой/экосистемы,экологическая адаптация/устойчивость/сопротивление,постепенные; коллективные/индивидуальные,Аналоги: география—ландшафты; биология—экологические ниши; урбанистика—экология города
19,деурбанизация,Условно,взаимодействие с природой/экосистемы,экологическая адаптация/устойчивость/сопротивление,постепенные; коллективные/индивидуальные,Аналоги: география—ландшафты; биология—экологические ниши; урбанистика—экология города
20,ревайлдизация,Условно,взаимодействие с природой/экосистемы,экологическая адаптация/устойчивость/сопротивление,постепенные; коллективные/индивидуальные,Аналоги: география—ландшафты; биология—экологические ниши; урбанистика—экология города
21,тотемизация природы,Условно,ритуалы/символы/экологические практики,сакрализация природы/гармония/интеграция,цикличные/сезонные; коллективные,Аналоги: религиоведение—культ природы; этнография—обряды; культурология—символизм
22,сакрализация ландшафта,Условно,ритуалы/символы/экологические практики,сакрализация природы/гармония/интеграция,цикличные/сезонные; коллективные,Аналоги: религиоведение—культ природы; этнография—обряды; культурология—символизм
23,ритуалы плодородия,Условно,ритуалы/символы/экологические практики,сакрализация природы/гармония/интеграция,цикличные/сезонные; коллективные,Аналоги: религиоведение—культ природы; этнография—обряды; культурология—символизм
24,экологические табу,Условно,ритуалы/символы/экологические практики,сакрализация природы/гармония/интеграция,цикличные/сезонные; коллективные,Аналоги: религиоведение—культ природы; этнография—обряды; культурология—символизм
25,ритуальная охота,Условно,ритуалы/символы/экологические практики,сакрализация природы/гармония/интеграция,цикличные/сезонные; коллективные,Аналоги: религиоведение—культ природы; этнография—обряды; культурология—символизм
26,ритуальное сожжение,Условно,ритуалы/символы/экологические практики,сакрализация природы/гармония/интеграция,цикличные/сезонные; коллективные,Аналоги: религиоведение—культ природы; этнография—обряды; культурология—символизм
