№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,репрезентация,Условно,изображения/образы/символы,репрезентация/отражение/интерпретация,мгновенные/постепенные; медиальные/ритуальные,Аналоги: искусствоведение—изобразительные практики; семиотика—знаки; социология—визуальные коды
2,мимесис,Условно,изображения/образы/символы,репрезентация/отражение/интерпретация,мгновенные/постепенные; медиальные/ритуальные,Аналоги: искусствоведение—изобразительные практики; семиотика—знаки; социология—визуальные коды
3,символизация визуальная,Условно,изображения/образы/символы,репрезентация/отражение/интерпретация,мгновенные/постепенные; медиальные/ритуальные,Аналоги: искусствоведение—изобразительные практики; семиотика—знаки; социология—визуальные коды
4,ресимволизация,Условно,изображения/образы/символы,репрезентация/отражение/интерпретация,мгновенные/постепенные; медиальные/ритуальные,Аналоги: искусствоведение—изобразительные практики; семиотика—знаки; социология—визуальные коды
5,иконизация,Условно,изображения/образы/символы,репрезентация/отражение/интерпретация,мгновенные/постепенные; медиальные/ритуальные,Аналоги: искусствоведение—изобразительные практики; семиотика—знаки; социология—визуальные коды
6,деиконизация,Условно,изображения/образы/символы,репрезентация/отражение/интерпретация,мгновенные/постепенные; медиальные/ритуальные,Аналоги: искусствоведение—изобразительные практики; семиотика—знаки; социология—визуальные коды
7,карикатуризация,Условно,изображения/образы/символы,репрезентация/отражение/интерпретация,мгновенные/постепенные; медиальные/ритуальные,Аналоги: искусствоведение—изобразительные практики; семиотика—знаки; социология—визуальные коды
8,аллегоризация визуальная,Условно,изображения/образы/символы,репрезентация/отражение/интерпретация,мгновенные/постепенные; медиальные/ритуальные,Аналоги: искусствоведение—изобразительные практики; семиотика—знаки; социология—визуальные коды
9,стереотипизация образа,Условно,изображения/образы/символы,репрезентация/отражение/интерпретация,мгновенные/постепенные; медиальные/ритуальные,Аналоги: искусствоведение—изобразительные практики; семиотика—знаки; социология—визуальные коды
10,дестереотипизация,Условно,изображения/образы/символы,репрезентация/отражение/интерпретация,мгновенные/постепенные; медиальные/ритуальные,Аналоги: искусствоведение—изобразительные практики; семиотика—знаки; социология—визуальные коды
