№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Сбор и анализ данных о вероучениях разных религий,Нет,содержание,сравнительный метод,дискретные/индивидуальные,Уникальный анализ различий и сходств
2,"Идентификация общих тем (монотеизм, дуализм)",Да,значения,сравнительный анализ,коллективные/постепенные,Аналогично истории религий
3,Сопоставление ритуалов и обрядов,Да,нормы,структурная типология,коллективные/дискретные,Общий с ритуаловедением
4,Картирование возникновения и эволюции религиозных образов,Нет,память/наследие,исторический анализ,постепенные/институциональные,Пересекается с историей религий
5,Исследование взаимных влияний между религиями (синкретизм),Условно,отношения,диффузионная теория,континуальные/коллективные,Связь с новыми религиозными движениями
6,"Классификация религий по типам (этнические, универсальные)",Да,структура,типологизация,необходимые/индивидуальные,Уникально для компаративистики
7,Анализ влияния культурного контекста на религиозные практики,Нет,культура/контекст,культурологический анализ,постепенные/экзогенные,Аналог социологии религии
8,Построение сравнительных таблиц догматов,Да,содержание,матрица соответствий,дискретные/индивидуальные,Уникально
9,Изучение миссионерских пересечений,Нет,поведение,исторический сравнительный,коллективные/цикличные,Связь с историей религий
10,Сравнение этических систем религий,Да,нормы,этический анализ,индивидуальные/латентные,Общий с религиозной этикой
11,Определение универсальных символов и архетипов,Да,символы,архетипическая теория,неформальные/цикличные,Связь с мистицизмом
12,Выявление различных типов священных текстов,Да,тело/материя,контент-анализ,индивидуальные/дискретные,Связь со священными текстами
13,Анализ эволюции религиозных праздников,Условно,время/ритм,календарный анализ,цикличные/коллективные,Пересекается с ритуалами
14,Изучение роли религий в формировании идентичности,Нет,идентичность/границы,социально-психологический,постепенные/коллективные,Связь с социологией религии
15,Анализ влияния религиозного искусства на веру,Да,символы,эстетический анализ,неформальные/индивидуальные,Связь с культурологией
