№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,"Идентификация типа текста (скриптуры, сутры, эпосы)",Да,структура,классификация,индивидуальные/дискретные,Связь с текстологией
2,Анализ происхождения и авторства,Нет,память/наследие,историко-критический,институциональные/постепенные,Уникальный
3,Определение канонического статуса,Условно,институты,канонизация,институциональные/дискретные,Связь с религиозным правом
4,Исследование переводов и интерпретаций,Да,дискурс,герменевтика,индивидуальные/постепенные,Связь с лингвистикой
5,"Сравнение различных традиций чтения (ритуальное, личное)",Да,поведение,анализ практик,коллективные/дискретные,Пересечение с ритуалами
6,Изучение влияния текстов на нормы и мораль,Нет,нормы,этический анализ,постепенные/коллективные,Связь с религиозной этикой
7,Документирование устных традиций и их запись,Да,память/наследие,антропологическая документация,индивидуальные/дискретные,Связь с устной историей
8,Сохранение манускриптов и реставрация,Да,тело/материя,консервация,институциональные/постепенные,Связь с музейным делом
9,Исследование взаимодействия текста и обрядов,Да,поведение,перформативная герменевтика,коллективные/цикличные,Связь с ритуаловедением
10,"Анализ создания, передачи и канонизации комментариев",Да,память/наследие,комментарий как жанр,институциональные/постепенные,Уникально
11,Определение роли текста в формировании идентичности,Нет,идентичность/границы,социально-психологический анализ,коллективные/постепенные,Связь с социологией
12,Изучение влияния технологии на доступность и интерпретацию текстов,Да,технология/инфраструктура,цифровая гуманитаристика,индивидуальные/континуальные,Современный аспект
13,Анализ священных текстов как литературных произведений,Да,содержание,литературоведение,индивидуальные/постепенные,Связь с филологией
14,Сравнение священных текстов разных религий,Да,отношения,компаративный анализ,индивидуальные/дискретные,Пересечение с компаративистикой
15,Изучение процессов канонизации и деканонизации в истории,Нет,память/наследие,исторический анализ,институциональные/постепенные,Уникально
