№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Изучение влияния религии на социальные нормы и ценности,Нет,нормы,функционализм,коллективные/постепенные,Основной процесс
2,Анализ взаимоотношений религии с другими социальными институтами,Условно,институты,системная теория,институциональные/постепенные,Близко к политологии
3,Исследование религиозности и демографии,Да,экономика/обмен,демографический анализ,коллективные/дискретные,Уникально
4,Изучение образования религиозных организаций и их структуры,Да,структура,организационная теория,институциональные/постепенные,Связь с организационным поведением
5,Анализ влияния религии на социальные движения и изменения,Да,отношения,конфликтология,коллективные/цикличные,Связь с управлением изменениями
6,"Измерение религиозности (опросы, статистика)",Да,дискурс,количественные методы,индивидуальные/дискретные,Общий с психологией
7,Исследование секуляризации и религиозного возрождения,Нет,функция,секуляризация теория,постепенные/экзогенные,Уникально
8,Анализ религиозного поля и конкуренции между конфессиями,Да,отношения,теория религиозного рынка,институциональные/неформальные,Связь с экономикой
9,Исследование связи религии и социального неравенства,Нет,отношения,критическая теория,коллективные/постепенные,Связь с марксизмом
10,Анализ религиозных сетей и капиталов,Да,отношения,теория социальных сетей,индивидуальные/дискретные,Аналог управлению
11,Изучение религиозной социализации детей и молодежи,Да,нормы,социология образования,коллективные/постепенные,Связь с образованием
12,Мониторинг религиозных конфликтов и их регулирование,Условно,отношения,медиология,коллективные/экзогенные,Связь с международными отношениями
13,Исследование гендера и религии,Да,идентичность/границы,гендерные исследования,индивидуальные/коллективные,Связь с феминизмом
14,Анализ миграции и транснациональной религиозности,Нет,пространство,транслокальный анализ,экзогенные/постепенные,Связь с географией
15,Оценка влияния цифровых медиа на религиозные практики,Да,технология/инфраструктура,медиа-исследования,индивидуальные/неформальные,Современный аспект
