№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Сопоставление сюжетов,Да,Содержание,Иконичность,Активные,Аналоги: литература
2,Сопоставление мотивов,Да,Содержание,Ассоциация,Активные,Аналоги: фольклористика
3,Идентификация универсальных тем,Да,Содержание,Устойчивость,Активные,Аналоги: культурология
4,Сравнение персонажей,Да,Содержание,Иконичность,Активные,Аналоги: драматургия
5,Сравнение функций персонажей,Да,Содержание,Функциональность,Активные,Аналоги: структурализм
6,Выявление мифологических архетипов,Да,Содержание,Устойчивость,Активные,Аналоги: психология (Юнг)
7,Сопоставление космогонических мифов,Да,Содержание,Историческая динамика,Активные,Аналоги: религиоведение
8,Сопоставление эсхатологических мифов,Да,Содержание,Историческая динамика,Активные,Аналоги: религиоведение
9,Сопоставление героических эпосов,Да,Содержание,Иконичность,Активные,Аналоги: литература
10,Выявление межкультурных параллелей,Да,Содержание,Ассоциация,Активные,Аналоги: антропология
11,Определение культурных заимствований,Да,Содержание,Диффузия,Активные,Аналоги: социология
12,Выявление автохтонных элементов,Да,Содержание,Устойчивость,Активные,Аналоги: этнология
13,Сопоставление мифологических символов,Да,Содержание,Экспрессия,Активные,Аналоги: семиотика
14,Сопоставление мифологических структур,Да,Структура,Упорядоченность,Активные,Аналоги: структурализм
15,Картографирование мифологических мотивов,Да,Структура,Иконичность,Активные,Аналоги: культурная география
16,Сопоставление мифов о происхождении,Да,Содержание,Историческая динамика,Активные,Аналоги: антропология
17,Сравнение мифов о героях-богоборцах,Да,Содержание,Иконичность,Активные,Аналоги: литература
18,Сравнение мифов о трикстерах,Да,Содержание,Экспрессия,Активные,Аналоги: психология
19,Сравнение мифов о культурных героях,Да,Содержание,Экспрессия,Активные,Аналоги: социология
20,Выявление универсалий,Да,Содержание,Устойчивость,Активные,Аналоги: философия
21,Выявление различий,Да,Содержание,Дифференциация,Активные,Аналоги: история
22,Анализ трансформаций мотивов,Да,Содержание,Историческая динамика,Активные,Аналоги: культурология
23,Интерпретация различий,Да,Содержание,Экспрессия,Активные,Аналоги: герменевтика
24,Реконструкция прамифа,Да,Содержание,Историческая динамика,Активные,Аналоги: лингвистика (праязык)
25,Сравнение мифов о потопе,Да,Содержание,Историческая динамика,Активные,Аналоги: геология
26,Сравнение мифов о золотом веке,Да,Содержание,Экспрессия,Активные,Аналоги: философия
27,Сравнение мифов о конце света,Да,Содержание,Историческая динамика,Активные,Аналоги: эсхатология
28,Выявление сюжетных инвариантов,Да,Структура,Устойчивость,Активные,Аналоги: структурализм (Пропп)
29,Сопоставление мифов о божественном вмешательстве,Да,Содержание,Экспрессия,Активные,Аналоги: религиоведение
30,Сравнение мифов о происхождении человека,Да,Содержание,Историческая динамика,Активные,Аналоги: антропология
