№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Миф о сотворении из хаоса,Да,Содержание,Историческая динамика,Активные,Аналоги: философия хаоса
2,Миф о сотворении из яйца,Да,Содержание,Иконичность,Активные,Аналоги: этнология
3,Миф о сотворении из тела первосущества,Да,Содержание,Иконичность,Активные,Аналоги: религия
4,Миф о сотворении из слова,Да,Содержание,Экспрессия,Активные,Аналоги: лингвистика
5,Миф о сотворении из мысли,Да,Содержание,Экспрессия,Активные,Аналоги: философия сознания
6,Миф о сотворении из океана,Да,Содержание,Иконичность,Активные,Аналоги: география
7,Миф о сотворении из огня,Да,Содержание,Экспрессия,Активные,Аналоги: физика
8,Миф о сотворении из земли,Да,Содержание,Экспрессия,Активные,Аналоги: геология
9,Миф о сотворении из неба,Да,Содержание,Экспрессия,Активные,Аналоги: астрономия
10,Миф о союзе неба и земли,Да,Содержание,Интеграция,Активные,Аналоги: религия
11,Миф о космической битве,Да,Содержание,Дифференциация,Активные,Аналоги: эпос
12,Миф о разделении космоса и хаоса,Да,Содержание,Дифференциация,Активные,Аналоги: философия
13,Миф о восхождении мира из воды,Да,Содержание,Историческая динамика,Активные,Аналоги: геология
14,Миф о мировом дереве,Да,Содержание,Иконичность,Активные,Аналоги: этнография
15,Миф о мировом горе,Да,Содержание,Иконичность,Активные,Аналоги: география
16,Миф о мировом животном,Да,Содержание,Иконичность,Активные,Аналоги: зоология
17,Миф о перволюдях,Да,Содержание,Историческая динамика,Активные,Аналоги: антропология
18,Миф о прародителях,Да,Содержание,Историческая динамика,Активные,Аналоги: генеалогия
19,Миф о разделении полов,Да,Содержание,Дифференциация,Активные,Аналоги: гендерные исследования
20,Миф о даровании огня,Да,Содержание,Экспрессия,Активные,Аналоги: культурология
21,Миф о культурном герое,Да,Содержание,Интеграция,Активные,Аналоги: сравнительная мифология
22,Миф о космических яйцах/камнях,Да,Содержание,Иконичность,Активные,Аналоги: этнология
23,Миф о мировом океане,Да,Содержание,Иконичность,Активные,Аналоги: география
24,Миф о сотворении через жертвоприношение,Да,Содержание,Экспрессия,Активные,Аналоги: религия
25,Миф о сотворении из музыки/звука,Да,Содержание,Экспрессия,Активные,Аналоги: искусство
26,Миф о сотворении из тьмы/света,Да,Содержание,Дифференциация,Активные,Аналоги: философия света
27,Миф о сотворении из дыхания/ветра,Да,Содержание,Экспрессия,Активные,Аналоги: мифология воздуха
28,Миф о космическом яйце,Да,Содержание,Иконичность,Активные,Аналоги: этнография
