№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Устная передача сказаний,Да,Содержание,Устойчивость,Постепенные,Аналоги: устная история
2,Импровизация при исполнении,Нет,Содержание,Экспрессия,Активные,"Аналоги: музыка, театр"
3,Вариативность сказаний,Да,Структура,Гибкость,Постепенные,Аналоги: лингвистика (диалекты)
4,Коллективное авторство,Да,Содержание,Социальная динамика,Активные,Аналоги: социология
5,Создание новых версий,Да,Содержание,Адаптация,Активные,Аналоги: литература
6,Символизация фольклора,Да,Содержание,Экспрессия,Активные,Аналоги: семиотика
7,Мифологизация персонажей,Да,Содержание,Экспрессия,Активные,Аналоги: мифология
8,Демифологизация персонажей,Да,Содержание,Ясность,Активные,Аналоги: критика
9,Интерпретация фольклора,Да,Содержание,Гармония,Активные,Аналоги: герменевтика
10,Классификация жанров фольклора,Да,Структура,Иерархия,Активные,Аналоги: литературоведение
11,Создание обрядов,Да,Содержание,Регуляция,Активные,Аналоги: антропология
12,Фольклоризация исторических событий,Да,Содержание,Экспрессия,Активные,Аналоги: историография
13,Фольклоризация личностей,Да,Содержание,Экспрессия,Активные,Аналоги: социология
14,Использование фольклора в воспитании,Да,Содержание,Адаптация,Активные,Аналоги: педагогика
15,Использование фольклора в религии,Да,Содержание,Экспрессия,Активные,Аналоги: религия
16,Использование фольклора в политике,Да,Содержание,Регуляция,Активные,Аналоги: политология
17,Использование фольклора в искусстве,Да,Содержание,Экспрессия,Активные,Аналоги: искусствоведение
18,Использование фольклора в массовой культуре,Да,Содержание,Экспрессия,Активные,Аналоги: культурология
19,Создание фольклорных символов,Да,Содержание,Экспрессия,Активные,Аналоги: семиотика
20,Эволюция жанров фольклора,Да,Структура,Историческая динамика,Постепенные,Аналоги: культурология
21,Фольклоризация технологий,Да,Содержание,Адаптация,Активные,Аналоги: социология технологий
22,Фольклоризация городских легенд,Да,Содержание,Адаптация,Активные,Аналоги: урбанистика
23,Кодификация фольклора (сборники),Да,Структура,Регуляция,Активные,Аналоги: литературоведение
24,Переход устного в письменный фольклор,Да,Структура,Историческая динамика,Активные,Аналоги: лингвистика
25,Фольклор как средство идентичности,Да,Содержание,Социальная динамика,Активные,Аналоги: этнология
26,Фольклоризация обыденности,Да,Содержание,Экспрессия,Активные,Аналоги: культурология
27,Фольклоризация кризисов и катастроф,Да,Содержание,Экспрессия,Активные,Аналоги: психология катастроф
