№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Выявление бинарных оппозиций,Да,Структура,Дифференциация,Активные,Аналоги: структурализм (Леви-Стросс)
2,Анализ мифологических кодов,Да,Структура,Иконичность,Активные,Аналоги: семиотика
3,Определение мифологических функций,Да,Структура,Функциональность,Активные,Аналоги: Пропп
4,Сегментация мифологического текста,Да,Структура,Упорядоченность,Активные,Аналоги: лингвистика
5,Выделение мифологических актантов,Да,Структура,Иерархия,Активные,Аналоги: структурализм (Греймас)
6,Моделирование мифологических структур,Да,Структура,Системность,Активные,Аналоги: математика
7,Выявление сюжетных инвариантов,Да,Структура,Устойчивость,Активные,Аналоги: Пропп
8,Сравнение структур разных мифов,Да,Структура,Ассоциация,Активные,Аналоги: литературоведение
9,Выделение семантических оппозиций,Да,Содержание,Дифференциация,Активные,Аналоги: семантика
10,Структурное сопоставление мифов,Да,Структура,Иконичность,Активные,Аналоги: структурализм
11,Моделирование мифологических циклов,Да,Структура,Историческая динамика,Активные,Аналоги: культурология
12,Анализ ритуальных структур,Да,Структура,Устойчивость,Активные,Аналоги: антропология
13,Интерпретация оппозиций,Да,Содержание,Экспрессия,Активные,Аналоги: герменевтика
14,Анализ функций персонажей,Да,Содержание,Функциональность,Активные,Аналоги: драматургия
15,Анализ мифологических медиаторов,Да,Содержание,Связность,Активные,Аналоги: антропология
16,Выявление мифологических опосредований,Да,Содержание,Связность,Активные,Аналоги: семиотика
17,Моделирование мифологических матриц,Да,Структура,Системность,Активные,Аналоги: математика
18,Анализ мифологического времени,Да,Содержание,Историческая динамика,Активные,Аналоги: философия времени
19,Анализ мифологического пространства,Да,Содержание,Иконичность,Активные,Аналоги: география
20,Выявление сакральных центров,Да,Содержание,Иерархия,Активные,Аналоги: религиоведение
21,Анализ мифологических циклов,Да,Структура,Историческая динамика,Активные,Аналоги: культурология
22,Символическое кодирование,Да,Содержание,Экспрессия,Активные,Аналоги: семиотика
23,Моделирование мифологических оппозиций,Да,Структура,Дифференциация,Активные,Аналоги: структурализм
24,Генерация структурных схем мифов,Да,Структура,Системность,Активные,Аналоги: математика
25,Интеграция структурных уровней,Да,Структура,Гармония,Активные,Аналоги: системная теория
26,Сравнение ритуально-мифологических комплексов,Да,Структура,Ассоциация,Активные,Аналоги: антропология
27,Реконструкция структурных архетипов,Да,Структура,Историческая динамика,Активные,Аналоги: археология
28,Интерпретация структурных различий,Да,Содержание,Гармония,Активные,Аналоги: герменевтика
29,Выявление структурных универсалий,Да,Структура,Устойчивость,Активные,Аналоги: философия
