№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,становление военного дела,Условно,нормы,принцип причинности,институциональные/неформальные,Редко встречается
2,создание армий,Нет,структура,принцип децентрализации,мгновенные/постепенные,Уникальный
3,разработка тактики,Условно,время/ритм,принцип причинности,институциональные/неформальные,Уникальный
4,военные реформы,Да,структура,принцип развития,эндогенные/экзогенные,Имеет аналоги
5,становление флота,Да,символы,принцип взаимодействия,мгновенные/постепенные,Редко встречается
6,фортификация,Нет,значения,принцип сложности,дискретные/континуальные,Часто повторяется
7,осадные технологии,Нет,технология/инфраструктура,принцип цикличности,явные/латентные,Имеет аналоги
8,появление кавалерии,Условно,значения,принцип цикличности,индивидуальные/коллективные,Имеет аналоги
9,бюрократизация армии,Нет,пространство,принцип сложности,цикличные/каскадные,Редко встречается
10,народное ополчение,Нет,институты,принцип взаимодействия,явные/латентные,Имеет аналоги
11,создание постоянных армий,Условно,содержание,принцип сложности,необходимые/возможные,Имеет аналоги
12,интеграция стрелкового оружия,Условно,отношения,принцип цикличности,институциональные/неформальные,Уникальный
13,морские битвы,Условно,поведение,принцип взаимодействия,эндогенные/экзогенные,Архетипический
14,линейная тактика,Да,идентичность/границы,принцип развития,институциональные/неформальные,Редко встречается
15,появление артиллерии,Нет,содержание,принцип децентрализации,цикличные/каскадные,Архетипический
16,наполеоновские войны,Нет,экономика/обмен,принцип развития,явные/латентные,Имеет аналоги
17,колониальные войны,Нет,дискурс,принцип причинности,необходимые/возможные,Уникальный
18,первая мировая война,Да,пространство,принцип причинности,эндогенные/экзогенные,Уникальный
19,вторая мировая война,Да,отношения,принцип сложности,индивидуальные/коллективные,Архетипический
20,холодная война,Нет,память/наследие,принцип взаимодействия,явные/латентные,Имеет аналоги
21,появление танков,Нет,состояние,принцип адаптации,мгновенные/постепенные,Часто повторяется
22,истребительная авиация,Нет,память/наследие,принцип устойчивости,институциональные/неформальные,Часто повторяется
23,ракетные технологии,Да,идентичность/границы,принцип причинности,индивидуальные/коллективные,Часто повторяется
24,массовая мобилизация,Да,нормы,принцип децентрализации,институциональные/неформальные,Имеет аналоги
25,партизанская война,Да,дискурс,принцип развития,эндогенные/экзогенные,Архетипический
26,психологическая война,Нет,дискурс,принцип устойчивости,институциональные/неформальные,Имеет аналоги
27,информационная война,Да,символы,принцип децентрализации,мгновенные/постепенные,Уникальный
28,борьба за ресурсы,Нет,экономика/обмен,принцип устойчивости,необходимые/возможные,Редко встречается
29,создание военно-промышленного комплекса,Нет,тело/материя,принцип устойчивости,мгновенные/постепенные,Уникальный
30,ядерное оружие,Да,институты,принцип эволюции,дискретные/континуальные,Редко встречается
31,международные миротворческие миссии,Да,тело/материя,принцип адаптации,мгновенные/постепенные,Редко встречается
32,антигерилья,Условно,время/ритм,принцип причинности,дискретные/континуальные,Имеет аналоги
33,военные союзы,Нет,институты,принцип цикличности,эндогенные/экзогенные,Часто повторяется
34,использование дронов,Нет,технология/инфраструктура,принцип эволюции,эндогенные/экзогенные,Архетипический
35,кибервойна,Условно,нормы,принцип развития,явные/латентные,Архетипический
36,специализация спецназа,Условно,тело/материя,принцип децентрализации,эндогенные/экзогенные,Часто повторяется
37,морская блокада,Да,структура,принцип эволюции,мгновенные/постепенные,Имеет аналоги
38,подводные лодки,Условно,технология/инфраструктура,принцип взаимодействия,индивидуальные/коллективные,Часто повторяется
39,космическое вооружение,Условно,структура,принцип децентрализации,цикличные/каскадные,Уникальный
40,миротворческие операции,Да,время/ритм,принцип развития,мгновенные/постепенные,Архетипический
41,ассиметричная война,Нет,институты,принцип децентрализации,эндогенные/экзогенные,Имеет аналоги
42,гибридные конфликты,Условно,институты,принцип эволюции,эндогенные/экзогенные,Часто повторяется
43,биологическое оружие,Да,пространство,принцип устойчивости,эндогенные/экзогенные,Архетипический
44,непрямые стратегии,Да,функция,принцип причинности,институциональные/неформальные,Часто повторяется
45,противопехотные мины,Условно,структура,принцип цикличности,цикличные/каскадные,Имеет аналоги
46,развитие разведки,Да,идентичность/границы,принцип эволюции,дискретные/континуальные,Имеет аналоги
47,система снабжения,Нет,нормы,принцип взаимодействия,дискретные/континуальные,Имеет аналоги
48,оборонительная стратегия,Нет,пространство,принцип адаптации,дискретные/континуальные,Редко встречается
49,мотострелковые войска,Да,структура,принцип децентрализации,институциональные/неформальные,Редко встречается
50,разоружение,Нет,символы,принцип причинности,индивидуальные/коллективные,Архетипический
