№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,изменение границ,Условно,содержание,принцип цикличности,мгновенные/постепенные,Редко встречается
2,развитие картографии,Нет,значения,принцип адаптации,индивидуальные/коллективные,Уникальный
3,миграционные маршруты,Нет,функция,принцип уникальности,эндогенные/экзогенные,Редко встречается
4,торговые пути,Нет,значения,принцип развития,мгновенные/постепенные,Редко встречается
5,изменения в ландшафте,Да,состояние,принцип децентрализации,эндогенные/экзогенные,Архетипический
6,развитие городов,Условно,время/ритм,принцип адаптации,явные/латентные,Редко встречается
7,урбанизация,Условно,поведение,принцип адаптации,цикличные/каскадные,Имеет аналоги
8,переселение народов,Условно,состояние,принцип адаптации,мгновенные/постепенные,Имеет аналоги
9,колонизация,Условно,экономика/обмен,принцип развития,мгновенные/постепенные,Редко встречается
10,транспортные сети,Нет,дискурс,принцип эволюции,институциональные/неформальные,Архетипический
11,формирование аграрных систем,Условно,отношения,принцип причинности,необходимые/возможные,Архетипический
12,заселение островов,Да,функция,принцип эволюции,цикличные/каскадные,Редко встречается
13,развитие поселений,Нет,структура,принцип уникальности,дискретные/континуальные,Уникальный
14,региональные различия,Условно,время/ритм,принцип адаптации,индивидуальные/коллективные,Уникальный
15,геополитические изменения,Да,технология/инфраструктура,принцип причинности,необходимые/возможные,Архетипический
16,исторические карты,Нет,функция,принцип децентрализации,эндогенные/экзогенные,Редко встречается
17,природные ресурсы и поселения,Нет,память/наследие,принцип причинности,явные/латентные,Архетипический
18,распределение населения,Да,память/наследие,принцип цикличности,индивидуальные/коллективные,Архетипический
19,оккупация территорий,Да,отношения,принцип адаптации,явные/латентные,Часто повторяется
20,освоение новых земель,Нет,дискурс,принцип взаимодействия,цикличные/каскадные,Уникальный
21,вырубка лесов,Условно,содержание,принцип децентрализации,мгновенные/постепенные,Уникальный
22,каналы и водные пути,Условно,символы,принцип цикличности,дискретные/континуальные,Архетипический
23,границы и войны,Да,состояние,принцип уникальности,необходимые/возможные,Часто повторяется
24,создание провинций,Да,значения,принцип адаптации,мгновенные/постепенные,Уникальный
25,политические центры,Нет,нормы,принцип развития,явные/латентные,Часто повторяется
26,города-призраки,Условно,экономика/обмен,принцип устойчивости,мгновенные/постепенные,Уникальный
27,духовные и культурные центры,Нет,тело/материя,принцип сложности,цикличные/каскадные,Архетипический
28,сельские ландшафты,Нет,память/наследие,принцип сложности,мгновенные/постепенные,Имеет аналоги
29,выравнивание и террасирование,Да,время/ритм,принцип децентрализации,институциональные/неформальные,Имеет аналоги
30,расширение портов,Да,функция,принцип цикличности,необходимые/возможные,Редко встречается
31,археологические ландшафты,Условно,состояние,принцип эволюции,эндогенные/экзогенные,Архетипический
32,транснациональные коридоры,Нет,пространство,принцип устойчивости,цикличные/каскадные,Архетипический
33,изменение рек,Нет,тело/материя,принцип децентрализации,институциональные/неформальные,Имеет аналоги
34,сельскохозяйственные колонизации,Условно,содержание,принцип сложности,институциональные/неформальные,Часто повторяется
35,индустриальные зоны,Условно,структура,принцип взаимодействия,мгновенные/постепенные,Редко встречается
36,полярные экспедиции,Да,пространство,принцип сложности,индивидуальные/коллективные,Архетипический
37,экспансия империй,Да,идентичность/границы,принцип децентрализации,мгновенные/постепенные,Уникальный
38,стратегические горы,Условно,пространство,принцип причинности,институциональные/неформальные,Имеет аналоги
39,изоляция островов,Нет,дискурс,принцип устойчивости,явные/латентные,Редко встречается
40,переселение столицы,Да,институты,принцип устойчивости,институциональные/неформальные,Имеет аналоги
41,топографические исследования,Да,экономика/обмен,принцип децентрализации,дискретные/континуальные,Редко встречается
42,аграрные реформы,Условно,символы,принцип адаптации,явные/латентные,Имеет аналоги
43,исторические климатические пояса,Да,тело/материя,принцип адаптации,дискретные/континуальные,Архетипический
44,глобализация территорий,Нет,значения,принцип адаптации,институциональные/неформальные,Редко встречается
45,столкновения культур,Условно,функция,принцип децентрализации,цикличные/каскадные,Редко встречается
