№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,борьба за избирательные права,Условно,состояние,принцип причинности,дискретные/континуальные,Часто повторяется
2,движение за образование женщин,Да,значения,принцип адаптации,дискретные/континуальные,Редко встречается
3,женские трудовые движения,Нет,нормы,принцип сложности,явные/латентные,Имеет аналоги
4,домашняя работа,Да,время/ритм,принцип причинности,институциональные/неформальные,Архетипический
5,репродуктивные права,Да,значения,принцип цикличности,цикличные/каскадные,Имеет аналоги
6,женская литература,Условно,экономика/обмен,принцип адаптации,индивидуальные/коллективные,Архетипический
7,участие женщин в войнах,Нет,содержание,принцип взаимодействия,явные/латентные,Архетипический
8,появление женских университетов,Нет,память/наследие,принцип взаимодействия,необходимые/возможные,Уникальный
9,материнство и воспитание,Да,функция,принцип взаимодействия,явные/латентные,Архетипический
10,женские профессиональные карьеры,Да,состояние,принцип децентрализации,цикличные/каскадные,Часто повторяется
11,история моды и красоты,Условно,значения,принцип устойчивости,индивидуальные/коллективные,Имеет аналоги
12,женское предпринимательство,Нет,память/наследие,принцип уникальности,явные/латентные,Редко встречается
13,объединения и клубы,Нет,значения,принцип устойчивости,мгновенные/постепенные,Имеет аналоги
14,феминистские теории,Да,состояние,принцип цикличности,цикличные/каскадные,Редко встречается
15,женщины в политике,Условно,память/наследие,принцип взаимодействия,институциональные/неформальные,Уникальный
16,гендерные стереотипы,Да,время/ритм,принцип взаимодействия,мгновенные/постепенные,Редко встречается
17,насилие и защита прав,Условно,технология/инфраструктура,принцип децентрализации,индивидуальные/коллективные,Уникальный
18,смешанные браки,Условно,функция,принцип децентрализации,явные/латентные,Часто повторяется
19,имущественные права,Нет,память/наследие,принцип децентрализации,мгновенные/постепенные,Уникальный
20,женские альянсы,Условно,экономика/обмен,принцип причинности,индивидуальные/коллективные,Редко встречается
21,женщины в науке,Условно,пространство,принцип развития,мгновенные/постепенные,Уникальный
22,женщины в искусстве,Да,структура,принцип адаптации,институциональные/неформальные,Имеет аналоги
23,движение MeToo,Нет,дискурс,принцип эволюции,явные/латентные,Часто повторяется
24,жизнь королев и правительниц,Да,время/ритм,принцип сложности,институциональные/неформальные,Имеет аналоги
25,женская рабство и освобождение,Условно,дискурс,принцип эволюции,необходимые/возможные,Имеет аналоги
26,разделение труда в семье,Нет,экономика/обмен,принцип эволюции,явные/латентные,Редко встречается
27,семейное право,Нет,время/ритм,принцип причинности,мгновенные/постепенные,Редко встречается
28,образ и мода,Условно,функция,принцип цикличности,необходимые/возможные,Уникальный
29,стеклянный потолок,Условно,технология/инфраструктура,принцип взаимодействия,необходимые/возможные,Часто повторяется
30,интерсекциональный феминизм,Нет,время/ритм,принцип эволюции,институциональные/неформальные,Часто повторяется
31,образование девочек,Нет,нормы,принцип децентрализации,необходимые/возможные,Часто повторяется
32,женская дружба,Условно,память/наследие,принцип причинности,дискретные/континуальные,Редко встречается
33,жизнь на границе,Да,дискурс,принцип уникальности,дискретные/континуальные,Часто повторяется
34,история материнства,Да,память/наследие,принцип сложности,мгновенные/постепенные,Часто повторяется
35,женская сексуальность,Условно,состояние,принцип децентрализации,мгновенные/постепенные,Архетипический
36,репрезентация женщин в культуре,Да,экономика/обмен,принцип причинности,индивидуальные/коллективные,Часто повторяется
37,женская эмиграция,Да,память/наследие,принцип взаимодействия,дискретные/континуальные,Имеет аналоги
38,браки по расчету,Нет,нормы,принцип адаптации,явные/латентные,Часто повторяется
39,женское здоровье,Да,дискурс,принцип уникальности,индивидуальные/коллективные,Имеет аналоги
40,активизм в сфере равенства,Нет,значения,принцип цикличности,эндогенные/экзогенные,Архетипический
41,женщины и религия,Условно,структура,принцип эволюции,институциональные/неформальные,Часто повторяется
42,одиночество и независимость,Условно,значения,принцип причинности,мгновенные/постепенные,Архетипический
43,рождаемость,Да,символы,принцип эволюции,дискретные/континуальные,Часто повторяется
44,ребенок и воспитание,Да,идентичность/границы,принцип децентрализации,институциональные/неформальные,Редко встречается
45,женская старость,Да,технология/инфраструктура,принцип децентрализации,цикличные/каскадные,Уникальный
