№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,возникновение философии,Нет,тело/материя,принцип уникальности,индивидуальные/коллективные,Редко встречается
2,развитие логики,Нет,отношения,принцип причинности,необходимые/возможные,Редко встречается
3,религиозные догмы,Нет,структура,принцип децентрализации,индивидуальные/коллективные,Имеет аналоги
4,появление гуманизма,Да,идентичность/границы,принцип децентрализации,цикличные/каскадные,Архетипический
5,просветительские идеи,Нет,состояние,принцип цикличности,цикличные/каскадные,Архетипический
6,научная революция,Нет,отношения,принцип эволюции,цикличные/каскадные,Уникальный
7,идеи либерализма,Да,технология/инфраструктура,принцип цикличности,необходимые/возможные,Редко встречается
8,социалистические теории,Нет,технология/инфраструктура,принцип причинности,явные/латентные,Часто повторяется
9,консерватизм,Условно,дискурс,принцип эволюции,институциональные/неформальные,Уникальный
10,национализм,Да,пространство,принцип причинности,институциональные/неформальные,Часто повторяется
11,феминизм,Да,структура,принцип взаимодействия,институциональные/неформальные,Уникальный
12,экзистенциализм,Условно,функция,принцип взаимодействия,необходимые/возможные,Имеет аналоги
13,постмодернизм,Условно,состояние,принцип причинности,эндогенные/экзогенные,Часто повторяется
14,эволюционные теории,Условно,структура,принцип адаптации,индивидуальные/коллективные,Имеет аналоги
15,права человека,Да,тело/материя,принцип эволюции,явные/латентные,Часто повторяется
16,демократические ценности,Условно,дискурс,принцип цикличности,необходимые/возможные,Имеет аналоги
17,идея прогресса,Нет,значения,принцип устойчивости,эндогенные/экзогенные,Часто повторяется
18,утопические проекты,Условно,значения,принцип цикличности,мгновенные/постепенные,Уникальный
19,секуляризация,Условно,символы,принцип цикличности,цикличные/каскадные,Имеет аналоги
20,религиозная реформация,Да,институты,принцип уникальности,индивидуальные/коллективные,Имеет аналоги
21,пантеизм,Да,символы,принцип уникальности,цикличные/каскадные,Уникальный
22,рационализм,Да,структура,принцип сложности,мгновенные/постепенные,Уникальный
23,эмпиризм,Да,технология/инфраструктура,принцип развития,цикличные/каскадные,Имеет аналоги
24,скептицизм,Условно,технология/инфраструктура,принцип развития,институциональные/неформальные,Уникальный
25,идея социального контракта,Да,тело/материя,принцип уникальности,необходимые/возможные,Редко встречается
26,коллективизм,Нет,структура,принцип сложности,институциональные/неформальные,Редко встречается
27,индивидуализм,Да,пространство,принцип развития,явные/латентные,Уникальный
28,анархизм,Да,состояние,принцип развития,мгновенные/постепенные,Архетипический
29,капиталистическая теория,Условно,функция,принцип устойчивости,цикличные/каскадные,Имеет аналоги
30,заражение идеями,Нет,технология/инфраструктура,принцип цикличности,индивидуальные/коллективные,Редко встречается
31,диалектический материализм,Нет,идентичность/границы,принцип цикличности,институциональные/неформальные,Редко встречается
32,когнитивная психология,Условно,отношения,принцип устойчивости,индивидуальные/коллективные,Часто повторяется
33,герменевтика,Да,тело/материя,принцип адаптации,явные/латентные,Уникальный
34,структурализм,Да,символы,принцип эволюции,эндогенные/экзогенные,Архетипический
35,постколониальные теории,Условно,функция,принцип сложности,явные/латентные,Уникальный
36,модернизм,Условно,экономика/обмен,принцип взаимодействия,цикличные/каскадные,Часто повторяется
37,после-истории (end of history),Условно,структура,принцип эволюции,эндогенные/экзогенные,Уникальный
38,информационное общество,Да,дискурс,принцип сложности,цикличные/каскадные,Редко встречается
39,глобализация,Да,дискурс,принцип уникальности,эндогенные/экзогенные,Имеет аналоги
40,экологическое сознание,Условно,отношения,принцип причинности,мгновенные/постепенные,Часто повторяется
41,толерантность,Нет,память/наследие,принцип уникальности,мгновенные/постепенные,Архетипический
42,права меньшинств,Да,поведение,принцип эволюции,цикличные/каскадные,Часто повторяется
43,натурализм,Нет,идентичность/границы,принцип цикличности,индивидуальные/коллективные,Архетипический
44,идеи пансловизма,Да,технология/инфраструктура,принцип децентрализации,цикличные/каскадные,Часто повторяется
45,возникновение национальных мифов,Нет,тело/материя,принцип уникальности,дискретные/континуальные,Имеет аналоги
46,культурный релятивизм,Да,состояние,принцип сложности,цикличные/каскадные,Архетипический
47,критическая теория,Нет,функция,принцип децентрализации,эндогенные/экзогенные,Часто повторяется
48,антропоцентризм,Условно,экономика/обмен,принцип сложности,индивидуальные/коллективные,Редко встречается
49,трансгуманизм,Нет,идентичность/границы,принцип уникальности,явные/латентные,Уникальный
50,космополитизм,Нет,символы,принцип цикличности,явные/латентные,Уникальный
