№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,палеолитические рисунки,Да,дискурс,принцип цикличности,цикличные/каскадные,Уникальный
2,античная скульптура,Условно,тело/материя,принцип взаимодействия,явные/латентные,Архетипический
3,византийская мозаика,Условно,состояние,принцип взаимодействия,дискретные/континуальные,Редко встречается
4,готическая архитектура,Да,технология/инфраструктура,принцип сложности,эндогенные/экзогенные,Часто повторяется
5,ренессанс,Нет,пространство,принцип адаптации,институциональные/неформальные,Уникальный
6,барокко,Нет,структура,принцип устойчивости,необходимые/возможные,Часто повторяется
7,рококо,Да,время/ритм,принцип сложности,цикличные/каскадные,Редко встречается
8,классицизм,Условно,содержание,принцип адаптации,явные/латентные,Часто повторяется
9,романтизм,Условно,функция,принцип адаптации,эндогенные/экзогенные,Часто повторяется
10,импрессионизм,Да,время/ритм,принцип устойчивости,дискретные/континуальные,Уникальный
11,постимпрессионизм,Да,пространство,принцип уникальности,необходимые/возможные,Уникальный
12,модернизм,Да,состояние,принцип децентрализации,явные/латентные,Уникальный
13,авангарды,Нет,структура,принцип уникальности,цикличные/каскадные,Имеет аналоги
14,кубизм,Условно,дискурс,принцип сложности,дискретные/континуальные,Архетипический
15,сюрреализм,Да,время/ритм,принцип развития,необходимые/возможные,Имеет аналоги
16,абстракционизм,Да,функция,принцип устойчивости,необходимые/возможные,Архетипический
17,поп-арт,Да,память/наследие,принцип сложности,дискретные/континуальные,Часто повторяется
18,постмодернизм,Условно,отношения,принцип эволюции,дискретные/континуальные,Часто повторяется
19,перфоманс,Да,дискурс,принцип уникальности,эндогенные/экзогенные,Часто повторяется
20,инсталляция,Условно,тело/материя,принцип цикличности,явные/латентные,Архетипический
21,архитектура модерн,Да,содержание,принцип адаптации,дискретные/континуальные,Архетипический
22,фотография,Да,значения,принцип эволюции,индивидуальные/коллективные,Редко встречается
23,киноискусство,Условно,институты,принцип устойчивости,дискретные/континуальные,Часто повторяется
24,дизайн,Условно,функция,принцип устойчивости,необходимые/возможные,Архетипический
25,уличное искусство,Да,идентичность/границы,принцип уникальности,необходимые/возможные,Уникальный
26,компьютерная графика,Да,технология/инфраструктура,принцип адаптации,институциональные/неформальные,Архетипический
27,digital art,Нет,значения,принцип сложности,институциональные/неформальные,Уникальный
28,концептуальное искусство,Да,значения,принцип причинности,дискретные/континуальные,Имеет аналоги
29,деконструктивизм,Да,значения,принцип адаптации,индивидуальные/коллективные,Уникальный
30,неоклассицизм,Нет,содержание,принцип развития,цикличные/каскадные,Уникальный
31,мемориализация,Условно,поведение,принцип уникальности,мгновенные/постепенные,Редко встречается
32,курирование,Да,тело/материя,принцип уникальности,эндогенные/экзогенные,Часто повторяется
33,музейное дело,Условно,тело/материя,принцип сложности,дискретные/континуальные,Уникальный
34,реставрация,Нет,дискурс,принцип взаимодействия,цикличные/каскадные,Уникальный
35,декоративно-прикладное искусство,Нет,состояние,принцип эволюции,необходимые/возможные,Часто повторяется
36,иконопись,Да,поведение,принцип сложности,необходимые/возможные,Часто повторяется
37,перформативные практики,Нет,память/наследие,принцип устойчивости,явные/латентные,Уникальный
38,land art,Да,память/наследие,принцип сложности,эндогенные/экзогенные,Уникальный
39,видеоарт,Условно,идентичность/границы,принцип эволюции,мгновенные/постепенные,Часто повторяется
40,звуковое искусство,Нет,состояние,принцип устойчивости,необходимые/возможные,Имеет аналоги
41,биоарт,Условно,символы,принцип причинности,необходимые/возможные,Редко встречается
42,скульптура 3D-печатью,Нет,поведение,принцип децентрализации,дискретные/континуальные,Имеет аналоги
43,VR art,Да,поведение,принцип взаимодействия,институциональные/неформальные,Уникальный
44,тату-арт,Нет,время/ритм,принцип причинности,индивидуальные/коллективные,Имеет аналоги
45,мода как искусство,Условно,символы,принцип уникальности,дискретные/континуальные,Имеет аналоги
