№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,натурфилософия,Условно,поведение,принцип устойчивости,явные/латентные,Архетипический
2,научная революция,Нет,отношения,принцип развития,дискретные/континуальные,Архетипический
3,формирование научного метода,Нет,нормы,принцип уникальности,эндогенные/экзогенные,Редко встречается
4,история астрономии,Да,нормы,принцип причинности,институциональные/неформальные,Имеет аналоги
5,история физики,Нет,тело/материя,принцип взаимодействия,эндогенные/экзогенные,Часто повторяется
6,история химии,Условно,поведение,принцип развития,необходимые/возможные,Часто повторяется
7,история биологии,Условно,память/наследие,принцип причинности,дискретные/континуальные,Часто повторяется
8,история медицины,Да,экономика/обмен,принцип причинности,необходимые/возможные,Имеет аналоги
9,алхимия,Да,структура,принцип взаимодействия,институциональные/неформальные,Уникальный
10,математическая революция,Да,пространство,принцип сложности,дискретные/континуальные,Имеет аналоги
11,просветительские академии,Нет,технология/инфраструктура,принцип цикличности,институциональные/неформальные,Часто повторяется
12,развитие университетов,Да,значения,принцип сложности,цикличные/каскадные,Уникальный
13,институты науки,Нет,дискурс,принцип децентрализации,явные/латентные,Уникальный
14,научные общества,Условно,состояние,принцип сложности,цикличные/каскадные,Имеет аналоги
15,грантовое финансирование,Да,идентичность/границы,принцип цикличности,дискретные/континуальные,Уникальный
16,история геологии,Нет,институты,принцип цикличности,индивидуальные/коллективные,Уникальный
17,эволюционная теория,Да,память/наследие,принцип цикличности,мгновенные/постепенные,Редко встречается
18,теория относительности,Условно,состояние,принцип адаптации,явные/латентные,Имеет аналоги
19,квантовая механика,Условно,содержание,принцип развития,институциональные/неформальные,Редко встречается
20,клеточная теория,Да,содержание,принцип устойчивости,мгновенные/постепенные,Часто повторяется
21,генетика,Нет,функция,принцип устойчивости,индивидуальные/коллективные,Архетипический
22,вакцинация,Нет,поведение,принцип сложности,институциональные/неформальные,Часто повторяется
23,эпидемиология,Нет,время/ритм,принцип причинности,эндогенные/экзогенные,Архетипический
24,компьютеризация науки,Нет,память/наследие,принцип устойчивости,необходимые/возможные,Архетипический
25,автоматизация исследований,Условно,память/наследие,принцип развития,необходимые/возможные,Редко встречается
26,коллаборации международные,Нет,состояние,принцип сложности,институциональные/неформальные,Редко встречается
27,научная журналистика,Да,структура,принцип развития,необходимые/возможные,Часто повторяется
28,цитируемость,Условно,символы,принцип взаимодействия,институциональные/неформальные,Редко встречается
29,публичное финансирование исследований,Нет,нормы,принцип эволюции,институциональные/неформальные,Имеет аналоги
30,научные кризисы,Условно,память/наследие,принцип уникальности,дискретные/континуальные,Имеет аналоги
31,этика исследований,Нет,структура,принцип адаптации,необходимые/возможные,Архетипический
32,экспериментальные методы,Да,пространство,принцип уникальности,эндогенные/экзогенные,Часто повторяется
33,теория хаоса,Нет,экономика/обмен,принцип сложности,цикличные/каскадные,Имеет аналоги
34,биоинформатика,Да,функция,принцип адаптации,необходимые/возможные,Редко встречается
35,нанонаука,Да,значения,принцип причинности,явные/латентные,Часто повторяется
36,большие данные в науке,Условно,нормы,принцип эволюции,цикличные/каскадные,Часто повторяется
37,open access,Да,идентичность/границы,принцип цикличности,мгновенные/постепенные,Имеет аналоги
38,приборостроение,Условно,состояние,принцип децентрализации,цикличные/каскадные,Редко встречается
39,роль женщин в науке,Нет,символы,принцип развития,необходимые/возможные,Редко встречается
40,интегративные науки,Условно,дискурс,принцип развития,институциональные/неформальные,Часто повторяется
41,критика науки,Да,технология/инфраструктура,принцип цикличности,необходимые/возможные,Архетипический
42,научная революция куперников,Да,время/ритм,принцип уникальности,явные/латентные,Уникальный
43,социальные науки,Условно,технология/инфраструктура,принцип адаптации,индивидуальные/коллективные,Уникальный
44,германевтические методы,Нет,идентичность/границы,принцип цикличности,индивидуальные/коллективные,Часто повторяется
45,философия науки,Условно,экономика/обмен,принцип причинности,индивидуальные/коллективные,Архетипический
