№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,изобретение каменных орудий,Да,экономика/обмен,принцип сложности,мгновенные/постепенные,Уникальный
2,разработка металлургии,Нет,тело/материя,принцип эволюции,эндогенные/экзогенные,Имеет аналоги
3,создание парового двигателя,Условно,идентичность/границы,принцип уникальности,мгновенные/постепенные,Имеет аналоги
4,внедрение электричества,Нет,структура,принцип причинности,необходимые/возможные,Имеет аналоги
5,телеграф и телефон,Условно,дискурс,принцип децентрализации,институциональные/неформальные,Часто повторяется
6,изобретение компьютера,Условно,содержание,принцип адаптации,явные/латентные,Редко встречается
7,развитие информационных технологий,Условно,технология/инфраструктура,принцип уникальности,дискретные/континуальные,Имеет аналоги
8,автомобилизация,Нет,символы,принцип причинности,дискретные/континуальные,Имеет аналоги
9,авиация,Нет,значения,принцип уникальности,институциональные/неформальные,Уникальный
10,космические полеты,Нет,содержание,принцип причинности,эндогенные/экзогенные,Имеет аналоги
11,разработка генетики,Да,символы,принцип уникальности,цикличные/каскадные,Архетипический
12,цифровая революция,Да,символы,принцип эволюции,явные/латентные,Имеет аналоги
13,создание интернета,Да,символы,принцип цикличности,мгновенные/постепенные,Часто повторяется
14,энергетические технологии,Нет,значения,принцип развития,цикличные/каскадные,Уникальный
15,нанотехнологии,Да,память/наследие,принцип устойчивости,явные/латентные,Часто повторяется
16,изобретение пороха,Нет,состояние,принцип устойчивости,мгновенные/постепенные,Редко встречается
17,изобретение бумаги,Нет,содержание,принцип развития,институциональные/неформальные,Имеет аналоги
18,изобретение компаса,Да,время/ритм,принцип эволюции,мгновенные/постепенные,Уникальный
19,печатный станок,Да,институты,принцип причинности,цикличные/каскадные,Уникальный
20,усовершенствование часов,Да,время/ритм,принцип децентрализации,эндогенные/экзогенные,Редко встречается
21,индустриализация,Нет,нормы,принцип сложности,мгновенные/постепенные,Часто повторяется
22,атомная энергия,Да,дискурс,принцип адаптации,дискретные/континуальные,Редко встречается
23,полупроводники,Да,пространство,принцип эволюции,мгновенные/постепенные,Уникальный
24,мобильные телефоны,Условно,тело/материя,принцип взаимодействия,мгновенные/постепенные,Редко встречается
25,криптография,Нет,дискурс,принцип взаимодействия,необходимые/возможные,Имеет аналоги
26,искусственный интеллект,Условно,функция,принцип эволюции,индивидуальные/коллективные,Редко встречается
27,роботизация,Нет,пространство,принцип децентрализации,дискретные/континуальные,Уникальный
28,биотехнологии,Условно,экономика/обмен,принцип цикличности,цикличные/каскадные,Редко встречается
29,зеленые технологии,Условно,экономика/обмен,принцип уникальности,явные/латентные,Редко встречается
30,возобновляемые источники энергии,Условно,нормы,принцип децентрализации,индивидуальные/коллективные,Уникальный
31,медицина: антибиотики,Нет,значения,принцип уникальности,необходимые/возможные,Архетипический
32,микроскопия,Да,дискурс,принцип адаптации,дискретные/континуальные,Редко встречается
33,телевидение,Условно,символы,принцип устойчивости,мгновенные/постепенные,Уникальный
34,электронная коммерция,Условно,содержание,принцип эволюции,индивидуальные/коллективные,Имеет аналоги
35,3D-печать,Да,символы,принцип причинности,явные/латентные,Часто повторяется
36,спутниковая связь,Да,функция,принцип устойчивости,институциональные/неформальные,Архетипический
37,квантовые вычисления,Нет,идентичность/границы,принцип децентрализации,необходимые/возможные,Архетипический
38,беспилотные технологии,Да,идентичность/границы,принцип адаптации,мгновенные/постепенные,Редко встречается
39,геномное редактирование,Да,символы,принцип децентрализации,цикличные/каскадные,Редко встречается
40,современная сельхоз техника,Нет,институты,принцип причинности,необходимые/возможные,Имеет аналоги
41,термоядерный синтез,Нет,идентичность/границы,принцип адаптации,эндогенные/экзогенные,Часто повторяется
42,оптоволоконные технологии,Да,экономика/обмен,принцип развития,эндогенные/экзогенные,Редко встречается
43,социальные сети,Нет,время/ритм,принцип причинности,дискретные/континуальные,Имеет аналоги
44,большие данные,Да,символы,принцип уникальности,необходимые/возможные,Уникальный
45,облачные вычисления,Нет,технология/инфраструктура,принцип цикличности,явные/латентные,Архетипический
46,интернет вещей,Условно,отношения,принцип цикличности,институциональные/неформальные,Редко встречается
47,глубокое обучение,Да,тело/материя,принцип сложности,явные/латентные,Уникальный
48,геймификация технологических процессов,Да,экономика/обмен,принцип цикличности,необходимые/возможные,Уникальный
49,кибербезопасность,Условно,функция,принцип уникальности,мгновенные/постепенные,Архетипический
50,VR/AR технологии,Условно,пространство,принцип взаимодействия,цикличные/каскадные,Редко встречается
51,умные города,Да,содержание,принцип адаптации,явные/латентные,Архетипический
52,блокчейн,Условно,значения,принцип эволюции,эндогенные/экзогенные,Имеет аналоги
53,доставочные дроны,Нет,символы,принцип эволюции,индивидуальные/коллективные,Уникальный
