№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,зарождение земледелия,Нет,технология/инфраструктура,принцип причинности,эндогенные/экзогенные,Архетипический
2,развитие ирригации,Нет,время/ритм,принцип развития,явные/латентные,Часто повторяется
3,урбанизация,Условно,нормы,принцип децентрализации,дискретные/континуальные,Часто повторяется
4,формирование государств,Да,состояние,принцип адаптации,эндогенные/экзогенные,Архетипический
5,возникновение письменности,Условно,функция,принцип развития,мгновенные/постепенные,Уникальный
6,развитие металлургии,Условно,значения,принцип устойчивости,мгновенные/постепенные,Часто повторяется
7,рост торговли,Нет,значения,принцип адаптации,индивидуальные/коллективные,Архетипический
8,становление религиозных институтов,Нет,тело/материя,принцип децентрализации,эндогенные/экзогенные,Уникальный
9,колонизация территорий,Условно,структура,принцип эволюции,цикличные/каскадные,Уникальный
10,введение налоговых систем,Условно,экономика/обмен,принцип уникальности,индивидуальные/коллективные,Часто повторяется
11,разделение труда,Условно,отношения,принцип взаимодействия,индивидуальные/коллективные,Имеет аналоги
12,формирование социальных классов,Да,память/наследие,принцип устойчивости,мгновенные/постепенные,Уникальный
13,появление монетной экономики,Нет,идентичность/границы,принцип устойчивости,мгновенные/постепенные,Часто повторяется
14,расцвет искусств,Условно,символы,принцип эволюции,институциональные/неформальные,Архетипический
15,создание бюрократии,Да,память/наследие,принцип адаптации,эндогенные/экзогенные,Редко встречается
16,расширение империй,Да,время/ритм,принцип уникальности,индивидуальные/коллективные,Часто повторяется
17,упадок цивилизаций,Да,нормы,принцип цикличности,необходимые/возможные,Архетипический
18,переселение народов,Условно,дискурс,принцип устойчивости,мгновенные/постепенные,Уникальный
19,влияние климата на цивилизации,Условно,функция,принцип цикличности,необходимые/возможные,Уникальный
20,инновации в строительстве,Условно,память/наследие,принцип сложности,эндогенные/экзогенные,Архетипический
21,сельскохозяйственные революции,Да,нормы,принцип адаптации,цикличные/каскадные,Архетипический
22,технологическая диффузия,Нет,тело/материя,принцип устойчивости,институциональные/неформальные,Уникальный
23,религиозные реформы,Нет,состояние,принцип устойчивости,институциональные/неформальные,Имеет аналоги
24,политические революции,Да,структура,принцип развития,мгновенные/постепенные,Имеет аналоги
25,экономические кризисы,Нет,поведение,принцип уникальности,цикличные/каскадные,Уникальный
26,достижения науки,Да,функция,принцип взаимодействия,необходимые/возможные,Архетипический
27,кодекс законов,Условно,память/наследие,принцип адаптации,мгновенные/постепенные,Уникальный
28,военные инновации,Да,нормы,принцип адаптации,мгновенные/постепенные,Редко встречается
29,письменные литературные памятники,Да,пространство,принцип эволюции,необходимые/возможные,Архетипический
30,миграции населения,Да,нормы,принцип цикличности,мгновенные/постепенные,Редко встречается
31,национальные освободительные движения,Да,содержание,принцип причинности,цикличные/каскадные,Архетипический
32,ресурсные войны,Да,дискурс,принцип эволюции,индивидуальные/коллективные,Уникальный
33,демографические переходы,Условно,символы,принцип уникальности,цикличные/каскадные,Имеет аналоги
34,создание инфраструктур,Да,идентичность/границы,принцип устойчивости,необходимые/возможные,Архетипический
35,формирование образования,Да,время/ритм,принцип взаимодействия,эндогенные/экзогенные,Часто повторяется
36,влияние торговли на культуру,Условно,экономика/обмен,принцип адаптации,дискретные/континуальные,Имеет аналоги
37,экологические катастрофы,Да,поведение,принцип цикличности,институциональные/неформальные,Архетипический
38,институт рабства,Нет,состояние,принцип адаптации,явные/латентные,Имеет аналоги
39,революции в культуре,Да,экономика/обмен,принцип сложности,эндогенные/экзогенные,Часто повторяется
40,строительство храмов,Нет,дискурс,принцип цикличности,необходимые/возможные,Редко встречается
41,изобретение колеса,Условно,отношения,принцип уникальности,необходимые/возможные,Архетипический
42,распространение языков,Нет,функция,принцип взаимодействия,явные/латентные,Часто повторяется
43,моральные кодексы,Условно,символы,принцип уникальности,дискретные/континуальные,Часто повторяется
44,экономические альянсы,Нет,технология/инфраструктура,принцип эволюции,необходимые/возможные,Архетипический
45,управление водными ресурсами,Да,значения,принцип цикличности,индивидуальные/коллективные,Имеет аналоги
46,транспортные сети,Условно,тело/материя,принцип сложности,цикличные/каскадные,Уникальный
47,формирование финансовых систем,Нет,технология/инфраструктура,принцип причинности,дискретные/континуальные,Редко встречается
48,экспедиции и открытия,Да,дискурс,принцип цикличности,явные/латентные,Архетипический
49,создание писаных законов,Нет,память/наследие,принцип адаптации,необходимые/возможные,Уникальный
50,смена династий,Нет,значения,принцип развития,явные/латентные,Уникальный
51,восстания,Нет,нормы,принцип децентрализации,мгновенные/постепенные,Имеет аналоги
52,архитектурные достижения,Да,время/ритм,принцип сложности,институциональные/неформальные,Уникальный
53,укрепление границ,Да,структура,принцип причинности,мгновенные/постепенные,Имеет аналоги
54,влияние соседних культур,Да,нормы,принцип развития,эндогенные/экзогенные,Имеет аналоги
