№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,исследование отдельного события,Нет,институты,принцип цикличности,цикличные/каскадные,Редко встречается
2,анализ местного сообщества,Нет,функция,принцип сложности,необходимые/возможные,Имеет аналоги
3,биография отдельной личности,Условно,структура,принцип сложности,дискретные/континуальные,Имеет аналоги
4,изучение деревни,Да,структура,принцип уникальности,необходимые/возможные,Уникальный
5,семейная история,Да,состояние,принцип адаптации,дискретные/континуальные,Имеет аналоги
6,городские легенды,Условно,время/ритм,принцип причинности,цикличные/каскадные,Редко встречается
7,экономика домохозяйства,Условно,значения,принцип взаимодействия,дискретные/континуальные,Часто повторяется
8,история ремесла,Условно,нормы,принцип децентрализации,цикличные/каскадные,Уникальный
9,местные обряды,Да,технология/инфраструктура,принцип адаптации,институциональные/неформальные,Уникальный
10,микродинамика социальной сети,Нет,технология/инфраструктура,принцип взаимодействия,явные/латентные,Редко встречается
11,микроанализ судебного дела,Да,время/ритм,принцип взаимодействия,явные/латентные,Редко встречается
12,анализ дневников,Условно,отношения,принцип развития,эндогенные/экзогенные,Архетипический
13,история одной войны на местном уровне,Нет,память/наследие,принцип причинности,явные/латентные,Имеет аналоги
14,малые этнографические исследования,Нет,содержание,принцип адаптации,институциональные/неформальные,Редко встречается
15,анализ приходских записей,Условно,состояние,принцип децентрализации,необходимые/возможные,Имеет аналоги
16,исследование одного предприятия,Условно,время/ритм,принцип причинности,цикличные/каскадные,Редко встречается
17,микроэкономическая история,Нет,состояние,принцип устойчивости,явные/латентные,Имеет аналоги
18,история соседства,Да,значения,принцип устойчивости,цикличные/каскадные,Имеет аналоги
19,анализ устных воспоминаний,Условно,символы,принцип децентрализации,мгновенные/постепенные,Часто повторяется
20,климат местности,Нет,функция,принцип уникальности,явные/латентные,Архетипический
21,семейные взаимоотношения,Да,нормы,принцип развития,дискретные/континуальные,Архетипический
22,микроистория преступности,Нет,символы,принцип сложности,необходимые/возможные,Часто повторяется
23,повседневный быт,Условно,технология/инфраструктура,принцип причинности,цикличные/каскадные,Часто повторяется
24,модернизация сельских районов,Нет,нормы,принцип уникальности,дискретные/континуальные,Имеет аналоги
25,миграция внутри страны,Да,пространство,принцип цикличности,необходимые/возможные,Редко встречается
26,история школьных классов,Условно,время/ритм,принцип устойчивости,мгновенные/постепенные,Уникальный
27,история одной политики,Нет,память/наследие,принцип децентрализации,дискретные/континуальные,Имеет аналоги
28,микроистория медицины,Да,нормы,принцип цикличности,индивидуальные/коллективные,Уникальный
29,влияние налоговой реформы на семью,Условно,функция,принцип устойчивости,институциональные/неформальные,Архетипический
30,технологии в деревне,Условно,символы,принцип уникальности,мгновенные/постепенные,Редко встречается
31,культурные контакты,Нет,поведение,принцип уникальности,институциональные/неформальные,Архетипический
32,исследование архива письма,Условно,функция,принцип сложности,эндогенные/экзогенные,Имеет аналоги
33,жизненный цикл продукта,Нет,пространство,принцип сложности,явные/латентные,Архетипический
34,история одного танца,Нет,технология/инфраструктура,принцип сложности,мгновенные/постепенные,Имеет аналоги
35,микроистория спорта,Да,структура,принцип адаптации,мгновенные/постепенные,Имеет аналоги
36,правовые случаи,Условно,идентичность/границы,принцип эволюции,эндогенные/экзогенные,Архетипический
37,микроистория церкви,Да,время/ритм,принцип эволюции,необходимые/возможные,Уникальный
38,экологические изменения на локальном уровне,Да,пространство,принцип устойчивости,институциональные/неформальные,Уникальный
39,микроистория моды,Условно,тело/материя,принцип уникальности,эндогенные/экзогенные,Редко встречается
40,микроистория литературы,Да,поведение,принцип децентрализации,мгновенные/постепенные,Архетипический
41,локальные бунты,Да,структура,принцип цикличности,цикличные/каскадные,Архетипический
42,микроистория эпидемии,Условно,нормы,принцип устойчивости,цикличные/каскадные,Часто повторяется
43,способы торговли,Да,функция,принцип сложности,дискретные/континуальные,Редко встречается
44,семейные альбомы,Условно,содержание,принцип сложности,мгновенные/постепенные,Архетипический
45,коллективная память,Нет,значения,принцип взаимодействия,явные/латентные,Уникальный
46,история образования семьи,Нет,состояние,принцип развития,явные/латентные,Архетипический
47,культурные трансферты,Условно,время/ритм,принцип устойчивости,эндогенные/экзогенные,Имеет аналоги
48,микроистория миграций,Да,память/наследие,принцип уникальности,дискретные/континуальные,Часто повторяется
49,микроистория насилия,Условно,функция,принцип устойчивости,мгновенные/постепенные,Уникальный
50,потребление и потребительская культура,Нет,время/ритм,принцип адаптации,цикличные/каскадные,Архетипический
