№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,изменение климата,Да,тело/материя,принцип уникальности,дискретные/континуальные,Часто повторяется
2,пользование природных ресурсов,Да,технология/инфраструктура,принцип развития,необходимые/возможные,Уникальный
3,история лесов,Да,дискурс,принцип эволюции,институциональные/неформальные,Часто повторяется
4,история рек,Условно,символы,принцип причинности,индивидуальные/коллективные,Архетипический
5,аграрные практики,Да,дискурс,принцип адаптации,необходимые/возможные,Редко встречается
6,охота и рыболовство,Нет,дискурс,принцип адаптации,индивидуальные/коллективные,Часто повторяется
7,опустынивание,Нет,память/наследие,принцип устойчивости,явные/латентные,Уникальный
8,охрана природы,Нет,пространство,принцип цикличности,необходимые/возможные,Имеет аналоги
9,история зоопарков,Условно,экономика/обмен,принцип сложности,необходимые/возможные,Имеет аналоги
10,зоопарки и ботанические сады,Да,символы,принцип эволюции,дискретные/континуальные,Имеет аналоги
11,промышленные выбросы,Нет,структура,принцип уникальности,цикличные/каскадные,Уникальный
12,энергетическая история,Условно,институты,принцип устойчивости,эндогенные/экзогенные,Часто повторяется
13,горнодобыча,Нет,технология/инфраструктура,принцип устойчивости,необходимые/возможные,Имеет аналоги
14,эволюция сельского хозяйства,Условно,идентичность/границы,принцип уникальности,индивидуальные/коллективные,Имеет аналоги
15,экологические движения,Да,институты,принцип развития,дискретные/континуальные,Имеет аналоги
16,распространение болезней через природу,Условно,дискурс,принцип децентрализации,необходимые/возможные,Имеет аналоги
17,пожары и природные катастрофы,Да,технология/инфраструктура,принцип цикличности,индивидуальные/коллективные,Архетипический
18,история климатических кризисов,Да,поведение,принцип взаимодействия,эндогенные/экзогенные,Уникальный
19,национальные парки,Условно,тело/материя,принцип взаимодействия,необходимые/возможные,Редко встречается
20,борьба за чистый воздух,Да,время/ритм,принцип децентрализации,цикличные/каскадные,Имеет аналоги
21,экологическое законодательство,Нет,память/наследие,принцип децентрализации,явные/латентные,Уникальный
22,история водоснабжения,Да,отношения,принцип децентрализации,необходимые/возможные,Уникальный
23,селекция растений,Да,институты,принцип сложности,явные/латентные,Часто повторяется
24,история рыбных промыслов,Нет,пространство,принцип сложности,эндогенные/экзогенные,Уникальный
25,урбанизация и природа,Да,институты,принцип взаимодействия,необходимые/возможные,Уникальный
26,загрязнение почв,Условно,отношения,принцип устойчивости,индивидуальные/коллективные,Редко встречается
27,история катастрофических наводнений,Условно,функция,принцип адаптации,эндогенные/экзогенные,Уникальный
28,история эпидемий,Условно,функция,принцип уникальности,институциональные/неформальные,Часто повторяется
29,история орошения,Нет,идентичность/границы,принцип развития,дискретные/континуальные,Уникальный
30,сохраняемость видов,Нет,нормы,принцип адаптации,цикличные/каскадные,Часто повторяется
31,экологическая сознательность,Нет,символы,принцип устойчивости,дискретные/континуальные,Редко встречается
32,биоинженерия,Нет,значения,принцип уникальности,цикличные/каскадные,Редко встречается
33,история энергии,Условно,время/ритм,принцип децентрализации,эндогенные/экзогенные,Архетипический
34,лесозаготовки,Да,нормы,принцип сложности,индивидуальные/коллективные,Часто повторяется
35,деградация земель,Условно,поведение,принцип децентрализации,дискретные/континуальные,Архетипический
36,сельское хозяйство и природные циклы,Условно,память/наследие,принцип децентрализации,явные/латентные,Часто повторяется
37,экологические образования,Нет,технология/инфраструктура,принцип развития,явные/латентные,Архетипический
38,миграция животных,Да,нормы,принцип развития,явные/латентные,Уникальный
39,переселение людей из-за экологии,Да,нормы,принцип адаптации,мгновенные/постепенные,Часто повторяется
40,история биоразнообразия,Да,нормы,принцип цикличности,дискретные/континуальные,Часто повторяется
41,водные войны,Условно,дискурс,принцип причинности,необходимые/возможные,Уникальный
42,вымирание видов,Условно,поведение,принцип развития,индивидуальные/коллективные,Редко встречается
43,использование торфа,Нет,пространство,принцип уникальности,мгновенные/постепенные,Архетипический
44,водно-болотные угодья,Нет,состояние,принцип причинности,дискретные/континуальные,Уникальный
45,морская история,Условно,память/наследие,принцип развития,институциональные/неформальные,Имеет аналоги
46,история природоохранных организаций,Нет,нормы,принцип уникальности,дискретные/континуальные,Имеет аналоги
47,природные ресурсы и экономическое развитие,Нет,функция,принцип адаптации,цикличные/каскадные,Архетипический
48,экологические конфликты,Условно,институты,принцип причинности,необходимые/возможные,Редко встречается
