№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,сельскохозяйственные системы,Да,пространство,принцип сложности,эндогенные/экзогенные,Имеет аналоги
2,торговля и рынки,Да,дискурс,принцип взаимодействия,институциональные/неформальные,Редко встречается
3,денежные реформы,Да,значения,принцип адаптации,дискретные/континуальные,Часто повторяется
4,бухгалтерия,Да,функция,принцип развития,дискретные/континуальные,Архетипический
5,финансовые кризисы,Условно,состояние,принцип устойчивости,явные/латентные,Имеет аналоги
6,банковское дело,Условно,поведение,принцип адаптации,институциональные/неформальные,Архетипический
7,налогообложение,Да,отношения,принцип децентрализации,явные/латентные,Имеет аналоги
8,казначейство,Нет,время/ритм,принцип развития,индивидуальные/коллективные,Часто повторяется
9,инфляция,Нет,значения,принцип причинности,необходимые/возможные,Имеет аналоги
10,рост ВВП,Да,поведение,принцип децентрализации,явные/латентные,Уникальный
11,индустриализация,Нет,идентичность/границы,принцип развития,явные/латентные,Редко встречается
12,урбанизация,Нет,время/ритм,принцип причинности,мгновенные/постепенные,Уникальный
13,международная торговля,Нет,поведение,принцип развития,явные/латентные,Часто повторяется
14,колониальная экономика,Условно,технология/инфраструктура,принцип устойчивости,институциональные/неформальные,Имеет аналоги
15,рабство и труд,Условно,отношения,принцип эволюции,мгновенные/постепенные,Архетипический
16,экономические теории,Да,идентичность/границы,принцип уникальности,мгновенные/постепенные,Архетипический
17,потребительская революция,Да,структура,принцип причинности,мгновенные/постепенные,Часто повторяется
18,финансовые пузыри,Да,время/ритм,принцип цикличности,индивидуальные/коллективные,Часто повторяется
19,инвестиции,Нет,поведение,принцип цикличности,индивидуальные/коллективные,Имеет аналоги
20,развитие транспорта,Да,институты,принцип развития,явные/латентные,Часто повторяется
21,экспортно-ориентированная экономика,Да,дискурс,принцип взаимодействия,мгновенные/постепенные,Имеет аналоги
22,ресурсы и сырьевые рынки,Условно,технология/инфраструктура,принцип цикличности,индивидуальные/коллективные,Архетипический
23,рабочее движение,Да,пространство,принцип децентрализации,явные/латентные,Имеет аналоги
24,экономические депрессии,Условно,дискурс,принцип эволюции,эндогенные/экзогенные,Архетипический
25,миграция рабочей силы,Условно,институты,принцип причинности,дискретные/континуальные,Имеет аналоги
26,экономическая глобализация,Условно,структура,принцип сложности,дискретные/континуальные,Имеет аналоги
27,налоговые системы,Нет,память/наследие,принцип причинности,институциональные/неформальные,Имеет аналоги
28,экономическое планирование,Условно,поведение,принцип устойчивости,институциональные/неформальные,Редко встречается
29,аграрные реформы,Да,дискурс,принцип взаимодействия,мгновенные/постепенные,Часто повторяется
30,история корпораций,Нет,дискурс,принцип уникальности,эндогенные/экзогенные,Имеет аналоги
31,пенсионные системы,Нет,память/наследие,принцип сложности,мгновенные/постепенные,Имеет аналоги
32,экономика знаний,Нет,состояние,принцип адаптации,мгновенные/постепенные,Архетипический
33,цифровая экономика,Да,тело/материя,принцип цикличности,цикличные/каскадные,Часто повторяется
34,теневая экономика,Условно,память/наследие,принцип взаимодействия,дискретные/континуальные,Уникальный
35,торговые войны,Нет,тело/материя,принцип уникальности,цикличные/каскадные,Архетипический
36,таможенные союзы,Да,пространство,принцип сложности,цикличные/каскадные,Архетипический
37,экономическая интеграция,Да,память/наследие,принцип адаптации,дискретные/континуальные,Уникальный
38,неолиберализм,Нет,тело/материя,принцип децентрализации,цикличные/каскадные,Имеет аналоги
39,государственное вмешательство,Нет,нормы,принцип сложности,мгновенные/постепенные,Уникальный
40,развитие потребительского кредита,Условно,время/ритм,принцип эволюции,явные/латентные,Имеет аналоги
41,производительные силы,Да,нормы,принцип взаимодействия,индивидуальные/коллективные,Уникальный
42,продовольственные поставки,Условно,время/ритм,принцип сложности,мгновенные/постепенные,Архетипический
43,энергетический рынок,Да,идентичность/границы,принцип взаимодействия,индивидуальные/коллективные,Редко встречается
44,золотовалютный стандарт,Да,нормы,принцип эволюции,дискретные/континуальные,Архетипический
45,развитие банковских систем,Да,память/наследие,принцип адаптации,цикличные/каскадные,Архетипический
