№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Определение потребностей взрослых учащихся,Да,дискурс,принцип рефлексии,индивидуальные/коллективные,уникальный
2,Диагностика жизненного опыта,Условно,структура,принцип инклюзии,цикличные/каскадные,уникальный
3,Создание мотивационных условий,Нет,отношения,принцип адаптивности,институциональные/неформальные,аналог
4,Формирование автономии,Нет,память/наследие,принцип критичности,дискретные/континуальные,уникальный
5,Построение партнерских отношений,Нет,значения,принцип активности,эндогенные/экзогенные,уникальный
6,Адаптация содержания,Нет,дискурс,принцип инклюзии,цикличные/каскадные,уникальный
7,Гибкая организация времени,Нет,тело/материя,принцип коллаборации,мгновенные/постепенные,уникальный
8,Индивидуализация обучения,Нет,функция,принцип самостоятельности,цикличные/каскадные,уникальный
9,Опора на саморефлексию,Условно,поведение,принцип критичности,цикличные/каскадные,уникальный
10,Использование практических примеров,Да,институты,принцип системности,эндогенные/экзогенные,аналог
11,Применение проблемного обучения,Условно,институты,принцип коллаборации,индивидуальные/коллективные,аналог
12,Стимулирование самообразования,Нет,нормы,принцип системности,эндогенные/экзогенные,уникальный
13,Создание безопасной атмосферы,Нет,функция,принцип критичности,институциональные/неформальные,аналог
14,Использование групповых обсуждений,Условно,технология/инфраструктура,принцип адаптивности,мгновенные/постепенные,уникальный
15,Обмен опытом,Условно,технология/инфраструктура,принцип педагогической любви,цикличные/каскадные,аналог
16,Разработка профессиональных компетенций,Условно,идентичность/границы,принцип системности,институциональные/неформальные,уникальный
17,Поддержка самоконтроля,Нет,содержание,принцип критичности,дискретные/континуальные,уникальный
18,Формирование целей,Да,тело/материя,принцип активности,дискретные/континуальные,аналог
19,Построение доверия,Условно,пространство,принцип адаптивности,институциональные/неформальные,уникальный
20,Обучение через кейсы,Нет,содержание,принцип педагогической любви,эндогенные/экзогенные,аналог
21,Интеграция навыков работы,Условно,состояние,принцип рефлексии,мгновенные/постепенные,уникальный
22,Корректировка программы,Нет,экономика/обмен,принцип критичности,дискретные/континуальные,аналог
23,Оценка достижений,Нет,нормы,принцип инклюзии,институциональные/неформальные,аналог
24,Развитие цифровых навыков,Нет,институты,принцип активности,явные/латентные,аналог
25,Содействие сетевому обучению,Условно,технология/инфраструктура,принцип системности,институциональные/неформальные,аналог
26,Поддержка лайфтайм-обучения,Нет,структура,принцип системности,явные/латентные,аналог
27,Развитие эмоционального интеллекта,Нет,дискурс,принцип коллаборации,институциональные/неформальные,уникальный
28,Построение наставничества,Да,технология/инфраструктура,принцип адаптивности,явные/латентные,уникальный
29,Использование рефлексии,Нет,состояние,принцип критичности,необходимые/возможные,уникальный
30,Формирование компетенций soft skills,Да,содержание,принцип самостоятельности,дискретные/континуальные,уникальный
31,Предоставление обратной связи,Нет,дискурс,принцип самостоятельности,индивидуальные/коллективные,уникальный
32,Оценка релевантности знаний,Условно,пространство,принцип адаптивности,индивидуальные/коллективные,уникальный
33,Создание мотивационных стимулов,Условно,функция,принцип обратной связи,индивидуальные/коллективные,аналог
34,Стимулирование внутренней мотивации,Нет,время/ритм,принцип коллаборации,мгновенные/постепенные,уникальный
35,Мониторинг прогресса,Да,память/наследие,принцип адаптивности,эндогенные/экзогенные,уникальный
36,Совместное планирование,Нет,структура,принцип критичности,цикличные/каскадные,уникальный
37,Интеграция теории и практики,Нет,нормы,принцип системности,необходимые/возможные,аналог
38,Развитие профессиональных сетей,Нет,состояние,принцип активности,эндогенные/экзогенные,уникальный
39,Использование blended learning,Да,содержание,принцип коллаборации,индивидуальные/коллективные,уникальный
40,Расширение кругозора,Нет,институты,принцип самостоятельности,явные/латентные,аналог
41,Адаптация методов,Да,состояние,принцип обратной связи,явные/латентные,уникальный
42,Подготовка к экзаменам,Нет,отношения,принцип педагогической любви,эндогенные/экзогенные,уникальный
43,Вызов когнитивных установок,Условно,содержание,принцип самостоятельности,дискретные/континуальные,аналог
44,Поощрение самовыражения,Да,символы,принцип критичности,эндогенные/экзогенные,уникальный
45,Управление временем,Условно,поведение,принцип адаптивности,индивидуальные/коллективные,аналог
46,Учет культурных особенностей,Да,идентичность/границы,принцип обратной связи,мгновенные/постепенные,аналог
47,Стимулирование творчества,Да,поведение,принцип инклюзии,цикличные/каскадные,аналог
48,Формирование глобального мышления,Да,память/наследие,принцип практичности,эндогенные/экзогенные,уникальный
49,Развитие коммуникативных навыков,Нет,институты,принцип инклюзии,необходимые/возможные,уникальный
