№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Определение целей обучения,Да,экономика/обмен,принцип самостоятельности,дискретные/континуальные,аналог
2,Разработка учебного плана,Условно,память/наследие,принцип адаптивности,эндогенные/экзогенные,уникальный
3,Селекция учебного материала,Условно,институты,принцип коллаборации,дискретные/континуальные,аналог
4,Выбор методов обучения,Нет,отношения,принцип коллаборации,мгновенные/постепенные,уникальный
5,Структурирование урока,Условно,состояние,принцип рефлексии,институциональные/неформальные,аналог
6,Определение критериев оценки,Да,содержание,принцип адаптивности,дискретные/континуальные,аналог
7,Диагностика исходных знаний,Да,состояние,принцип коллаборации,цикличные/каскадные,аналог
8,Адаптация контента под уровень учеников,Условно,отношения,принцип инклюзии,институциональные/неформальные,уникальный
9,Подготовка образовательных ресурсов,Условно,состояние,принцип системности,эндогенные/экзогенные,аналог
10,Организация учебного пространства,Нет,значения,принцип самостоятельности,эндогенные/экзогенные,уникальный
11,Управление вниманием учеников,Да,память/наследие,принцип системности,институциональные/неформальные,уникальный
12,Постановка вопросов,Нет,символы,принцип практичности,мгновенные/постепенные,аналог
13,Использование наглядности,Да,технология/инфраструктура,принцип самостоятельности,индивидуальные/коллективные,уникальный
14,Организация групповой работы,Условно,институты,принцип коллаборации,необходимые/возможные,уникальный
15,Контроль понимания,Нет,содержание,принцип рефлексии,явные/латентные,аналог
16,Предоставление обратной связи,Да,отношения,принцип системности,цикличные/каскадные,аналог
17,Коррекция ошибок,Да,тело/материя,принцип инклюзии,мгновенные/постепенные,аналог
18,Формирование мотивации,Нет,память/наследие,принцип активности,цикличные/каскадные,аналог
19,Регулирование темпа подачи,Нет,память/наследие,принцип обратной связи,индивидуальные/коллективные,уникальный
20,Учет индивидуальных стилей обучения,Да,значения,принцип активности,цикличные/каскадные,аналог
21,Интеграция дисциплин,Нет,значения,принцип самостоятельности,необходимые/возможные,уникальный
22,Моделирование ситуаций,Да,время/ритм,принцип педагогической любви,мгновенные/постепенные,аналог
23,Делегирование ответственности,Нет,идентичность/границы,принцип инклюзии,необходимые/возможные,аналог
24,Планирование домашних заданий,Условно,состояние,принцип активности,дискретные/континуальные,аналог
25,Применение технологии обучения,Условно,структура,принцип критичности,необходимые/возможные,уникальный
26,Построение диалога,Нет,технология/инфраструктура,принцип обратной связи,необходимые/возможные,аналог
27,Интерпретация результатов,Условно,дискурс,принцип обратной связи,индивидуальные/коллективные,аналог
28,Дифференциация заданий,Нет,время/ритм,принцип адаптивности,эндогенные/экзогенные,аналог
29,Организация самооценки,Условно,отношения,принцип активности,мгновенные/постепенные,аналог
30,Рефлексия педагога,Да,состояние,принцип практичности,индивидуальные/коллективные,уникальный
31,Поддержка метапознания,Условно,пространство,принцип адаптивности,институциональные/неформальные,уникальный
32,Постановка проблемных задач,Да,идентичность/границы,принцип рефлексии,цикличные/каскадные,уникальный
33,Стимулирование креативности,Условно,идентичность/границы,принцип активности,необходимые/возможные,уникальный
34,Интеграция ИКТ,Нет,поведение,принцип инклюзии,эндогенные/экзогенные,уникальный
35,Регуляция дисциплины,Да,содержание,принцип критичности,мгновенные/постепенные,аналог
36,Обновление курса,Условно,поведение,принцип педагогической любви,мгновенные/постепенные,уникальный
37,Организация проектной работы,Да,функция,принцип обратной связи,цикличные/каскадные,уникальный
38,Координация межпредметных связей,Да,символы,принцип рефлексии,цикличные/каскадные,аналог
39,Развитие критического мышления,Да,экономика/обмен,принцип критичности,мгновенные/постепенные,уникальный
40,Моделирование реальных ситуаций,Нет,технология/инфраструктура,принцип активности,институциональные/неформальные,аналог
41,Применение формирующего оценивания,Нет,отношения,принцип обратной связи,дискретные/континуальные,аналог
42,Построение безопасной среды,Нет,поведение,принцип обратной связи,необходимые/возможные,аналог
43,Установление правил,Да,дискурс,принцип практичности,эндогенные/экзогенные,уникальный
44,Учет культурных различий,Нет,пространство,принцип коллаборации,эндогенные/экзогенные,аналог
45,Поддержка равенства,Нет,значения,принцип инклюзии,институциональные/неформальные,уникальный
46,Планирование оценки,Нет,содержание,принцип системности,необходимые/возможные,уникальный
47,Переосмысление подходов,Условно,экономика/обмен,принцип активности,явные/латентные,уникальный
48,Учет обратной связи,Да,экономика/обмен,принцип системности,институциональные/неформальные,аналог
49,Обновление материалов,Да,структура,принцип педагогической любви,цикличные/каскадные,аналог
