№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Организация практических занятий,Условно,нормы,принцип обратной связи,цикличные/каскадные,аналог
2,Стажировка,Условно,поведение,принцип коллаборации,явные/латентные,аналог
3,Полевое исследование,Условно,символы,принцип инклюзии,необходимые/возможные,аналог
4,Разработка симуляций,Да,содержание,принцип практичности,цикличные/каскадные,аналог
5,Рефлексия опыта,Да,функция,принцип практичности,эндогенные/экзогенные,уникальный
6,Запись дневника,Условно,время/ритм,принцип рефлексии,дискретные/континуальные,уникальный
7,Анализ переживаний,Условно,символы,принцип системности,индивидуальные/коллективные,уникальный
8,Проектирование лабораторных работ,Нет,идентичность/границы,принцип инклюзии,цикличные/каскадные,аналог
9,Использование кейс-стади,Да,время/ритм,принцип коллаборации,институциональные/неформальные,уникальный
10,Моделирование,Да,структура,принцип инклюзии,необходимые/возможные,уникальный
11,Разработка ролевых игр,Да,институты,принцип обратной связи,явные/латентные,уникальный
12,Выездные учебные экскурсии,Нет,отношения,принцип адаптивности,цикличные/каскадные,аналог
13,Участие в волонтерстве,Да,содержание,принцип самостоятельности,цикличные/каскадные,аналог
14,Мастер-классы,Условно,дискурс,принцип коллаборации,институциональные/неформальные,уникальный
15,Реальные задания,Да,символы,принцип активности,дискретные/континуальные,аналог
16,Постановка эксперимента,Да,состояние,принцип самостоятельности,дискретные/континуальные,аналог
17,Обсуждение опыта,Нет,идентичность/границы,принцип адаптивности,индивидуальные/коллективные,уникальный
18,Индивидуальное консультирование,Нет,дискурс,принцип самостоятельности,цикличные/каскадные,аналог
19,Коллективная рефлексия,Условно,идентичность/границы,принцип системности,эндогенные/экзогенные,аналог
20,Развитие навыков,Условно,содержание,принцип обратной связи,дискретные/континуальные,аналог
21,Планирование опыта,Нет,институты,принцип педагогической любви,эндогенные/экзогенные,аналог
22,Работа над ошибками,Нет,состояние,принцип адаптивности,индивидуальные/коллективные,уникальный
23,Переосмысление действий,Условно,нормы,принцип системности,необходимые/возможные,аналог
24,Сбор данных,Условно,поведение,принцип педагогической любви,необходимые/возможные,уникальный
25,Практика мета-рефлексии,Условно,тело/материя,принцип практичности,институциональные/неформальные,уникальный
26,Координация полевых работ,Да,технология/инфраструктура,принцип рефлексии,эндогенные/экзогенные,уникальный
27,Визуализация опыта,Условно,структура,принцип системности,необходимые/возможные,уникальный
28,Использование сенсорных методов,Условно,нормы,принцип рефлексии,эндогенные/экзогенные,уникальный
29,Создание портфолио,Условно,институты,принцип инклюзии,явные/латентные,уникальный
30,Обратная связь от экспертов,Условно,экономика/обмен,принцип инклюзии,дискретные/континуальные,уникальный
31,Наставничество,Условно,значения,принцип обратной связи,эндогенные/экзогенные,аналог
32,Документирование процесса,Нет,значения,принцип рефлексии,дискретные/континуальные,аналог
33,Публичная презентация,Условно,поведение,принцип практичности,цикличные/каскадные,аналог
34,Анализ групповой динамики,Условно,тело/материя,принцип коллаборации,явные/латентные,аналог
35,Создание протоколов,Условно,содержание,принцип системности,дискретные/континуальные,аналог
36,Обучение через сервис,Нет,экономика/обмен,принцип обратной связи,мгновенные/постепенные,уникальный
37,Применение теории в практике,Нет,идентичность/границы,принцип педагогической любви,мгновенные/постепенные,уникальный
38,Мониторинг прогресса,Да,структура,принцип критичности,эндогенные/экзогенные,аналог
39,Тренинг навыков,Да,значения,принцип коллаборации,необходимые/возможные,аналог
40,Иммерсивные занятия,Условно,дискурс,принцип самостоятельности,индивидуальные/коллективные,аналог
41,Внедрение результатов,Да,технология/инфраструктура,принцип рефлексии,дискретные/континуальные,уникальный
42,Систематизация опыта,Да,время/ритм,принцип критичности,необходимые/возможные,уникальный
43,Обобщение выводов,Условно,время/ритм,принцип инклюзии,индивидуальные/коллективные,аналог
44,Проектирование опыта,Да,содержание,принцип системности,индивидуальные/коллективные,уникальный
45,Подготовка инструментов,Нет,память/наследие,принцип самостоятельности,явные/латентные,уникальный
46,Проведение интервью,Условно,состояние,принцип активности,явные/латентные,аналог
47,Интерактивное обучение,Нет,время/ритм,принцип рефлексии,необходимые/возможные,уникальный
48,Использование технологий VR,Условно,время/ритм,принцип критичности,дискретные/континуальные,аналог
49,Эмоциональная переработка,Условно,дискурс,принцип самостоятельности,цикличные/каскадные,уникальный
50,Разработка глоссария,Нет,технология/инфраструктура,принцип коллаборации,дискретные/континуальные,аналог
