№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Определение потребностей студентов,Условно,технология/инфраструктура,принцип практичности,мгновенные/постепенные,аналог
2,Создание инклюзивных материалов,Да,дискурс,принцип самостоятельности,эндогенные/экзогенные,аналог
3,Использование разнообразных примеров,Нет,значения,принцип педагогической любви,эндогенные/экзогенные,уникальный
4,Выстраивание доверия,Условно,тело/материя,принцип практичности,эндогенные/экзогенные,аналог
5,Построение межкультурных мостов,Да,поведение,принцип рефлексии,дискретные/континуальные,аналог
6,Преодоление барьеров,Нет,дискурс,принцип коллаборации,цикличные/каскадные,аналог
7,Применение универсального дизайна,Нет,пространство,принцип инклюзии,цикличные/каскадные,уникальный
8,Учет разных стилей обучения,Нет,состояние,принцип активности,цикличные/каскадные,аналог
9,Создание безопасной среды,Условно,поведение,принцип педагогической любви,явные/латентные,уникальный
10,Содействие равному участию,Условно,значения,принцип педагогической любви,мгновенные/постепенные,аналог
11,Интеграция разных точек зрения,Да,время/ритм,принцип системности,эндогенные/экзогенные,аналог
12,Поддержка адаптивности,Нет,содержание,принцип самостоятельности,индивидуальные/коллективные,уникальный
13,Работа с микроагрессиями,Условно,идентичность/границы,принцип практичности,эндогенные/экзогенные,уникальный
14,Использование доступного языка,Нет,время/ритм,принцип обратной связи,явные/латентные,уникальный
15,Стимулирование диалога,Да,структура,принцип адаптивности,дискретные/континуальные,аналог
16,Поддержка принадлежности,Нет,экономика/обмен,принцип активности,цикличные/каскадные,аналог
17,Предотвращение дискриминации,Условно,структура,принцип адаптивности,индивидуальные/коллективные,аналог
18,Формирование эмпатии,Условно,нормы,принцип педагогической любви,цикличные/каскадные,уникальный
19,Использование смешанных групп,Условно,пространство,принцип рефлексии,цикличные/каскадные,аналог
20,Привлечение обратной связи,Условно,тело/материя,принцип критичности,дискретные/континуальные,уникальный
21,Регулярный обзор контента,Условно,символы,принцип активности,необходимые/возможные,аналог
22,Интеграция историй,Нет,состояние,принцип активности,мгновенные/постепенные,уникальный
23,Снижение стереотипов,Условно,дискурс,принцип системности,эндогенные/экзогенные,уникальный
24,Поощрение самоидентификации,Условно,время/ритм,принцип системности,явные/латентные,аналог
25,Развитие чувствительности,Условно,состояние,принцип педагогической любви,дискретные/континуальные,аналог
26,Предоставление ресурсов,Условно,функция,принцип практичности,мгновенные/постепенные,аналог
27,Создание гибких оценочных форм,Нет,символы,принцип активности,индивидуальные/коллективные,аналог
28,Сотрудничество с поддерживающими службами,Условно,символы,принцип педагогической любви,эндогенные/экзогенные,аналог
29,Проведение тренингов,Условно,время/ритм,принцип рефлексии,явные/латентные,аналог
30,Использование инклюзивных технологий,Нет,тело/материя,принцип рефлексии,эндогенные/экзогенные,аналог
31,Применение антиопpressive практик,Да,экономика/обмен,принцип коллаборации,мгновенные/постепенные,уникальный
32,Контроль за языком,Условно,тело/материя,принцип коллаборации,дискретные/континуальные,аналог
33,Обеспечение равного доступа,Нет,память/наследие,принцип обратной связи,дискретные/континуальные,аналог
34,Развитие культурного сознания,Условно,институты,принцип инклюзии,мгновенные/постепенные,уникальный
35,Поддержка разнообразия,Условно,время/ритм,принцип инклюзии,индивидуальные/коллективные,аналог
36,Формирование групповодительности,Условно,дискурс,принцип практичности,индивидуальные/коллективные,аналог
37,Разработка политики,Нет,институты,принцип активности,индивидуальные/коллективные,уникальный
38,Учет социальных идентичностей,Да,тело/материя,принцип практичности,институциональные/неформальные,аналог
39,Работа с обратной связью,Да,функция,принцип самостоятельности,мгновенные/постепенные,уникальный
40,Планирование инклюзивных мероприятий,Условно,пространство,принцип практичности,институциональные/неформальные,аналог
41,Участие в сообществе,Да,значения,принцип практичности,мгновенные/постепенные,аналог
42,Информирование студентов о доступных ресурсах,Да,технология/инфраструктура,принцип практичности,эндогенные/экзогенные,уникальный
43,Создание поддерживающей сети,Да,функция,принцип практичности,институциональные/неформальные,аналог
44,Рефлексия преподавателя,Условно,идентичность/границы,принцип коллаборации,индивидуальные/коллективные,аналог
45,Изучение лучших практик,Условно,время/ритм,принцип обратной связи,явные/латентные,уникальный
46,Привлечение студентов к разработке курса,Условно,функция,принцип адаптивности,явные/латентные,уникальный
47,Устранение барьеров,Нет,структура,принцип инклюзии,мгновенные/постепенные,уникальный
48,Изучение культурных особенностей,Да,идентичность/границы,принцип рефлексии,дискретные/континуальные,аналог
49,Постоянное совершенствование,Условно,отношения,принцип критичности,индивидуальные/коллективные,уникальный
