№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Анализ когнитивных процессов,Условно,память/наследие,принцип адаптивности,мгновенные/постепенные,аналог
2,Изучение мотивационных факторов,Условно,пространство,принцип критичности,институциональные/неформальные,аналог
3,Исследование памяти,Условно,нормы,принцип практичности,индивидуальные/коллективные,аналог
4,Моделирование обучения,Нет,содержание,принцип системности,необходимые/возможные,аналог
5,Определение стилей обучения,Условно,пространство,принцип практичности,дискретные/континуальные,аналог
6,Изучение эмоций в обучении,Условно,значения,принцип активности,институциональные/неформальные,аналог
7,Рассмотрение экологических факторов,Условно,символы,принцип активности,цикличные/каскадные,аналог
8,Анализ прошлого опыта учащихся,Нет,технология/инфраструктура,принцип самостоятельности,явные/латентные,аналог
9,Разработка теорий обучения,Да,дискурс,принцип рефлексии,индивидуальные/коллективные,уникальный
10,Сравнение моделей обучения,Условно,отношения,принцип педагогической любви,необходимые/возможные,уникальный
11,Изучение социальных влияний,Да,дискурс,принцип практичности,индивидуальные/коллективные,уникальный
12,Анализ устойчивости знаний,Да,тело/материя,принцип педагогической любви,институциональные/неформальные,уникальный
13,Идентификация препятствий,Нет,дискурс,принцип адаптивности,мгновенные/постепенные,уникальный
14,Разработка стратегий усвоения,Нет,экономика/обмен,принцип рефлексии,цикличные/каскадные,уникальный
15,Моделирование метапознания,Да,технология/инфраструктура,принцип педагогической любви,явные/латентные,аналог
16,Исследование нейропластичности,Да,состояние,принцип рефлексии,явные/латентные,уникальный
17,Анализ ошибок,Условно,отношения,принцип самостоятельности,явные/латентные,аналог
18,Распознавание паттернов изучения,Условно,институты,принцип критичности,цикличные/каскадные,аналог
19,Эмпирические исследования,Нет,идентичность/границы,принцип инклюзии,явные/латентные,аналог
20,Сравнение педагогических подходов,Нет,символы,принцип коллаборации,дискретные/континуальные,уникальный
21,Сбор данных,Да,экономика/обмен,принцип адаптивности,эндогенные/экзогенные,аналог
22,Формирование гипотез,Да,тело/материя,принцип критичности,дискретные/континуальные,аналог
23,Использование статистики,Нет,функция,принцип самостоятельности,эндогенные/экзогенные,уникальный
24,Исследование мотивации,Нет,экономика/обмен,принцип активности,необходимые/возможные,аналог
25,Анализ учебных достижений,Нет,нормы,принцип педагогической любви,мгновенные/постепенные,аналог
26,Разработка оценочных инструментов,Да,память/наследие,принцип активности,эндогенные/экзогенные,аналог
27,Изучение ролей эмоций,Нет,нормы,принцип системности,мгновенные/постепенные,аналог
28,Исследование обучения взрослых,Да,поведение,принцип самостоятельности,цикличные/каскадные,аналог
29,Метаанализ исследований,Условно,нормы,принцип коллаборации,дискретные/континуальные,уникальный
30,Создание образовательных моделей,Да,память/наследие,принцип адаптивности,индивидуальные/коллективные,аналог
31,Проверка гипотез,Нет,значения,принцип инклюзии,эндогенные/экзогенные,уникальный
32,Синтез концепций,Условно,идентичность/границы,принцип педагогической любви,дискретные/континуальные,аналог
33,Разработка теории самообучения,Нет,содержание,принцип педагогической любви,мгновенные/постепенные,аналог
34,Интеграция технологий,Да,символы,принцип критичности,институциональные/неформальные,уникальный
35,Анализ социальных интервенций,Условно,отношения,принцип адаптивности,индивидуальные/коллективные,аналог
36,Изучение когнитивных стратегий,Нет,функция,принцип адаптивности,цикличные/каскадные,уникальный
37,Разработка рекомендаций,Условно,содержание,принцип коллаборации,цикличные/каскадные,аналог
38,Изучение памяти и внимания,Условно,поведение,принцип системности,необходимые/возможные,уникальный
39,Исследование зоны ближайшего развития,Да,поведение,принцип критичности,индивидуальные/коллективные,уникальный
40,Обоснование теорий,Нет,поведение,принцип адаптивности,дискретные/континуальные,аналог
41,Перевод теорий в практику,Нет,значения,принцип обратной связи,индивидуальные/коллективные,уникальный
42,Адаптация теорий к культуре,Нет,структура,принцип критичности,необходимые/возможные,уникальный
43,Анализ критического мышления,Условно,идентичность/границы,принцип практичности,эндогенные/экзогенные,уникальный
44,Разработка механизмов поддержки,Нет,состояние,принцип критичности,индивидуальные/коллективные,уникальный
45,Исследование динамики группового обучения,Условно,экономика/обмен,принцип педагогической любви,необходимые/возможные,уникальный
46,Разработка моделей адаптивного обучения,Да,функция,принцип критичности,дискретные/континуальные,уникальный
47,Изучение эмоционального интеллекта,Да,время/ритм,принцип практичности,индивидуальные/коллективные,аналог
48,Разработка опросников,Да,состояние,принцип обратной связи,явные/латентные,уникальный
49,Тестирование методов,Нет,функция,принцип адаптивности,эндогенные/экзогенные,аналог
50,Составление заключений,Нет,институты,принцип практичности,институциональные/неформальные,аналог
