№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Подготовка среды,Да,дискурс,принцип самостоятельности,институциональные/неформальные,уникальный
2,Выбор сенсорных материалов,Нет,функция,принцип критичности,мгновенные/постепенные,уникальный
3,Наблюдение за детьми,Условно,значения,принцип практичности,необходимые/возможные,аналог
4,Предложение индивидуальных уроков,Условно,институты,принцип обратной связи,явные/латентные,уникальный
5,Создание свободного выбора,Нет,структура,принцип инклюзии,необходимые/возможные,аналог
6,Установление границ,Условно,пространство,принцип адаптивности,явные/латентные,аналог
7,Формирование концентрации,Условно,структура,принцип критичности,институциональные/неформальные,аналог
8,Построение доверия,Да,тело/материя,принцип системности,эндогенные/экзогенные,уникальный
9,Согласование материалов с возрастом,Условно,дискурс,принцип педагогической любви,мгновенные/постепенные,уникальный
10,Интеграция практических упражнений,Условно,отношения,принцип практичности,индивидуальные/коллективные,уникальный
11,Поддержка самодисциплины,Нет,память/наследие,принцип коллаборации,явные/латентные,уникальный
12,Организация смешанных возрастов,Нет,память/наследие,принцип самостоятельности,эндогенные/экзогенные,аналог
13,Поддержка языка,Да,технология/инфраструктура,принцип самостоятельности,явные/латентные,аналог
14,Развитие моторики,Условно,память/наследие,принцип активности,дискретные/континуальные,уникальный
15,Формирование независимости,Да,идентичность/границы,принцип критичности,индивидуальные/коллективные,уникальный
16,Предоставление обратной связи,Нет,технология/инфраструктура,принцип инклюзии,индивидуальные/коллективные,уникальный
17,Поддержка социальных навыков,Да,тело/материя,принцип рефлексии,необходимые/возможные,аналог
18,Стимулирование естественного любопытства,Нет,состояние,принцип коллаборации,явные/латентные,аналог
19,Создание порядка,Да,поведение,принцип адаптивности,дискретные/континуальные,уникальный
20,Наблюдение за чувствительными периодами,Условно,институты,принцип коллаборации,цикличные/каскадные,аналог
21,Помощь в самообслуживании,Условно,экономика/обмен,принцип практичности,мгновенные/постепенные,аналог
22,Использование природы,Да,институты,принцип обратной связи,эндогенные/экзогенные,аналог
23,Предоставление реальных задач,Нет,время/ритм,принцип системности,явные/латентные,аналог
24,Развитие математических понятий,Нет,институты,принцип коллаборации,необходимые/возможные,уникальный
25,Развитие чувств,Условно,время/ритм,принцип практичности,эндогенные/экзогенные,аналог
26,Уважение к выбору,Да,экономика/обмен,принцип активности,необходимые/возможные,уникальный
27,Ритмичность занятий,Да,время/ритм,принцип обратной связи,необходимые/возможные,уникальный
28,Соответствие эстетике,Нет,тело/материя,принцип системности,необходимые/возможные,уникальный
29,Поддержание тишины,Да,содержание,принцип коллаборации,эндогенные/экзогенные,уникальный
30,Следование за ребенком,Да,отношения,принцип практичности,институциональные/неформальные,аналог
31,Обеспечение автономии,Нет,идентичность/границы,принцип системности,явные/латентные,аналог
32,Минимизация вмешательства,Нет,нормы,принцип рефлексии,институциональные/неформальные,уникальный
33,Подготовка материалов,Нет,дискурс,принцип активности,необходимые/возможные,аналог
34,Запись наблюдений,Да,символы,принцип самостоятельности,эндогенные/экзогенные,аналог
35,Своевременное обновление среды,Нет,память/наследие,принцип коллаборации,мгновенные/постепенные,уникальный
36,Настройка материалов,Нет,тело/материя,принцип педагогической любви,дискретные/континуальные,аналог
37,Ротация материалов,Условно,технология/инфраструктура,принцип критичности,дискретные/континуальные,аналог
38,Обсуждение прогресса,Нет,значения,принцип системности,дискретные/континуальные,аналог
39,Создание эмоциональной безопасности,Условно,пространство,принцип коллаборации,институциональные/неформальные,аналог
40,Признание достижений,Да,структура,принцип критичности,мгновенные/постепенные,аналог
41,Поддержка концентрации,Условно,идентичность/границы,принцип практичности,эндогенные/экзогенные,аналог
42,Предоставление подходящих вызовов,Нет,значения,принцип практичности,явные/латентные,уникальный
43,Использование трехступенчатого урока,Нет,символы,принцип критичности,дискретные/континуальные,аналог
44,Формирование ответственности,Да,тело/материя,принцип обратной связи,необходимые/возможные,аналог
45,Развитие сенсорно-моторных навыков,Да,тело/материя,принцип обратной связи,дискретные/континуальные,уникальный
46,Обучение ухаживанию за растениями,Да,технология/инфраструктура,принцип системности,дискретные/континуальные,уникальный
47,Поощрение точности,Да,нормы,принцип практичности,цикличные/каскадные,уникальный
48,Развитие понимания порядка,Да,дискурс,принцип педагогической любви,необходимые/возможные,аналог
