№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Планирование похода,Нет,институты,принцип педагогической любви,цикличные/каскадные,уникальный
2,Подготовка безопасности,Да,экономика/обмен,принцип практичности,дискретные/континуальные,аналог
3,Организация лагеря,Условно,экономика/обмен,принцип педагогической любви,необходимые/возможные,уникальный
4,Изучение природы,Нет,идентичность/границы,принцип рефлексии,цикличные/каскадные,аналог
5,Навигация по местности,Да,институты,принцип активности,явные/латентные,уникальный
6,Командные упражнения,Да,дискурс,принцип инклюзии,эндогенные/экзогенные,уникальный
7,Адаптация к погоде,Условно,тело/материя,принцип системности,эндогенные/экзогенные,аналог
8,Использование компаса,Да,пространство,принцип рефлексии,мгновенные/постепенные,уникальный
9,Организация походной кухни,Да,нормы,принцип самостоятельности,индивидуальные/коллективные,аналог
10,Физическое тренирование,Условно,экономика/обмен,принцип инклюзии,мгновенные/постепенные,уникальный
11,Преодоление препятствий,Да,институты,принцип системности,явные/латентные,аналог
12,Изучение экосистем,Условно,поведение,принцип педагогической любви,цикличные/каскадные,аналог
13,Уход за оборудованием,Да,экономика/обмен,принцип адаптивности,цикличные/каскадные,аналог
14,Наблюдение за животными,Условно,функция,принцип педагогической любви,явные/латентные,уникальный
15,Изучение растений,Условно,идентичность/границы,принцип практичности,эндогенные/экзогенные,уникальный
16,Формирование лидерских навыков,Нет,отношения,принцип активности,явные/латентные,аналог
17,Развитие выносливости,Нет,дискурс,принцип педагогической любви,дискретные/континуальные,уникальный
18,Поощрение сотрудничества,Да,пространство,принцип инклюзии,эндогенные/экзогенные,аналог
19,Преодоление страхов,Да,институты,принцип критичности,цикличные/каскадные,уникальный
20,Развитие доверия,Условно,поведение,принцип инклюзии,необходимые/возможные,аналог
21,Организация ночлега,Нет,память/наследие,принцип рефлексии,дискретные/континуальные,уникальный
22,Проведение игр,Условно,институты,принцип активности,индивидуальные/коллективные,уникальный
23,Обучение безопасности на воде,Условно,память/наследие,принцип критичности,дискретные/континуальные,уникальный
24,Соблюдение Leave No Trace,Условно,содержание,принцип педагогической любви,явные/латентные,аналог
25,Управление ресурсами,Нет,время/ритм,принцип системности,эндогенные/экзогенные,аналог
26,Сбор мусора,Да,значения,принцип коллаборации,индивидуальные/коллективные,аналог
27,Проведение веревочных курсов,Условно,функция,принцип обратной связи,институциональные/неформальные,аналог
28,Развитие навыков выживания,Да,экономика/обмен,принцип рефлексии,дискретные/континуальные,аналог
29,Учет рисков,Условно,дискурс,принцип коллаборации,институциональные/неформальные,уникальный
30,Использование карты,Условно,тело/материя,принцип рефлексии,мгновенные/постепенные,аналог
31,Аварийная подготовка,Условно,символы,принцип обратной связи,дискретные/континуальные,уникальный
32,Ориентирование,Условно,символы,принцип инклюзии,необходимые/возможные,уникальный
33,Обучение первой помощи,Условно,структура,принцип педагогической любви,институциональные/неформальные,уникальный
34,Оценка окружающей среды,Да,поведение,принцип системности,необходимые/возможные,уникальный
35,Обучение экологическому сознанию,Нет,символы,принцип системности,цикличные/каскадные,уникальный
36,Выполнение социальных проектов,Условно,отношения,принцип обратной связи,цикличные/каскадные,уникальный
37,Развитие коммуникации,Нет,структура,принцип системности,явные/латентные,уникальный
38,Развитие саморегуляции,Нет,значения,принцип практичности,эндогенные/экзогенные,уникальный
39,Планирование маршрута,Условно,идентичность/границы,принцип адаптивности,эндогенные/экзогенные,уникальный
40,Изучение астрономии,Нет,институты,принцип рефлексии,мгновенные/постепенные,аналог
41,Организация наблюдений,Да,содержание,принцип коллаборации,индивидуальные/коллективные,уникальный
42,Отслеживание погоды,Условно,идентичность/границы,принцип адаптивности,эндогенные/экзогенные,аналог
43,Кооперация с местными сообществами,Да,функция,принцип активности,индивидуальные/коллективные,аналог
44,Проведение групповых обсуждений,Да,состояние,принцип педагогической любви,индивидуальные/коллективные,аналог
45,Участие в поисково-спасательных играх,Да,дискурс,принцип коллаборации,институциональные/неформальные,аналог
46,Сбор семян,Условно,тело/материя,принцип самостоятельности,институциональные/неформальные,аналог
47,Посадка деревьев,Условно,институты,принцип системности,эндогенные/экзогенные,аналог
