№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Формулирование реальной проблемы,Условно,пространство,принцип самостоятельности,эндогенные/экзогенные,уникальный
2,Постановка исследовательского вопроса,Условно,нормы,принцип рефлексии,эндогенные/экзогенные,уникальный
3,Групповое планирование,Нет,идентичность/границы,принцип инклюзии,явные/латентные,уникальный
4,Распределение ролей,Да,экономика/обмен,принцип коллаборации,цикличные/каскадные,аналог
5,Сбор информации,Условно,содержание,принцип практичности,необходимые/возможные,аналог
6,Анализ данных,Условно,время/ритм,принцип рефлексии,цикличные/каскадные,аналог
7,Разработка решения,Условно,тело/материя,принцип коллаборации,цикличные/каскадные,аналог
8,Создание прототипа,Нет,память/наследие,принцип критичности,институциональные/неформальные,аналог
9,Презентация результатов,Условно,значения,принцип активности,индивидуальные/коллективные,аналог
10,Рефлексия процесса,Нет,тело/материя,принцип адаптивности,дискретные/континуальные,аналог
11,Оценка результатов,Условно,значения,принцип коллаборации,эндогенные/экзогенные,аналог
12,Сотрудничество с экспертами,Да,институты,принцип обратной связи,эндогенные/экзогенные,аналог
13,Публичная защита,Да,тело/материя,принцип системности,институциональные/неформальные,уникальный
14,Межпредметная интеграция,Нет,время/ритм,принцип критичности,дискретные/континуальные,аналог
15,Контроль времени,Нет,время/ритм,принцип инклюзии,явные/латентные,уникальный
16,Использование технологий,Да,нормы,принцип системности,эндогенные/экзогенные,аналог
17,Формирование критериев качества,Да,символы,принцип практичности,дискретные/континуальные,аналог
18,Отслеживание прогресса,Да,дискурс,принцип самостоятельности,цикличные/каскадные,аналог
19,Пересмотр проекта,Да,состояние,принцип педагогической любви,необходимые/возможные,аналог
20,Улучшение продукта,Нет,поведение,принцип инклюзии,мгновенные/постепенные,аналог
21,Работа с обратной связью,Да,поведение,принцип педагогической любви,необходимые/возможные,уникальный
22,Анализ ошибок,Нет,тело/материя,принцип адаптивности,явные/латентные,аналог
23,Документирование проекта,Да,содержание,принцип рефлексии,цикличные/каскадные,аналог
24,Командные встречи,Нет,содержание,принцип активности,эндогенные/экзогенные,аналог
25,Разрешение конфликтов,Нет,тело/материя,принцип обратной связи,дискретные/континуальные,аналог
26,Принятие решений,Условно,время/ритм,принцип активности,индивидуальные/коллективные,уникальный
27,Вовлечение сообщества,Нет,значения,принцип критичности,необходимые/возможные,уникальный
28,Разработка бюджета,Условно,отношения,принцип педагогической любви,дискретные/континуальные,уникальный
29,Сбор ресурсов,Да,институты,принцип практичности,явные/латентные,аналог
30,Оценка рисков,Да,состояние,принцип адаптивности,индивидуальные/коллективные,уникальный
31,Коррекция планов,Да,пространство,принцип коллаборации,необходимые/возможные,аналог
32,Формирование вывода,Да,содержание,принцип критичности,институциональные/неформальные,уникальный
33,Работа с наставником,Условно,время/ритм,принцип системности,дискретные/континуальные,уникальный
34,Итерация прототипа,Нет,значения,принцип инклюзии,дискретные/континуальные,уникальный
35,Подготовка демонстрации,Нет,время/ритм,принцип системности,индивидуальные/коллективные,уникальный
36,Создание визуальных материалов,Условно,поведение,принцип обратной связи,цикличные/каскадные,уникальный
37,Изучение аналогов,Нет,символы,принцип критичности,дискретные/континуальные,уникальный
38,Определение аудитории,Нет,состояние,принцип обратной связи,явные/латентные,уникальный
39,Определение целей,Нет,технология/инфраструктура,принцип активности,цикличные/каскадные,аналог
40,Поддержка мотивации,Условно,содержание,принцип адаптивности,дискретные/континуальные,уникальный
41,Формирование расписания,Да,дискурс,принцип инклюзии,мгновенные/постепенные,уникальный
42,Представление результата,Да,нормы,принцип рефлексии,дискретные/континуальные,уникальный
43,Формирование отчета,Условно,память/наследие,принцип системности,цикличные/каскадные,уникальный
44,Оценивание командной работы,Условно,поведение,принцип активности,институциональные/неформальные,аналог
45,Согласование ожиданий,Условно,память/наследие,принцип педагогической любви,дискретные/континуальные,аналог
46,Планирование презентации,Да,пространство,принцип системности,мгновенные/постепенные,аналог
47,Изучение технологий,Условно,тело/материя,принцип инклюзии,цикличные/каскадные,аналог
48,Тестирование решения,Да,память/наследие,принцип педагогической любви,эндогенные/экзогенные,аналог
49,Анализ обратной связи,Нет,структура,принцип педагогической любви,институциональные/неформальные,уникальный
50,Обновление проекта,Да,содержание,принцип самостоятельности,институциональные/неформальные,аналог
