№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,усиление угрозы,Условно,восприятие риска/угрозы,интерпретация/усиление/смягчение,мгновенные; коллективные; ситуативные,Аналоги: психология—риск-перцепция; социология—моральные паники; информатика—сценарный анализ
2,смягчение угрозы,Условно,восприятие риска/угрозы,интерпретация/усиление/смягчение,мгновенные; коллективные; ситуативные,Аналоги: психология—риск-перцепция; социология—моральные паники; информатика—сценарный анализ
3,игнорирование риска,Условно,восприятие риска/угрозы,интерпретация/усиление/смягчение,мгновенные; коллективные; ситуативные,Аналоги: психология—риск-перцепция; социология—моральные паники; информатика—сценарный анализ
4,катастрофизация,Условно,восприятие риска/угрозы,интерпретация/усиление/смягчение,мгновенные; коллективные; ситуативные,Аналоги: психология—риск-перцепция; социология—моральные паники; информатика—сценарный анализ
5,нормализация риска,Условно,восприятие риска/угрозы,интерпретация/усиление/смягчение,мгновенные; коллективные; ситуативные,Аналоги: психология—риск-перцепция; социология—моральные паники; информатика—сценарный анализ
6,символизация угрозы,Условно,восприятие риска/угрозы,интерпретация/усиление/смягчение,мгновенные; коллективные; ситуативные,Аналоги: психология—риск-перцепция; социология—моральные паники; информатика—сценарный анализ
7,паникализация,Условно,восприятие риска/угрозы,интерпретация/усиление/смягчение,мгновенные; коллективные; ситуативные,Аналоги: психология—риск-перцепция; социология—моральные паники; информатика—сценарный анализ
8,рационализация риска,Условно,восприятие риска/угрозы,интерпретация/усиление/смягчение,мгновенные; коллективные; ситуативные,Аналоги: психология—риск-перцепция; социология—моральные паники; информатика—сценарный анализ
9,фреймирование угрозы,Условно,восприятие риска/угрозы,интерпретация/усиление/смягчение,мгновенные; коллективные; ситуативные,Аналоги: психология—риск-перцепция; социология—моральные паники; информатика—сценарный анализ
10,поляризация восприятия,Условно,восприятие риска/угрозы,интерпретация/усиление/смягчение,мгновенные; коллективные; ситуативные,Аналоги: психология—риск-перцепция; социология—моральные паники; информатика—сценарный анализ
11,сбор сигналов,Условно,сигналы/предупреждения,раннее выявление/превенция,превентивные; мгновенные; институциональные,Аналоги: медицина—диагностика; техника—сигнализация; безопасность—мониторинг
12,мониторинг,Условно,сигналы/предупреждения,раннее выявление/превенция,превентивные; мгновенные; институциональные,Аналоги: медицина—диагностика; техника—сигнализация; безопасность—мониторинг
