№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,культурная символизация,Условно,коды/символы/ценности,репрезентация/разграничение/идентификация,дискурсивные; коллективные; институциональные,Аналоги: семиотика—знаки; культурология—ценности; психология—фреймы
2,ресимволизация,Условно,коды/символы/ценности,репрезентация/разграничение/идентификация,дискурсивные; коллективные; институциональные,Аналоги: семиотика—знаки; культурология—ценности; психология—фреймы
3,традиционализация кодов,Условно,коды/символы/ценности,репрезентация/разграничение/идентификация,дискурсивные; коллективные; институциональные,Аналоги: семиотика—знаки; культурология—ценности; психология—фреймы
4,модернизация кодов,Условно,коды/символы/ценности,репрезентация/разграничение/идентификация,дискурсивные; коллективные; институциональные,Аналоги: семиотика—знаки; культурология—ценности; психология—фреймы
5,визуальные культурные коды,Условно,коды/символы/ценности,репрезентация/разграничение/идентификация,дискурсивные; коллективные; институциональные,Аналоги: семиотика—знаки; культурология—ценности; психология—фреймы
6,языковые культурные коды,Условно,коды/символы/ценности,репрезентация/разграничение/идентификация,дискурсивные; коллективные; институциональные,Аналоги: семиотика—знаки; культурология—ценности; психология—фреймы
7,ритуализация кодов,Условно,коды/символы/ценности,репрезентация/разграничение/идентификация,дискурсивные; коллективные; институциональные,Аналоги: семиотика—знаки; культурология—ценности; психология—фреймы
8,деритуализация кодов,Условно,коды/символы/ценности,репрезентация/разграничение/идентификация,дискурсивные; коллективные; институциональные,Аналоги: семиотика—знаки; культурология—ценности; психология—фреймы
9,институционализация символов,Условно,коды/символы/ценности,репрезентация/разграничение/идентификация,дискурсивные; коллективные; институциональные,Аналоги: семиотика—знаки; культурология—ценности; психология—фреймы
10,гибридизация кодов,Условно,коды/символы/ценности,репрезентация/разграничение/идентификация,дискурсивные; коллективные; институциональные,Аналоги: семиотика—знаки; культурология—ценности; психология—фреймы
11,перевод,Условно,языки/лексика/структуры,непонимание/перевод/адаптация,мгновенные; ситуативные; межгрупповые,Аналоги: лингвистика—перевод; информатика—кодирование; биология—сигналы
12,непереводимость,Условно,языки/лексика/структуры,непонимание/перевод/адаптация,мгновенные; ситуативные; межгрупповые,Аналоги: лингвистика—перевод; информатика—кодирование; биология—сигналы
13,заимствования,Условно,языки/лексика/структуры,непонимание/перевод/адаптация,мгновенные; ситуативные; межгрупповые,Аналоги: лингвистика—перевод; информатика—кодирование; биология—сигналы
14,калькирование,Условно,языки/лексика/структуры,непонимание/перевод/адаптация,мгновенные; ситуативные; межгрупповые,Аналоги: лингвистика—перевод; информатика—кодирование; биология—сигналы
15,языковая интерференция,Условно,языки/лексика/структуры,непонимание/перевод/адаптация,мгновенные; ситуативные; межгрупповые,Аналоги: лингвистика—перевод; информатика—кодирование; биология—сигналы
16,пиджинизация,Условно,языки/лексика/структуры,непонимание/перевод/адаптация,мгновенные; ситуативные; межгрупповые,Аналоги: лингвистика—перевод; информатика—кодирование; биология—сигналы
17,креолизация,Условно,языки/лексика/структуры,непонимание/перевод/адаптация,мгновенные; ситуативные; межгрупповые,Аналоги: лингвистика—перевод; информатика—кодирование; биология—сигналы
18,код-свитчинг,Условно,языки/лексика/структуры,непонимание/перевод/адаптация,мгновенные; ситуативные; межгрупповые,Аналоги: лингвистика—перевод; информатика—кодирование; биология—сигналы
19,код-миксинг,Условно,языки/лексика/структуры,непонимание/перевод/адаптация,мгновенные; ситуативные; межгрупповые,Аналоги: лингвистика—перевод; информатика—кодирование; биология—сигналы
20,создание общего языка,Условно,языки/лексика/структуры,непонимание/перевод/адаптация,мгновенные; ситуативные; межгрупповые,Аналоги: лингвистика—перевод; информатика—кодирование; биология—сигналы
21,культурный релятивизм,Условно,ценности/нормы/правила,гармонизация/конфликт/адаптация,постепенные; коллективные; институциональные,Аналоги: социология—нормы; философия—этика; право—регулирование
22,этноцентризм,Условно,ценности/нормы/правила,гармонизация/конфликт/адаптация,постепенные; коллективные; институциональные,Аналоги: социология—нормы; философия—этика; право—регулирование
23,универсализация норм,Условно,ценности/нормы/правила,гармонизация/конфликт/адаптация,постепенные; коллективные; институциональные,Аналоги: социология—нормы; философия—этика; право—регулирование
24,локализация норм,Условно,ценности/нормы/правила,гармонизация/конфликт/адаптация,постепенные; коллективные; институциональные,Аналоги: социология—нормы; философия—этика; право—регулирование
25,морализация поведения,Условно,ценности/нормы/правила,гармонизация/конфликт/адаптация,постепенные; коллективные; институциональные,Аналоги: социология—нормы; философия—этика; право—регулирование
26,деморализация,Условно,ценности/нормы/правила,гармонизация/конфликт/адаптация,постепенные; коллективные; институциональные,Аналоги: социология—нормы; философия—этика; право—регулирование
27,гармонизация ценностей,Условно,ценности/нормы/правила,гармонизация/конфликт/адаптация,постепенные; коллективные; институциональные,Аналоги: социология—нормы; философия—этика; право—регулирование
28,конфликт ценностей,Условно,ценности/нормы/правила,гармонизация/конфликт/адаптация,постепенные; коллективные; институциональные,Аналоги: социология—нормы; философия—этика; право—регулирование
29,адаптация норм,Условно,ценности/нормы/правила,гармонизация/конфликт/адаптация,постепенные; коллективные; институциональные,Аналоги: социология—нормы; философия—этика; право—регулирование
30,трансформация морали,Условно,ценности/нормы/правила,гармонизация/конфликт/адаптация,постепенные; коллективные; институциональные,Аналоги: социология—нормы; философия—этика; право—регулирование
31,этнификация,Условно,идентичность/этничность/принадлежность,самоопределение/границесоздание/гибридизация,постепенные; межличностные/коллективные,Аналоги: социология—идентичность; психология—самоопределение; политика—этничность
32,деэтнификация,Условно,идентичность/этничность/принадлежность,самоопределение/границесоздание/гибридизация,постепенные; межличностные/коллективные,Аналоги: социология—идентичность; психология—самоопределение; политика—этничность
33,гибридизация идентичности,Условно,идентичность/этничность/принадлежность,самоопределение/границесоздание/гибридизация,постепенные; межличностные/коллективные,Аналоги: социология—идентичность; психология—самоопределение; политика—этничность
34,маргинализация идентичности,Условно,идентичность/этничность/принадлежность,самоопределение/границесоздание/гибридизация,постепенные; межличностные/коллективные,Аналоги: социология—идентичность; психология—самоопределение; политика—этничность
35,демаргинализация идентичности,Условно,идентичность/этничность/принадлежность,самоопределение/границесоздание/гибридизация,постепенные; межличностные/коллективные,Аналоги: социология—идентичность; психология—самоопределение; политика—этничность
36,сегрегация,Условно,идентичность/этничность/принадлежность,самоопределение/границесоздание/гибридизация,постепенные; межличностные/коллективные,Аналоги: социология—идентичность; психология—самоопределение; политика—этничность
37,интеграция,Условно,идентичность/этничность/принадлежность,самоопределение/границесоздание/гибридизация,постепенные; межличностные/коллективные,Аналоги: социология—идентичность; психология—самоопределение; политика—этничность
38,ассимиляция,Условно,идентичность/этничность/принадлежность,самоопределение/границесоздание/гибридизация,постепенные; межличностные/коллективные,Аналоги: социология—идентичность; психология—самоопределение; политика—этничность
39,сепарация,Условно,идентичность/этничность/принадлежность,самоопределение/границесоздание/гибридизация,постепенные; межличностные/коллективные,Аналоги: социология—идентичность; психология—самоопределение; политика—этничность
40,интернационализация идентичности,Условно,идентичность/этничность/принадлежность,самоопределение/границесоздание/гибридизация,постепенные; межличностные/коллективные,Аналоги: социология—идентичность; психология—самоопределение; политика—этничность
41,формирование стереотипов,Условно,стереотипы/предубеждения/отношения,упрощение/стигматизация/дестигматизация,постепенные; межгрупповые; дискурсивные,Аналоги: психология—когнитивные искажения; социология—предрассудки; политика—клише
42,укрепление стереотипов,Условно,стереотипы/предубеждения/отношения,упрощение/стигматизация/дестигматизация,постепенные; межгрупповые; дискурсивные,Аналоги: психология—когнитивные искажения; социология—предрассудки; политика—клише
43,стигматизация,Условно,стереотипы/предубеждения/отношения,упрощение/стигматизация/дестигматизация,постепенные; межгрупповые; дискурсивные,Аналоги: психология—когнитивные искажения; социология—предрассудки; политика—клише
44,дестигматизация,Условно,стереотипы/предубеждения/отношения,упрощение/стигматизация/дестигматизация,постепенные; межгрупповые; дискурсивные,Аналоги: психология—когнитивные искажения; социология—предрассудки; политика—клише
45,предубеждение,Условно,стереотипы/предубеждения/отношения,упрощение/стигматизация/дестигматизация,постепенные; межгрупповые; дискурсивные,Аналоги: психология—когнитивные искажения; социология—предрассудки; политика—клише
46,толерантизация,Условно,стереотипы/предубеждения/отношения,упрощение/стигматизация/дестигматизация,постепенные; межгрупповые; дискурсивные,Аналоги: психология—когнитивные искажения; социология—предрассудки; политика—клише
47,демонизация,Условно,стереотипы/предубеждения/отношения,упрощение/стигматизация/дестигматизация,постепенные; межгрупповые; дискурсивные,Аналоги: психология—когнитивные искажения; социология—предрассудки; политика—клише
48,героизация,Условно,стереотипы/предубеждения/отношения,упрощение/стигматизация/дестигматизация,постепенные; межгрупповые; дискурсивные,Аналоги: психология—когнитивные искажения; социология—предрассудки; политика—клише
49,деконструкция стереотипов,Условно,стереотипы/предубеждения/отношения,упрощение/стигматизация/дестигматизация,постепенные; межгрупповые; дискурсивные,Аналоги: психология—когнитивные искажения; социология—предрассудки; политика—клише
