№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,инициация диалога,Условно,реплики/диалог/обмен сообщениями,взаимность/очередность/кооперация,мгновенные; двусторонние; ситуативные,Аналоги: лингвистика—диалог; психология—общение; информатика—протоколы обмена
2,поддержание диалога,Условно,реплики/диалог/обмен сообщениями,взаимность/очередность/кооперация,мгновенные; двусторонние; ситуативные,Аналоги: лингвистика—диалог; психология—общение; информатика—протоколы обмена
3,завершение диалога,Условно,реплики/диалог/обмен сообщениями,взаимность/очередность/кооперация,мгновенные; двусторонние; ситуативные,Аналоги: лингвистика—диалог; психология—общение; информатика—протоколы обмена
4,перебивание,Условно,реплики/диалог/обмен сообщениями,взаимность/очередность/кооперация,мгновенные; двусторонние; ситуативные,Аналоги: лингвистика—диалог; психология—общение; информатика—протоколы обмена
5,смена темы,Условно,реплики/диалог/обмен сообщениями,взаимность/очередность/кооперация,мгновенные; двусторонние; ситуативные,Аналоги: лингвистика—диалог; психология—общение; информатика—протоколы обмена
6,уточнение,Условно,реплики/диалог/обмен сообщениями,взаимность/очередность/кооперация,мгновенные; двусторонние; ситуативные,Аналоги: лингвистика—диалог; психология—общение; информатика—протоколы обмена
7,повторение,Условно,реплики/диалог/обмен сообщениями,взаимность/очередность/кооперация,мгновенные; двусторонние; ситуативные,Аналоги: лингвистика—диалог; психология—общение; информатика—протоколы обмена
8,молчание как ответ,Условно,реплики/диалог/обмен сообщениями,взаимность/очередность/кооперация,мгновенные; двусторонние; ситуативные,Аналоги: лингвистика—диалог; психология—общение; информатика—протоколы обмена
9,подтверждение,Условно,реплики/диалог/обмен сообщениями,взаимность/очередность/кооперация,мгновенные; двусторонние; ситуативные,Аналоги: лингвистика—диалог; психология—общение; информатика—протоколы обмена
10,отрицание,Условно,реплики/диалог/обмен сообщениями,взаимность/очередность/кооперация,мгновенные; двусторонние; ситуативные,Аналоги: лингвистика—диалог; психология—общение; информатика—протоколы обмена
11,симметричная коммуникация,Условно,отношения/роли/статусы,интеракция/баланс/иерархия,постепенные; межличностные; долговременные,Аналоги: социология—соц. динамика; психология—межличностные отношения; менеджмент—роли
12,комплементарная коммуникация,Условно,отношения/роли/статусы,интеракция/баланс/иерархия,постепенные; межличностные; долговременные,Аналоги: социология—соц. динамика; психология—межличностные отношения; менеджмент—роли
13,доминирование,Условно,отношения/роли/статусы,интеракция/баланс/иерархия,постепенные; межличностные; долговременные,Аналоги: социология—соц. динамика; психология—межличностные отношения; менеджмент—роли
