№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,дешифровка генетического кода,Условно,институты,принцип семиозиса,эндогенные/экзогенные,Аналоги
2,анализ межклеточного сигнала,Да,дискурс,принцип кодирования,индивидуальные/коллективные,Аналоги
3,исследование гормональных сигналов,Нет,институты,принцип интерпретации,дискретные/континуальные,Аналоги
4,анализ феромонов,Да,пространство,принцип знака,явные/латентные,Уникальный
5,исследование сигнальных путей,Условно,дискурс,принцип взаимосвязи,индивидуальные/коллективные,Аналоги
6,моделирование клеточных коммуникаций,Условно,идентичность/границы,принцип обратной связи,цикличные/каскадные,Уникальный
7,анализ хемотропизма,Нет,память/наследие,принцип культурной релевантности,индивидуальные/коллективные,Уникальный
8,изучение фитосемиотики,Да,функция,принцип контекста,цикличные/каскадные,Уникальный
9,исследование морфологических кодов,Да,время/ритм,принцип дискурсивности,дискретные/континуальные,Уникальный
10,анализ аналоговых биологических знаков,Да,функция,принцип культурной релевантности,явные/латентные,Аналоги
11,изучение этологической сигнализации,Условно,технология/инфраструктура,принцип семиозиса,институциональные/неформальные,Уникальный
12,анализ языка птиц,Условно,время/ритм,принцип знака,эндогенные/экзогенные,Аналоги
13,исследование танцев пчел,Да,функция,принцип интерпретации,эндогенные/экзогенные,Уникальный
14,анализ камуфляжа как знака,Нет,технология/инфраструктура,принцип семиозиса,индивидуальные/коллективные,Аналоги
15,изучение звуковых сигналов китов,Да,дискурс,принцип обратной связи,дискретные/континуальные,Уникальный
16,анализ нейронных кодов,Условно,содержание,принцип контекста,институциональные/неформальные,Уникальный
17,исследование поведения в стае,Да,поведение,принцип контекста,институциональные/неформальные,Уникальный
18,анализ химической коммуникации у бактерий,Нет,отношения,принцип аналогии,необходимые/возможные,Уникальный
19,изучение коэволюции,Нет,структура,принцип знака,необходимые/возможные,Аналоги
20,анализ симбиотических отношений,Нет,функция,принцип аналогии,явные/латентные,Аналоги
21,изучение биолюминесценции,Да,институты,принцип аналогии,цикличные/каскадные,Аналоги
22,анализ метаболических знаков,Нет,структура,принцип знака,явные/латентные,Уникальный
23,исследование эпигенетической сигнализации,Нет,символы,принцип знака,явные/латентные,Уникальный
24,анализ генной регуляции,Нет,нормы,принцип культурной релевантности,эндогенные/экзогенные,Уникальный
25,изучение семиотического аспекта иммунной системы,Нет,отношения,принцип интерпретации,эндогенные/экзогенные,Уникальный
26,анализ сигналов стресса,Да,значения,принцип кодирования,индивидуальные/коллективные,Аналоги
27,исследование циркадных ритмов,Да,отношения,принцип аналогии,индивидуальные/коллективные,Уникальный
28,анализ половых сигналов,Нет,время/ритм,принцип культурной релевантности,эндогенные/экзогенные,Аналоги
29,изучение мимикрии,Да,содержание,принцип культурной релевантности,мгновенные/постепенные,Уникальный
30,анализ семиотики запахов,Нет,символы,принцип знака,институциональные/неформальные,Уникальный
31,исследование межвидовой коммуникации,Условно,дискурс,принцип обратной связи,явные/латентные,Аналоги
32,анализ маршрутов миграции,Да,значения,принцип дискурсивности,необходимые/возможные,Аналоги
33,изучение биосемиотического наследия,Условно,символы,принцип контекста,индивидуальные/коллективные,Аналоги
34,анализ микрорНК как знаков,Да,содержание,принцип аналогии,дискретные/континуальные,Аналоги
35,исследование регуляции экспрессии,Да,функция,принцип контекста,дискретные/континуальные,Аналоги
36,анализ биологических цепей,Условно,состояние,принцип обратной связи,необходимые/возможные,Уникальный
37,изучение симбиотического обмена информацией,Нет,идентичность/границы,принцип кодирования,мгновенные/постепенные,Аналоги
38,анализ коммуникации растений,Да,поведение,принцип аналогии,необходимые/возможные,Аналоги
39,изучение коммуникации грибов,Да,содержание,принцип культурной релевантности,институциональные/неформальные,Уникальный
40,анализ стайного движения,Условно,тело/материя,принцип знака,эндогенные/экзогенные,Аналоги
41,исследование фенологических сигналов,Да,символы,принцип дискурсивности,цикличные/каскадные,Уникальный
42,анализ генетических мутаций,Условно,нормы,принцип кодирования,индивидуальные/коллективные,Аналоги
43,изучение адаптационных знаков,Нет,состояние,принцип дискурсивности,мгновенные/постепенные,Аналоги
44,анализ популяционной семиотики,Нет,состояние,принцип знака,необходимые/возможные,Уникальный
45,исследование нейроэндокринных кодов,Условно,значения,принцип контекста,индивидуальные/коллективные,Аналоги
46,анализ экологических индикаторов,Да,идентичность/границы,принцип взаимосвязи,явные/латентные,Уникальный
47,изучение биохимической семиозиса,Да,тело/материя,принцип кодирования,цикличные/каскадные,Уникальный
48,анализ семиотики болезней,Да,тело/материя,принцип семиозиса,эндогенные/экзогенные,Уникальный
