№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,интеграция кибернетики и семиотики,Да,состояние,принцип знака,мгновенные/постепенные,Уникальный
2,моделирование автопоэтических систем,Нет,символы,принцип кодирования,институциональные/неформальные,Уникальный
3,анализ коммуникационных сетей,Нет,состояние,принцип аналогии,дискретные/континуальные,Аналоги
4,исследование информационных кодов,Да,содержание,принцип взаимосвязи,необходимые/возможные,Аналоги
5,анализ взаимодействия человек-компьютер,Да,дискурс,принцип знака,мгновенные/постепенные,Аналоги
6,разработка интерфейсных знаков,Нет,состояние,принцип взаимосвязи,дискретные/континуальные,Аналоги
7,моделирование обратных связей,Условно,содержание,принцип дискурсивности,индивидуальные/коллективные,Уникальный
8,анализ эволюции информационных систем,Нет,время/ритм,принцип интерпретации,индивидуальные/коллективные,Аналоги
9,исследование когнитивных технологий,Да,технология/инфраструктура,принцип контекста,явные/латентные,Уникальный
10,анализ меметики,Да,идентичность/границы,принцип культурной релевантности,эндогенные/экзогенные,Уникальный
11,исследование киберкультуры,Нет,содержание,принцип аналогии,необходимые/возможные,Аналоги
12,анализ виртуальных знаков,Да,нормы,принцип обратной связи,явные/латентные,Аналоги
13,исследование цифровых идентичностей,Нет,идентичность/границы,принцип кодирования,институциональные/неформальные,Аналоги
14,анализ эволюции медиатеории,Условно,институты,принцип обратной связи,эндогенные/экзогенные,Уникальный
15,исследование данных и смыслов,Да,поведение,принцип взаимосвязи,дискретные/континуальные,Уникальный
16,анализ автоматических алгоритмов,Да,нормы,принцип семиозиса,цикличные/каскадные,Аналоги
17,исследование нейронных сетей и знаков,Да,дискурс,принцип взаимосвязи,необходимые/возможные,Аналоги
18,анализ киберсимволов,Да,поведение,принцип взаимосвязи,эндогенные/экзогенные,Аналоги
19,исследование мета-систем,Условно,символы,принцип взаимосвязи,дискретные/континуальные,Уникальный
20,анализ агентного взаимодействия,Условно,идентичность/границы,принцип кодирования,явные/латентные,Аналоги
21,исследование отношений между человеком и машиной,Нет,отношения,принцип контекста,дискретные/континуальные,Аналоги
22,анализ рефлексивных систем,Условно,экономика/обмен,принцип аналогии,цикличные/каскадные,Уникальный
23,исследование сетевой семиотики,Да,тело/материя,принцип семиозиса,дискретные/континуальные,Уникальный
24,анализ цифровых языков,Нет,состояние,принцип взаимосвязи,дискретные/континуальные,Аналоги
25,исследование телематики,Условно,поведение,принцип семиозиса,индивидуальные/коллективные,Аналоги
26,анализ гибридных знаковых систем,Да,состояние,принцип кодирования,цикличные/каскадные,Аналоги
27,исследование коммуникации в виртуальной реальности,Нет,время/ритм,принцип интерпретации,институциональные/неформальные,Уникальный
28,анализ эмергентных систем,Условно,значения,принцип дискурсивности,эндогенные/экзогенные,Уникальный
29,исследование смыслового моделирования,Нет,состояние,принцип аналогии,необходимые/возможные,Уникальный
30,анализ решений на основе данных,Условно,структура,принцип семиозиса,индивидуальные/коллективные,Уникальный
31,исследование нейроинтерфейсов,Условно,значения,принцип знака,необходимые/возможные,Аналоги
32,анализ человек-робот коммуникации,Да,содержание,принцип семиозиса,цикличные/каскадные,Аналоги
33,исследование множественных кодов,Условно,память/наследие,принцип взаимосвязи,дискретные/континуальные,Аналоги
34,анализ когнитивных архитектур,Нет,институты,принцип кодирования,цикличные/каскадные,Уникальный
35,исследование фрактальной семиотики,Нет,состояние,принцип кодирования,явные/латентные,Аналоги
36,анализ цифровых паттернов поведения,Нет,институты,принцип семиозиса,мгновенные/постепенные,Аналоги
37,исследование социального программирования,Нет,функция,принцип дискурсивности,институциональные/неформальные,Уникальный
38,анализ автоматизированных мифов,Условно,состояние,принцип дискурсивности,институциональные/неформальные,Аналоги
39,исследование биоцифровой конвергенции,Да,технология/инфраструктура,принцип взаимосвязи,эндогенные/экзогенные,Уникальный
40,анализ аутопоэтических сетей,Нет,институты,принцип взаимосвязи,явные/латентные,Уникальный
41,исследование смыслового управления,Условно,отношения,принцип взаимосвязи,мгновенные/постепенные,Уникальный
42,анализ гибридизации систем,Нет,институты,принцип дискурсивности,индивидуальные/коллективные,Аналоги
43,исследование дигисферы,Нет,технология/инфраструктура,принцип дискурсивности,необходимые/возможные,Аналоги
