№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,анализ монтажа,Да,состояние,принцип обратной связи,мгновенные/постепенные,Уникальный
2,исследование кадра,Условно,поведение,принцип дискурсивности,необходимые/возможные,Аналоги
3,анализ планов,Да,время/ритм,принцип знака,институциональные/неформальные,Аналоги
4,исследование освещения,Да,память/наследие,принцип знака,мгновенные/постепенные,Уникальный
5,анализ звука в кино,Нет,поведение,принцип аналогии,необходимые/возможные,Уникальный
6,исследование реквизита,Да,пространство,принцип семиозиса,индивидуальные/коллективные,Уникальный
7,анализ цвета,Да,нормы,принцип дискурсивности,необходимые/возможные,Аналоги
8,исследование киноязыка,Да,отношения,принцип взаимосвязи,индивидуальные/коллективные,Аналоги
9,анализ переходов,Нет,нормы,принцип контекста,цикличные/каскадные,Аналоги
10,исследование метонимии в кино,Нет,символы,принцип кодирования,индивидуальные/коллективные,Аналоги
11,анализ киновертикали,Нет,память/наследие,принцип интерпретации,эндогенные/экзогенные,Аналоги
12,исследование нарратива,Нет,пространство,принцип знака,необходимые/возможные,Аналоги
13,анализ саундтрека,Условно,содержание,принцип дискурсивности,необходимые/возможные,Аналоги
14,исследование символической композиции,Да,технология/инфраструктура,принцип кодирования,явные/латентные,Аналоги
15,анализ параллельного монтажа,Да,идентичность/границы,принцип культурной релевантности,цикличные/каскадные,Уникальный
16,исследование диалога,Нет,состояние,принцип дискурсивности,необходимые/возможные,Аналоги
17,анализ жестов актёров,Условно,дискурс,принцип семиозиса,эндогенные/экзогенные,Уникальный
18,исследование движения камеры,Условно,технология/инфраструктура,принцип контекста,институциональные/неформальные,Аналоги
19,анализ спецэффектов,Условно,дискурс,принцип культурной релевантности,явные/латентные,Аналоги
20,исследование визуальных метафор,Да,экономика/обмен,принцип культурной релевантности,эндогенные/экзогенные,Уникальный
21,анализ фокусировки,Условно,структура,принцип семиозиса,цикличные/каскадные,Уникальный
22,исследование фильтров,Нет,экономика/обмен,принцип аналогии,явные/латентные,Аналоги
23,анализ графики титров,Условно,технология/инфраструктура,принцип контекста,цикличные/каскадные,Уникальный
24,исследование цветовой палитры,Нет,структура,принцип контекста,дискретные/континуальные,Уникальный
25,анализ темпа монтажа,Условно,тело/материя,принцип аналогии,институциональные/неформальные,Аналоги
26,исследование точки зрения,Да,память/наследие,принцип семиозиса,явные/латентные,Аналоги
27,анализ использования пространства,Нет,институты,принцип аналогии,необходимые/возможные,Уникальный
28,исследование кинематографических кодов,Условно,структура,принцип контекста,мгновенные/постепенные,Аналоги
29,анализ субтекста,Нет,содержание,принцип кодирования,институциональные/неформальные,Аналоги
30,исследование настроения,Да,память/наследие,принцип интерпретации,мгновенные/постепенные,Аналоги
31,анализ кинематографических приемов,Да,состояние,принцип интерпретации,мгновенные/постепенные,Аналоги
32,исследование символов костюмов,Условно,поведение,принцип контекста,эндогенные/экзогенные,Уникальный
33,анализ композиции кадров,Условно,технология/инфраструктура,принцип культурной релевантности,дискретные/континуальные,Уникальный
34,исследование сопротивления зрителя,Нет,состояние,принцип семиозиса,явные/латентные,Аналоги
35,анализ контраста,Условно,время/ритм,принцип контекста,эндогенные/экзогенные,Уникальный
36,исследование жанровых кодов,Нет,состояние,принцип интерпретации,мгновенные/постепенные,Аналоги
37,анализ игровых монтажных форм,Да,значения,принцип аналогии,мгновенные/постепенные,Уникальный
38,исследование зрительского участия,Нет,время/ритм,принцип кодирования,институциональные/неформальные,Аналоги
39,анализ вставок,Условно,память/наследие,принцип знака,дискретные/континуальные,Аналоги
40,исследование времени экрана,Нет,поведение,принцип кодирования,индивидуальные/коллективные,Аналоги
41,анализ параллельных монтажных линий,Нет,память/наследие,принцип обратной связи,дискретные/континуальные,Аналоги
42,исследование интонации актёров,Да,экономика/обмен,принцип обратной связи,явные/латентные,Аналоги
43,анализ формы повествования,Нет,технология/инфраструктура,принцип кодирования,мгновенные/постепенные,Уникальный
44,исследование кинематографических знаков,Нет,значения,принцип культурной релевантности,явные/латентные,Аналоги
45,анализ хронотопа,Условно,технология/инфраструктура,принцип культурной релевантности,эндогенные/экзогенные,Аналоги
46,исследование метазнаков,Условно,память/наследие,принцип кодирования,дискретные/континуальные,Аналоги
