№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,идентификация топиков,Да,время/ритм,принцип контекста,мгновенные/постепенные,Аналоги
2,анализ интонации,Условно,нормы,принцип аналогии,дискретные/континуальные,Уникальный
3,анализ ритма,Условно,идентичность/границы,принцип культурной релевантности,дискретные/континуальные,Уникальный
4,исследование тонального центра,Нет,институты,принцип кодирования,дискретные/континуальные,Аналоги
5,анализ мелодических мотивов,Да,значения,принцип культурной релевантности,необходимые/возможные,Аналоги
6,выявление музыкальных кодов,Нет,содержание,принцип интерпретации,мгновенные/постепенные,Уникальный
7,анализ символьных нот,Нет,дискурс,принцип аналогии,мгновенные/постепенные,Аналоги
8,исследование музыкальных жестов,Да,экономика/обмен,принцип дискурсивности,дискретные/континуальные,Аналоги
9,анализ гармонии,Нет,идентичность/границы,принцип культурной релевантности,индивидуальные/коллективные,Аналоги
10,анализ тембра,Нет,функция,принцип кодирования,дискретные/континуальные,Уникальный
11,исследование динамики,Нет,экономика/обмен,принцип семиозиса,цикличные/каскадные,Аналоги
12,анализ музыкальных стилей,Да,поведение,принцип обратной связи,дискретные/континуальные,Уникальный
13,исследование обозначений,Нет,память/наследие,принцип дискурсивности,цикличные/каскадные,Уникальный
14,анализ культурных ассоциаций,Условно,поведение,принцип кодирования,мгновенные/постепенные,Аналоги
15,изучение музыкальных цитат,Нет,дискурс,принцип культурной релевантности,индивидуальные/коллективные,Уникальный
16,анализ лейтмотивов,Условно,состояние,принцип взаимосвязи,индивидуальные/коллективные,Аналоги
17,исследование формы,Да,технология/инфраструктура,принцип взаимосвязи,цикличные/каскадные,Аналоги
18,анализ импровизации,Да,нормы,принцип контекста,цикличные/каскадные,Уникальный
19,исследование текстур,Условно,экономика/обмен,принцип кодирования,институциональные/неформальные,Аналоги
20,анализ полифонии,Да,функция,принцип семиозиса,явные/латентные,Уникальный
21,исследование контрапункта,Да,состояние,принцип контекста,мгновенные/постепенные,Аналоги
22,анализ звуковых символов,Да,поведение,принцип обратной связи,цикличные/каскадные,Аналоги
23,исследование октавных связей,Да,время/ритм,принцип кодирования,мгновенные/постепенные,Аналоги
24,анализ темповых указаний,Нет,поведение,принцип обратной связи,институциональные/неформальные,Аналоги
25,исследование музыкальных мод,Нет,экономика/обмен,принцип знака,необходимые/возможные,Аналоги
26,анализ музыкального нарратива,Нет,идентичность/границы,принцип кодирования,индивидуальные/коллективные,Аналоги
27,исследование метра,Нет,символы,принцип знака,явные/латентные,Уникальный
28,анализ музыкальной семантики,Да,нормы,принцип аналогии,индивидуальные/коллективные,Аналоги
29,изучение жанровых конвенций,Да,технология/инфраструктура,принцип дискурсивности,мгновенные/постепенные,Аналоги
30,анализ музыкальной синтагматики,Условно,технология/инфраструктура,принцип обратной связи,необходимые/возможные,Уникальный
31,исследование музыкальной парадигматики,Да,структура,принцип семиозиса,мгновенные/постепенные,Уникальный
32,анализ взаимодействия вокала и инструмента,Условно,нормы,принцип семиозиса,явные/латентные,Уникальный
33,исследование тонального символизма,Да,пространство,принцип знака,индивидуальные/коллективные,Уникальный
34,анализ музыкальной иконики,Да,дискурс,принцип кодирования,дискретные/континуальные,Уникальный
35,исследование аудиоассоциаций,Нет,тело/материя,принцип культурной релевантности,необходимые/возможные,Аналоги
36,анализ структурной музыки,Да,отношения,принцип кодирования,индивидуальные/коллективные,Уникальный
37,исследование эстетических кодов,Да,тело/материя,принцип интерпретации,цикличные/каскадные,Аналоги
38,"анализ эмоций, вызываемых музыкой",Условно,состояние,принцип кодирования,цикличные/каскадные,Аналоги
39,исследование смысловых изменений,Нет,состояние,принцип кодирования,необходимые/возможные,Аналоги
40,анализ музыкальных знаков в рекламе,Условно,институты,принцип культурной релевантности,дискретные/континуальные,Аналоги
41,исследование музыки в кино,Нет,идентичность/границы,принцип кодирования,дискретные/континуальные,Уникальный
42,анализ звуковых ландшафтов,Условно,экономика/обмен,принцип кодирования,индивидуальные/коллективные,Уникальный
43,изучение поп-музыки,Нет,нормы,принцип кодирования,индивидуальные/коллективные,Аналоги
44,анализ музыки в видеоиграх,Условно,технология/инфраструктура,принцип обратной связи,эндогенные/экзогенные,Уникальный
45,исследование шума,Да,состояние,принцип дискурсивности,необходимые/возможные,Уникальный
46,анализ тишины как знака,Условно,время/ритм,принцип обратной связи,мгновенные/постепенные,Уникальный
