№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,анализ символов в телевидении,Да,память/наследие,принцип интерпретации,институциональные/неформальные,Уникальный
2,исследование рекламных кодов,Нет,значения,принцип семиозиса,необходимые/возможные,Аналоги
3,анализ газетных заголовков,Условно,значения,принцип обратной связи,цикличные/каскадные,Аналоги
4,изучение мемов,Да,тело/материя,принцип интерпретации,институциональные/неформальные,Аналоги
5,анализ новостного фрейминга,Нет,институты,принцип взаимосвязи,дискретные/континуальные,Уникальный
6,исследование образов в кино,Условно,содержание,принцип взаимосвязи,цикличные/каскадные,Уникальный
7,анализ телесериалов,Да,институты,принцип аналогии,необходимые/возможные,Уникальный
8,исследование новостных клише,Условно,институты,принцип кодирования,дискретные/континуальные,Уникальный
9,анализ рекламной эстетики,Нет,структура,принцип дискурсивности,необходимые/возможные,Аналоги
10,исследование коннотативных смыслов в медиа,Нет,институты,принцип культурной релевантности,эндогенные/экзогенные,Аналоги
11,анализ медиатекстов,Нет,отношения,принцип интерпретации,мгновенные/постепенные,Уникальный
12,исследование блогов,Нет,символы,принцип дискурсивности,эндогенные/экзогенные,Аналоги
13,анализ социальных сетей,Да,структура,принцип культурной релевантности,необходимые/возможные,Уникальный
14,исследование визуальных мемов,Условно,время/ритм,принцип культурной релевантности,индивидуальные/коллективные,Уникальный
15,анализ аудиовизуальных кодов,Условно,время/ритм,принцип кодирования,индивидуальные/коллективные,Аналоги
16,исследование политической рекламы,Нет,технология/инфраструктура,принцип дискурсивности,цикличные/каскадные,Уникальный
17,анализ субтитров,Нет,идентичность/границы,принцип культурной релевантности,мгновенные/постепенные,Аналоги
18,исследование мультимодальных сообщений,Нет,технология/инфраструктура,принцип контекста,индивидуальные/коллективные,Аналоги
19,анализ символики брендов,Да,функция,принцип обратной связи,цикличные/каскадные,Уникальный
20,исследование инфотейнмента,Условно,время/ритм,принцип аналогии,мгновенные/постепенные,Уникальный
21,анализ чатов и комментариев,Да,значения,принцип семиозиса,мгновенные/постепенные,Аналоги
22,исследование эмодзи и стикеров,Да,институты,принцип аналогии,мгновенные/постепенные,Аналоги
23,анализ фотожаб,Да,технология/инфраструктура,принцип аналогии,эндогенные/экзогенные,Уникальный
24,исследование медиа-персон,Да,значения,принцип контекста,эндогенные/экзогенные,Уникальный
25,анализ авторских стратегий,Условно,тело/материя,принцип аналогии,явные/латентные,Аналоги
26,исследование маркетинговых слоганов,Да,экономика/обмен,принцип взаимосвязи,мгновенные/постепенные,Аналоги
27,анализ пользовательского контента,Условно,отношения,принцип аналогии,цикличные/каскадные,Уникальный
28,исследование SEO и алгоритмов,Нет,поведение,принцип культурной релевантности,цикличные/каскадные,Аналоги
29,анализ цифровых метафор,Нет,память/наследие,принцип культурной релевантности,необходимые/возможные,Уникальный
30,исследование аудиоподкастов,Нет,состояние,принцип интерпретации,институциональные/неформальные,Аналоги
31,анализ видеоигр,Условно,отношения,принцип кодирования,мгновенные/постепенные,Аналоги
32,исследование форматирования медиа,Нет,пространство,принцип дискурсивности,явные/латентные,Уникальный
33,анализ интерактивных элементов,Нет,экономика/обмен,принцип интерпретации,индивидуальные/коллективные,Аналоги
34,исследование нарративов медиа,Да,символы,принцип культурной релевантности,дискретные/континуальные,Уникальный
35,анализ фанатских творчеств,Нет,поведение,принцип контекста,необходимые/возможные,Уникальный
36,исследование медиа-архетипов,Нет,тело/материя,принцип знака,дискретные/континуальные,Уникальный
37,анализ визуальной риторики,Да,структура,принцип знака,дискретные/континуальные,Уникальный
38,исследование кодовых переходов,Нет,тело/материя,принцип культурной релевантности,мгновенные/постепенные,Аналоги
39,анализ медиа-мифов,Условно,идентичность/границы,принцип семиозиса,эндогенные/экзогенные,Уникальный
40,исследование фейковых новостей,Нет,время/ритм,принцип взаимосвязи,дискретные/континуальные,Аналоги
41,анализ культурных воинов в медиа,Условно,значения,принцип семиозиса,цикличные/каскадные,Уникальный
42,исследование новостного цикла,Нет,структура,принцип обратной связи,дискретные/континуальные,Аналоги
