№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,определение знака,Нет,функция,принцип дискурсивности,эндогенные/экзогенные,Аналоги
2,выделение сигнификатора и означаемого,Нет,состояние,принцип кодирования,индивидуальные/коллективные,Уникальный
3,идентификация бинарных оппозиций,Условно,пространство,принцип аналогии,индивидуальные/коллективные,Аналоги
4,построение семиотического квадрата,Да,память/наследие,принцип дискурсивности,индивидуальные/коллективные,Аналоги
5,анализ синтагматических отношений,Нет,отношения,принцип взаимосвязи,явные/латентные,Аналоги
6,анализ парадигматических отношений,Да,состояние,принцип аналогии,мгновенные/постепенные,Уникальный
7,классификация семиотических кодов,Условно,состояние,принцип интерпретации,явные/латентные,Аналоги
8,описание структуры мифа,Да,состояние,принцип интерпретации,дискретные/континуальные,Уникальный
9,выявление глубинных структур,Да,содержание,принцип контекста,индивидуальные/коллективные,Аналоги
10,разложение текста на функции,Да,структура,принцип контекста,явные/латентные,Аналоги
11,моделирование семиотического уровня,Условно,отношения,принцип культурной релевантности,индивидуальные/коллективные,Уникальный
12,выявление синтаксических правил,Условно,идентичность/границы,принцип дискурсивности,дискретные/континуальные,Аналоги
13,разработка семантических сетей,Нет,содержание,принцип контекста,институциональные/неформальные,Уникальный
14,формализация семиозиса,Да,память/наследие,принцип аналогии,эндогенные/экзогенные,Уникальный
15,определение знаковой системы,Условно,время/ритм,принцип кодирования,институциональные/неформальные,Уникальный
16,картирование межкодовых отношений,Да,значения,принцип дискурсивности,мгновенные/постепенные,Уникальный
17,структурирование повествования,Да,отношения,принцип семиозиса,дискретные/континуальные,Аналоги
18,анализ метафор и метонимии,Условно,пространство,принцип контекста,дискретные/континуальные,Уникальный
19,установление корреляций между уровнями,Условно,функция,принцип обратной связи,явные/латентные,Уникальный
20,сегментация текста,Условно,дискурс,принцип дискурсивности,эндогенные/экзогенные,Уникальный
21,идентификация повторяющихся схем,Условно,дискурс,принцип интерпретации,явные/латентные,Уникальный
22,анализ рамок,Нет,поведение,принцип аналогии,явные/латентные,Уникальный
23,исследование структурных отличий,Нет,структура,принцип взаимосвязи,индивидуальные/коллективные,Аналоги
24,синтез знаковых инвариантов,Да,экономика/обмен,принцип интерпретации,дискретные/континуальные,Аналоги
25,структурирование семантического поля,Да,время/ритм,принцип знака,индивидуальные/коллективные,Уникальный
26,сравнение кодовых систем,Нет,память/наследие,принцип аналогии,необходимые/возможные,Аналоги
27,выделение уровней значимости,Нет,институты,принцип взаимосвязи,мгновенные/постепенные,Аналоги
28,построение типологий,Нет,содержание,принцип контекста,индивидуальные/коллективные,Уникальный
29,выявление правил комбинирования,Да,символы,принцип взаимосвязи,цикличные/каскадные,Уникальный
30,структурное моделирование,Да,символы,принцип кодирования,необходимые/возможные,Уникальный
31,описание архетипов,Нет,поведение,принцип семиозиса,мгновенные/постепенные,Уникальный
32,идентификация части и целого,Нет,пространство,принцип интерпретации,институциональные/неформальные,Уникальный
33,анализ интертекстуальных структур,Нет,структура,принцип интерпретации,мгновенные/постепенные,Уникальный
34,выявление конвенциональных символов,Нет,структура,принцип аналогии,эндогенные/экзогенные,Уникальный
35,картирование знаковых оппозиций,Да,идентичность/границы,принцип обратной связи,необходимые/возможные,Аналоги
36,определение коннотативных связей,Да,содержание,принцип дискурсивности,мгновенные/постепенные,Аналоги
37,исследование модификаций знаков,Да,значения,принцип интерпретации,мгновенные/постепенные,Уникальный
38,анализ семантических переключений,Да,дискурс,принцип взаимосвязи,цикличные/каскадные,Уникальный
39,структурирование систем семиозиса,Условно,дискурс,принцип дискурсивности,мгновенные/постепенные,Уникальный
40,формирование понятийного поля,Условно,символы,принцип взаимосвязи,дискретные/континуальные,Уникальный
41,определение границ кодов,Нет,тело/материя,принцип кодирования,необходимые/возможные,Уникальный
42,выявление стереотипных схем,Да,идентичность/границы,принцип контекста,цикличные/каскадные,Аналоги
43,анализ композиционных принципов,Да,экономика/обмен,принцип культурной релевантности,институциональные/неформальные,Аналоги
44,моделирование дискурсивных структур,Условно,содержание,принцип семиозиса,институциональные/неформальные,Уникальный
45,картирование переходов,Да,поведение,принцип дискурсивности,институциональные/неформальные,Аналоги
46,анализ структурных инвариантов,Нет,символы,принцип дискурсивности,эндогенные/экзогенные,Уникальный
47,выявление связи формы и содержания,Условно,поведение,принцип семиозиса,явные/латентные,Уникальный
