№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,наблюдение за животными сигналами,Да,память/наследие,принцип культурной релевантности,институциональные/неформальные,Уникальный
2,исследование территориальных меток,Условно,содержание,принцип семиозиса,цикличные/каскадные,Аналоги
3,анализ акустических сигналов,Нет,функция,принцип обратной связи,эндогенные/экзогенные,Аналоги
4,исследование визуальных дисплеев животных,Да,пространство,принцип контекста,институциональные/неформальные,Аналоги
5,анализ химической коммуникации,Нет,технология/инфраструктура,принцип семиозиса,институциональные/неформальные,Аналоги
6,исследование агрессивных сигналов,Да,состояние,принцип аналогии,мгновенные/постепенные,Аналоги
7,анализ брачных танцев,Да,нормы,принцип кодирования,явные/латентные,Уникальный
8,исследование кормовых сигналов,Нет,тело/материя,принцип интерпретации,явные/латентные,Уникальный
9,анализ миграционных звуков,Условно,символы,принцип аналогии,индивидуальные/коллективные,Уникальный
10,исследование группового поведения,Условно,функция,принцип контекста,мгновенные/постепенные,Уникальный
11,анализ телесных поз,Условно,дискурс,принцип знака,институциональные/неформальные,Аналоги
12,исследование мимикрии,Условно,время/ритм,принцип обратной связи,цикличные/каскадные,Уникальный
13,анализ камуфляжа,Нет,отношения,принцип кодирования,институциональные/неформальные,Уникальный
14,исследование сигналов тревоги,Условно,институты,принцип кодирования,явные/латентные,Аналоги
15,анализ тактильной коммуникации,Нет,нормы,принцип обратной связи,индивидуальные/коллективные,Аналоги
16,исследование запахов,Нет,состояние,принцип контекста,явные/латентные,Аналоги
17,анализ поведенческих ритуалов,Да,дискурс,принцип дискурсивности,цикличные/каскадные,Уникальный
18,исследование обучающих сигналов,Нет,поведение,принцип интерпретации,цикличные/каскадные,Уникальный
19,анализ межвидового взаимодействия,Да,поведение,принцип обратной связи,индивидуальные/коллективные,Уникальный
20,исследование родительских сигналов,Условно,идентичность/границы,принцип семиозиса,индивидуальные/коллективные,Уникальный
21,анализ пищевых сигналов,Да,память/наследие,принцип семиозиса,дискретные/континуальные,Аналоги
22,исследование репродуктивных знаков,Условно,нормы,принцип обратной связи,необходимые/возможные,Уникальный
23,анализ территориальных песен,Да,структура,принцип аналогии,мгновенные/постепенные,Уникальный
24,исследование зоомузыкологии,Да,значения,принцип взаимосвязи,дискретные/континуальные,Уникальный
25,анализ физиологических знаков,Условно,содержание,принцип культурной релевантности,дискретные/континуальные,Аналоги
26,исследование хищнических сигналов,Условно,содержание,принцип семиозиса,явные/латентные,Аналоги
27,анализ эхолокации,Нет,память/наследие,принцип знака,цикличные/каскадные,Аналоги
28,исследование умвельта,Нет,значения,принцип обратной связи,индивидуальные/коллективные,Уникальный
29,анализ коллективного интеллекта,Условно,функция,принцип кодирования,явные/латентные,Уникальный
30,исследование кросс-видового семиозиса,Да,символы,принцип знака,цикличные/каскадные,Уникальный
31,анализ нейросенсорных механизмов,Да,функция,принцип контекста,индивидуальные/коллективные,Уникальный
32,исследование поз животных,Условно,память/наследие,принцип интерпретации,индивидуальные/коллективные,Уникальный
33,анализ эмпатии у животных,Нет,состояние,принцип интерпретации,дискретные/континуальные,Уникальный
34,исследование социального обучения,Условно,функция,принцип культурной релевантности,мгновенные/постепенные,Уникальный
35,"анализ визуальных знаков (цвет, узор)",Условно,тело/материя,принцип аналогии,явные/латентные,Уникальный
36,исследование биоакустики,Условно,идентичность/границы,принцип дискурсивности,институциональные/неформальные,Уникальный
37,анализ микровибраций,Да,поведение,принцип взаимосвязи,цикличные/каскадные,Уникальный
38,исследование социальных ансамблей,Да,структура,принцип кодирования,институциональные/неформальные,Аналоги
39,анализ парадоксальных знаков,Да,отношения,принцип кодирования,явные/латентные,Уникальный
40,исследование уклонения от хищников,Нет,институты,принцип обратной связи,мгновенные/постепенные,Аналоги
41,анализ территориального маркера,Условно,структура,принцип контекста,необходимые/возможные,Аналоги
42,исследование социальных звуков,Нет,функция,принцип контекста,эндогенные/экзогенные,Уникальный
43,анализ биосемиотических игр,Условно,идентичность/границы,принцип обратной связи,цикличные/каскадные,Уникальный
44,исследование генетических сигналов,Условно,структура,принцип контекста,эндогенные/экзогенные,Уникальный
45,анализ общения без звука,Да,содержание,принцип взаимосвязи,мгновенные/постепенные,Аналоги
46,исследование нейрокогнитивного семиозиса,Нет,функция,принцип интерпретации,необходимые/возможные,Аналоги
