№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Цифровизация текстов,Условно,состояние,принцип модальности,эндогенные/экзогенные,Уникальный
2,Создание электронных изданий,Условно,поведение,принцип медиатеории,явные/латентные,Уникальный
3,Разработка цифровых архивов,Нет,отношения,принцип устойчивости,индивидуальные/коллективные,Уникальный
4,Визуализация данных,Да,технология/инфраструктура,принцип системности,необходимые/возможные,Аналоги существуют
5,Применение GIS в исследованиях,Да,время/ритм,принцип интердисциплинарности,мгновенные/постепенные,Уникальный
6,Анализ больших данных,Условно,функция,принцип модальности,институциональные/неформальные,Уникальный
7,Создание онтологий,Нет,дискурс,принцип эволюции,институциональные/неформальные,Аналоги существуют
8,Разработка DH-проектов,Да,пространство,принцип модальности,мгновенные/постепенные,Уникальный
9,Текстовый майнинг,Да,технология/инфраструктура,принцип эволюции,явные/латентные,Уникальный
10,Применение машинного обучения,Условно,поведение,принцип эволюции,эндогенные/экзогенные,Уникальный
11,Разработка цифровых выставок,Условно,содержание,принцип целостности,эндогенные/экзогенные,Уникальный
12,Интеграция VR/AR,Нет,содержание,принцип модальности,необходимые/возможные,Аналоги существуют
13,Организация краудсорсинговых проектов,Нет,значения,принцип критического анализа,явные/латентные,Аналоги существуют
14,Составление метаданных,Условно,идентичность/границы,принцип адаптации,индивидуальные/коллективные,Уникальный
15,Разработка сетевых графов,Условно,время/ритм,принцип критического анализа,дискретные/континуальные,Уникальный
16,Применение сетевого анализа,Да,символы,принцип взаимозависимости,эндогенные/экзогенные,Уникальный
17,Разработка интерактивных карт,Условно,состояние,принцип взаимозависимости,явные/латентные,Уникальный
18,Создание цифровых визуализаций,Условно,нормы,принцип критического анализа,эндогенные/экзогенные,Уникальный
19,Обеспечение открытого доступа,Нет,институты,принцип модальности,индивидуальные/коллективные,Аналоги существуют
20,Разработка DH-курсов,Условно,значения,принцип обратной связи,индивидуальные/коллективные,Аналоги существуют
21,Анализ социальных медиа,Нет,память/наследие,принцип устойчивости,цикличные/каскадные,Аналоги существуют
22,Создание 3D-моделей,Да,значения,принцип этики,мгновенные/постепенные,Аналоги существуют
23,Применение OCR,Да,структура,принцип целостности,индивидуальные/коллективные,Аналоги существуют
24,Разработка цифровых публикаций,Да,структура,принцип обратной связи,явные/латентные,Аналоги существуют
25,Внедрение информационных стандартов,Нет,состояние,принцип целостности,индивидуальные/коллективные,Уникальный
26,Обеспечение долгосрочного хранения данных,Да,поведение,принцип устойчивости,явные/латентные,Аналоги существуют
27,Разработка визуальных интерфейсов,Нет,тело/материя,принцип медиатеории,цикличные/каскадные,Уникальный
28,Анализ текстовой семантики,Условно,нормы,принцип модальности,эндогенные/экзогенные,Уникальный
29,Использование блокчейна для архивов,Условно,экономика/обмен,принцип эволюции,индивидуальные/коллективные,Аналоги существуют
30,Интеграция с онлайн-библиотеками,Да,тело/материя,принцип модальности,мгновенные/постепенные,Уникальный
31,Создание мультимедийных проектов,Нет,дискурс,принцип этики,институциональные/неформальные,Аналоги существуют
32,Анализ аудиовизуальных источников,Да,состояние,принцип интердисциплинарности,эндогенные/экзогенные,Уникальный
33,Разработка образовательных игр,Нет,пространство,принцип интердисциплинарности,институциональные/неформальные,Аналоги существуют
34,Моделирование исторических данных,Да,состояние,принцип устойчивости,эндогенные/экзогенные,Уникальный
35,Семантическая разметка,Нет,память/наследие,принцип критического анализа,дискретные/континуальные,Аналоги существуют
36,Внедрение платформ DH,Нет,состояние,принцип устойчивости,явные/латентные,Аналоги существуют
37,Исследование цифровых сообществ,Нет,технология/инфраструктура,принцип интердисциплинарности,эндогенные/экзогенные,Аналоги существуют
38,Разработка API,Нет,символы,принцип целостности,необходимые/возможные,Уникальный
39,Создание цифровых карт маршрутов,Условно,технология/инфраструктура,принцип эволюции,дискретные/континуальные,Уникальный
40,Анализ геопривязанных данных,Условно,функция,принцип модальности,институциональные/неформальные,Аналоги существуют
41,Разработка визуальных проектов,Условно,структура,принцип взаимозависимости,институциональные/неформальные,Уникальный
42,Изучение цифровых гуманитарных методов,Условно,экономика/обмен,принцип обратной связи,индивидуальные/коллективные,Уникальный
43,Создание цифровой критики,Нет,содержание,принцип обратной связи,индивидуальные/коллективные,Уникальный
44,Интеграция данных из разных источников,Нет,экономика/обмен,принцип модальности,явные/латентные,Аналоги существуют
45,Разработка мета-данных,Условно,значения,принцип эволюции,индивидуальные/коллективные,Уникальный
46,Применение текстовых корпусов,Условно,содержание,принцип критического анализа,цикличные/каскадные,Аналоги существуют
47,Исследование интерфейсов DH,Да,состояние,принцип медиатеории,эндогенные/экзогенные,Уникальный
48,Сотрудничество между гуманитариями и IT-специалистами,Да,значения,принцип взаимозависимости,необходимые/возможные,Аналоги существуют
49,Разработка методологий,Да,дискурс,принцип эволюции,мгновенные/постепенные,Аналоги существуют
50,Изучение влияния технологий на гуманитарные науки,Да,дискурс,принцип модальности,институциональные/неформальные,Уникальный
