№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Анализ игровой механики,Нет,поведение,принцип интердисциплинарности,мгновенные/постепенные,Уникальный
2,Изучение нарратива игр,Да,состояние,принцип адаптации,эндогенные/экзогенные,Аналоги существуют
3,Исследование взаимодействия игрока,Нет,институты,принцип критического анализа,необходимые/возможные,Аналоги существуют
4,Определение игровой динамики,Да,время/ритм,принцип адаптации,эндогенные/экзогенные,Аналоги существуют
5,Исследование сообществ,Да,тело/материя,принцип устойчивости,институциональные/неформальные,Аналоги существуют
6,Анализ дизайна уровней,Нет,технология/инфраструктура,принцип критического анализа,мгновенные/постепенные,Аналоги существуют
7,Определение жанров,Нет,экономика/обмен,принцип интердисциплинарности,явные/латентные,Аналоги существуют
8,Исследование психологических эффектов,Нет,пространство,принцип интердисциплинарности,эндогенные/экзогенные,Уникальный
9,Анализ теории игр,Условно,функция,принцип целостности,цикличные/каскадные,Уникальный
10,Изучение роли аватаров,Нет,время/ритм,принцип системности,необходимые/возможные,Уникальный
11,Определение метаповествования,Нет,значения,принцип системности,эндогенные/экзогенные,Аналоги существуют
12,Исследование игровых правил,Нет,память/наследие,принцип устойчивости,цикличные/каскадные,Уникальный
13,Анализ влияния на эмоции,Да,память/наследие,принцип этики,мгновенные/постепенные,Аналоги существуют
14,Исследование лудических практик,Нет,технология/инфраструктура,принцип эволюции,цикличные/каскадные,Уникальный
15,Определение вознаграждения,Условно,технология/инфраструктура,принцип обратной связи,дискретные/континуальные,Уникальный
16,Анализ ролевых систем,Условно,содержание,принцип интердисциплинарности,дискретные/континуальные,Аналоги существуют
17,Изучение конфликтов в играх,Условно,тело/материя,принцип целостности,мгновенные/постепенные,Уникальный
18,Исследование игровой культуры,Нет,символы,принцип устойчивости,дискретные/континуальные,Аналоги существуют
19,Определение взаимодействия игрок-система,Условно,символы,принцип медиатеории,эндогенные/экзогенные,Уникальный
20,Анализ игрок-игрок,Условно,содержание,принцип адаптации,дискретные/континуальные,Уникальный
21,Исследование киберспорта,Да,символы,принцип медиатеории,индивидуальные/коллективные,Аналоги существуют
22,Определение геймификации,Условно,экономика/обмен,принцип адаптации,цикличные/каскадные,Аналоги существуют
23,Анализ обучения через игры,Да,поведение,принцип системности,институциональные/неформальные,Аналоги существуют
24,Исследование истории игр,Да,память/наследие,принцип устойчивости,институциональные/неформальные,Аналоги существуют
25,Определение нарратива в геймплее,Да,состояние,принцип устойчивости,мгновенные/постепенные,Аналоги существуют
26,Исследование игрового тестирования,Да,идентичность/границы,принцип критического анализа,необходимые/возможные,Уникальный
27,Анализ игровой экономики,Нет,институты,принцип этики,дискретные/континуальные,Уникальный
28,Исследование этических вопросов,Нет,пространство,принцип обратной связи,цикличные/каскадные,Уникальный
29,Определение процедурной риторики,Да,структура,принцип этики,цикличные/каскадные,Уникальный
30,Анализ социальных интеракций,Да,тело/материя,принцип медиатеории,необходимые/возможные,Уникальный
31,Исследование иммерсивности,Условно,нормы,принцип интердисциплинарности,индивидуальные/коллективные,Уникальный
32,Определение структур сюжетов,Нет,экономика/обмен,принцип модальности,мгновенные/постепенные,Аналоги существуют
33,Анализ нелинейности,Условно,время/ритм,принцип целостности,дискретные/континуальные,Уникальный
34,Изучение игрофикации образования,Нет,структура,принцип этики,необходимые/возможные,Уникальный
35,Исследование моддинга,Нет,содержание,принцип эволюции,цикличные/каскадные,Аналоги существуют
36,Определение сессий,Нет,институты,принцип целостности,институциональные/неформальные,Аналоги существуют
37,Анализ временных структур,Нет,экономика/обмен,принцип эволюции,мгновенные/постепенные,Аналоги существуют
38,Исследование AI в играх,Да,дискурс,принцип системности,цикличные/каскадные,Аналоги существуют
39,Определение пользовательских стратегий,Нет,структура,принцип этики,дискретные/континуальные,Уникальный
40,Исследование восприятия интерфейса,Условно,институты,принцип взаимозависимости,институциональные/неформальные,Аналоги существуют
41,Определение обратной связи,Да,институты,принцип эволюции,эндогенные/экзогенные,Аналоги существуют
42,Анализ уровней сложности,Условно,пространство,принцип конвергенции,необходимые/возможные,Уникальный
43,Изучение игровых жанров,Нет,институты,принцип целостности,индивидуальные/коллективные,Аналоги существуют
44,Исследование кооперативности,Условно,символы,принцип устойчивости,дискретные/континуальные,Уникальный
45,Определение соревновательных структур,Нет,пространство,принцип целостности,индивидуальные/коллективные,Аналоги существуют
46,Анализ игрового искусства,Нет,тело/материя,принцип целостности,дискретные/континуальные,Аналоги существуют
47,Исследование игровых багов,Да,технология/инфраструктура,принцип устойчивости,мгновенные/постепенные,Аналоги существуют
48,Определение эффекта Tetris,Условно,поведение,принцип критического анализа,эндогенные/экзогенные,Аналоги существуют
49,Изучение систем достижений,Условно,идентичность/границы,принцип медиатеории,институциональные/неформальные,Аналоги существуют
50,Исследование сценариев,Да,отношения,принцип медиатеории,явные/латентные,Аналоги существуют
51,Анализ ретроигр,Условно,дискурс,принцип критического анализа,явные/латентные,Аналоги существуют
