№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Анализ «мертвых» медиа,Условно,поведение,принцип системности,необходимые/возможные,Уникальный
2,Изучение исторических аппаратов,Нет,значения,принцип целостности,необходимые/возможные,Уникальный
3,Идентификация медиафантазий,Нет,поведение,принцип интердисциплинарности,явные/латентные,Аналоги существуют
4,Сравнение аналоговых технологий,Да,технология/инфраструктура,принцип медиатеории,институциональные/неформальные,Уникальный
5,Изучение утраченных коммуникационных техник,Нет,память/наследие,принцип взаимозависимости,институциональные/неформальные,Аналоги существуют
6,Реконструкция старых медиаформатов,Да,технология/инфраструктура,принцип адаптации,индивидуальные/коллективные,Аналоги существуют
7,Определение влияния старых медиа на новое,Условно,технология/инфраструктура,принцип эволюции,цикличные/каскадные,Уникальный
8,Расшифровка устаревших кодеков,Условно,функция,принцип эволюции,институциональные/неформальные,Уникальный
9,Анализ медийных наследий,Условно,значения,принцип критического анализа,необходимые/возможные,Уникальный
10,Документация технологической эволюции,Условно,нормы,принцип модальности,институциональные/неформальные,Уникальный
11,Изучение аффордансов старых устройств,Нет,идентичность/границы,принцип взаимозависимости,цикличные/каскадные,Уникальный
12,Построение медиагенеалогии,Нет,идентичность/границы,принцип интердисциплинарности,явные/латентные,Аналоги существуют
13,Исследование медиа-утопий,Нет,функция,принцип этики,мгновенные/постепенные,Уникальный
14,Определение патентов на устаревшие медиа,Нет,отношения,принцип системности,индивидуальные/коллективные,Аналоги существуют
15,Восстановление архивов,Нет,состояние,принцип устойчивости,индивидуальные/коллективные,Аналоги существуют
16,Сравнение ретро-технологий,Нет,символы,принцип адаптации,необходимые/возможные,Аналоги существуют
17,Анализ телеграфных сетей,Да,состояние,принцип медиатеории,необходимые/возможные,Уникальный
18,Изучение медиафантастики,Условно,функция,принцип устойчивости,явные/латентные,Уникальный
19,Определение вклада прототипов,Условно,экономика/обмен,принцип интердисциплинарности,дискретные/континуальные,Уникальный
20,Исследование лиминальных технологий,Нет,пространство,принцип интердисциплинарности,индивидуальные/коллективные,Уникальный
21,Анализ медийных мифов,Да,пространство,принцип целостности,дискретные/континуальные,Уникальный
22,Изучение влияния научной фантастики на медиа,Да,институты,принцип медиатеории,эндогенные/экзогенные,Аналоги существуют
23,Построение хронологий,Да,отношения,принцип конвергенции,эндогенные/экзогенные,Уникальный
24,Определение архивации форматов,Да,состояние,принцип модальности,явные/латентные,Аналоги существуют
25,Исследование палеомедиа,Да,поведение,принцип системности,эндогенные/экзогенные,Уникальный
26,Разработка методик медиаархеологии,Да,тело/материя,принцип критического анализа,институциональные/неформальные,Аналоги существуют
27,Определение признаков медийной усталости,Нет,символы,принцип системности,индивидуальные/коллективные,Аналоги существуют
28,Сравнение медийных артефактов,Нет,дискурс,принцип устойчивости,индивидуальные/коллективные,Аналоги существуют
29,Изучение медийных циклотов,Условно,дискурс,принцип системности,эндогенные/экзогенные,Уникальный
30,Воссоздание старых интерфейсов,Да,технология/инфраструктура,принцип адаптации,институциональные/неформальные,Уникальный
31,Определение контента для реставрации,Условно,поведение,принцип конвергенции,эндогенные/экзогенные,Уникальный
32,Исследование влияния архаичных медиа на культуру,Нет,содержание,принцип медиатеории,институциональные/неформальные,Аналоги существуют
33,Исследование материалов,Условно,экономика/обмен,принцип адаптации,индивидуальные/коллективные,Аналоги существуют
34,Анализ медиафилософии прошлого,Да,пространство,принцип устойчивости,цикличные/каскадные,Аналоги существуют
35,Документирование прототипов,Да,время/ритм,принцип этики,индивидуальные/коллективные,Уникальный
36,Изучение отношений фантастики и технологий,Да,состояние,принцип адаптации,необходимые/возможные,Аналоги существуют
37,Определение классификаций старого медиа,Да,структура,принцип устойчивости,явные/латентные,Уникальный
38,Исследование воображаемых технологий,Условно,содержание,принцип этики,институциональные/неформальные,Аналоги существуют
39,Взаимодействие истории и технологического развития,Нет,отношения,принцип медиатеории,цикличные/каскадные,Уникальный
40,Анализ медиа-ностальгии,Нет,структура,принцип критического анализа,институциональные/неформальные,Уникальный
41,Построение карт медиакомплексов,Да,память/наследие,принцип обратной связи,мгновенные/постепенные,Уникальный
42,Оценка влияния материалов,Да,технология/инфраструктура,принцип конвергенции,цикличные/каскадные,Уникальный
43,Идентификация влияния медийных археологов,Да,символы,принцип обратной связи,индивидуальные/коллективные,Уникальный
44,Изучение ретроакустики,Да,тело/материя,принцип этики,необходимые/возможные,Аналоги существуют
45,Определение типов носителей,Нет,институты,принцип адаптации,явные/латентные,Уникальный
