№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Оценка воздействия медиа на восприятие,Нет,институты,принцип модальности,цикличные/каскадные,Аналоги существуют
2,Анализ медийного окружения,Да,содержание,принцип взаимозависимости,мгновенные/постепенные,Аналоги существуют
3,Изучение медиазависимости,Условно,нормы,принцип конвергенции,мгновенные/постепенные,Аналоги существуют
4,Идентификация медийных экосистем,Нет,содержание,принцип системности,явные/латентные,Уникальный
5,Исследование смены доминирующих медиа,Нет,структура,принцип модальности,необходимые/возможные,Аналоги существуют
6,Оценка медиазависимости аудиторий,Нет,значения,принцип медиатеории,институциональные/неформальные,Уникальный
7,Моделирование медиаматричных взаимодействий,Нет,значения,принцип взаимозависимости,цикличные/каскадные,Аналоги существуют
8,Анализ среды как медиума,Нет,состояние,принцип модальности,эндогенные/экзогенные,Аналоги существуют
9,Сравнение старых и новых медиа,Условно,тело/материя,принцип целостности,эндогенные/экзогенные,Аналоги существуют
10,Определение технологических экосистем,Нет,тело/материя,принцип конвергенции,эндогенные/экзогенные,Уникальный
11,Исследование поведения пользователей,Нет,институты,принцип этики,явные/латентные,Аналоги существуют
12,Определение ролевых изменений,Нет,институты,принцип модальности,институциональные/неформальные,Аналоги существуют
13,Разработка программы медиаобразования,Условно,технология/инфраструктура,принцип эволюции,цикличные/каскадные,Уникальный
14,Формирование медиаграмотности,Нет,значения,принцип этики,индивидуальные/коллективные,Уникальный
15,Учет медийных экосистем в политике,Да,институты,принцип устойчивости,индивидуальные/коллективные,Аналоги существуют
16,Мониторинг влияния платформ,Нет,значения,принцип целостности,явные/латентные,Аналоги существуют
17,Анализ медийных экосистем города,Да,память/наследие,принцип обратной связи,необходимые/возможные,Аналоги существуют
18,Оценка воздействия рекламы,Нет,нормы,принцип целостности,дискретные/континуальные,Аналоги существуют
19,Исследование медиазависимости детей,Да,пространство,принцип этики,эндогенные/экзогенные,Уникальный
20,Сравнение региональных медиаэкосистем,Да,символы,принцип взаимозависимости,явные/латентные,Уникальный
21,Определение медиапотребления,Да,состояние,принцип эволюции,индивидуальные/коллективные,Уникальный
22,Анализ медиатравмы,Нет,время/ритм,принцип интердисциплинарности,институциональные/неформальные,Аналоги существуют
23,Изучение межмедийных отношений,Нет,идентичность/границы,принцип этики,цикличные/каскадные,Уникальный
24,Прогнозирование медийных трендов,Нет,дискурс,принцип медиатеории,явные/латентные,Аналоги существуют
25,Оценка долгосрочных эффектов,Условно,экономика/обмен,принцип обратной связи,институциональные/неформальные,Уникальный
26,Анализ информационных потоков,Условно,нормы,принцип адаптации,цикличные/каскадные,Уникальный
27,Построение медиаграмм,Условно,символы,принцип обратной связи,институциональные/неформальные,Аналоги существуют
28,Оценка экологической устойчивости медиа,Нет,символы,принцип системности,явные/латентные,Аналоги существуют
29,Изучение циркуляции медиаформатов,Да,тело/материя,принцип обратной связи,эндогенные/экзогенные,Уникальный
30,Моделирование медиаморфоза,Нет,тело/материя,принцип адаптации,явные/латентные,Аналоги существуют
31,Определение медиавоздействия на поведение,Нет,содержание,принцип этики,мгновенные/постепенные,Аналоги существуют
32,Изучение зависимости коммуникаций от медиа,Да,состояние,принцип адаптации,эндогенные/экзогенные,Уникальный
33,Сравнение медийных сред в истории,Условно,технология/инфраструктура,принцип конвергенции,мгновенные/постепенные,Аналоги существуют
34,Понимание медиарациональности,Условно,нормы,принцип этики,дискретные/континуальные,Аналоги существуют
35,Оценка медийного шума,Нет,идентичность/границы,принцип целостности,явные/латентные,Аналоги существуют
36,Изучение информационной перегрузки,Условно,содержание,принцип взаимозависимости,институциональные/неформальные,Аналоги существуют
37,Определение медиаконвергенции,Условно,институты,принцип медиатеории,индивидуальные/коллективные,Уникальный
38,Исследование экологии цифровых библиотек,Условно,время/ритм,принцип эволюции,дискретные/континуальные,Аналоги существуют
39,Анализ уровня зависимости от гаджетов,Условно,функция,принцип целостности,дискретные/континуальные,Аналоги существуют
40,Оценка медийной токсичности,Нет,содержание,принцип эволюции,эндогенные/экзогенные,Уникальный
41,Исследование медиадетерминизма,Да,пространство,принцип медиатеории,индивидуальные/коллективные,Аналоги существуют
42,Определение медийных границ,Да,технология/инфраструктура,принцип взаимозависимости,явные/латентные,Аналоги существуют
43,Моделирование медиапотребления,Да,структура,принцип медиатеории,институциональные/неформальные,Уникальный
44,Изучение медиа как экосистемы,Условно,символы,принцип медиатеории,цикличные/каскадные,Уникальный
45,Оценка психофизиологических эффектов,Да,технология/инфраструктура,принцип системности,явные/латентные,Аналоги существуют
46,Формирование культуры медиапотребления,Нет,символы,принцип этики,индивидуальные/коллективные,Аналоги существуют
47,Анализ влияния медиа на память,Условно,время/ритм,принцип целостности,мгновенные/постепенные,Аналоги существуют
48,Исследование коммуникационных барьеров,Условно,нормы,принцип устойчивости,институциональные/неформальные,Уникальный
