№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Анализ медийной онтологии,Да,память/наследие,принцип взаимозависимости,институциональные/неформальные,Аналоги существуют
2,Исследование материалности коммуникации,Да,функция,принцип эволюции,дискретные/континуальные,Аналоги существуют
3,Переосмысление философии через медиа,Нет,экономика/обмен,принцип медиатеории,цикличные/каскадные,Аналоги существуют
4,Определение антропотехник,Нет,отношения,принцип этики,цикличные/каскадные,Уникальный
5,Изучение сознания через медиа,Нет,пространство,принцип взаимозависимости,цикличные/каскадные,Аналоги существуют
6,Разработка медийной этики,Да,дискурс,принцип взаимозависимости,мгновенные/постепенные,Аналоги существуют
7,Осмысление политической теории медиа,Условно,функция,принцип медиатеории,необходимые/возможные,Уникальный
8,Формирование эстетики медиа,Условно,время/ритм,принцип критического анализа,институциональные/неформальные,Уникальный
9,Переосмысление субъективности,Да,структура,принцип конвергенции,явные/латентные,Аналоги существуют
10,Исследование интерфейсов как философских объектов,Условно,структура,принцип системности,эндогенные/экзогенные,Уникальный
11,Интерпретация медиатеории через Хайдеггера,Нет,значения,принцип этики,дискретные/континуальные,Аналоги существуют
12,Осмысление времени и пространства в цифровой эпохе,Условно,структура,принцип целостности,институциональные/неформальные,Аналоги существуют
13,Переоценка телеологий,Нет,время/ритм,принцип модальности,институциональные/неформальные,Уникальный
14,Анализ медиальных процессов,Условно,технология/инфраструктура,принцип этики,цикличные/каскадные,Уникальный
15,Формулирование вопросов гносеологии,Нет,идентичность/границы,принцип взаимозависимости,эндогенные/экзогенные,Уникальный
16,Исследование постгуманизма,Да,поведение,принцип системности,индивидуальные/коллективные,Аналоги существуют
17,Интеграция философии техники,Нет,экономика/обмен,принцип обратной связи,мгновенные/постепенные,Уникальный
18,Критика феноменологии медиа,Да,отношения,принцип обратной связи,необходимые/возможные,Аналоги существуют
19,Определение медиалогической эпистемологии,Нет,содержание,принцип этики,индивидуальные/коллективные,Уникальный
20,Воссоздание горизонта восприятия,Да,функция,принцип интердисциплинарности,институциональные/неформальные,Аналоги существуют
21,Изучение языка медиафилософии,Условно,идентичность/границы,принцип целостности,мгновенные/постепенные,Аналоги существуют
22,Исследование медийной метафизики,Нет,пространство,принцип критического анализа,мгновенные/постепенные,Аналоги существуют
23,Определение лиминальности в медиа,Нет,технология/инфраструктура,принцип устойчивости,необходимые/возможные,Уникальный
24,Формулирование этических принципов цифрового общества,Нет,структура,принцип модальности,эндогенные/экзогенные,Уникальный
25,Переосмысление реальности,Условно,время/ритм,принцип обратной связи,индивидуальные/коллективные,Уникальный
26,Исследование роли алгоритмов,Условно,память/наследие,принцип адаптации,индивидуальные/коллективные,Аналоги существуют
27,Осмысление кибернетических процессов,Условно,нормы,принцип медиатеории,явные/латентные,Аналоги существуют
28,Исследование медиа и власти,Да,состояние,принцип этики,явные/латентные,Аналоги существуют
29,Определение новых типов субъективности,Нет,память/наследие,принцип эволюции,необходимые/возможные,Аналоги существуют
30,Формирование онтологического дизайна,Да,институты,принцип целостности,индивидуальные/коллективные,Уникальный
31,Осмысление коммуникационного опыта,Да,функция,принцип критического анализа,явные/латентные,Уникальный
32,Интерпретация средств масс-медиа,Условно,пространство,принцип медиатеории,эндогенные/экзогенные,Уникальный
33,Анализ медиатеорий XX века,Условно,время/ритм,принцип медиатеории,эндогенные/экзогенные,Уникальный
34,Сравнение философских школ,Условно,содержание,принцип адаптации,цикличные/каскадные,Уникальный
35,Определение взаимосвязей между медиа и искусством,Нет,поведение,принцип критического анализа,мгновенные/постепенные,Уникальный
36,Определение границ реального и виртуального,Условно,тело/материя,принцип устойчивости,эндогенные/экзогенные,Уникальный
37,Изучение медиало́гии языка,Нет,пространство,принцип адаптации,эндогенные/экзогенные,Аналоги существуют
38,Разработка концептов постправды,Да,отношения,принцип адаптации,эндогенные/экзогенные,Уникальный
39,Формулирование медийной герменевтики,Условно,время/ритм,принцип системности,цикличные/каскадные,Аналоги существуют
40,Изучение философии информации,Да,структура,принцип системности,мгновенные/постепенные,Уникальный
41,Определение роли медиатора,Нет,символы,принцип модальности,цикличные/каскадные,Аналоги существуют
42,Анализ медийной скорости,Да,содержание,принцип интердисциплинарности,явные/латентные,Уникальный
43,Исследование феномена внимания,Да,память/наследие,принцип адаптации,дискретные/континуальные,Аналоги существуют
44,Определение временных режимов,Да,структура,принцип взаимозависимости,институциональные/неформальные,Аналоги существуют
45,Исследование трансцендентальных условии медиа,Да,идентичность/границы,принцип обратной связи,явные/латентные,Уникальный
46,Формирование критики медиареализма,Нет,технология/инфраструктура,принцип взаимозависимости,институциональные/неформальные,Уникальный
47,Переосмысление взаимодействия человека и техники,Нет,значения,принцип взаимозависимости,эндогенные/экзогенные,Уникальный
