№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Анализ медиа как среды,Условно,структура,принцип критического анализа,дискретные/континуальные,Уникальный
2,Определение медиаграмм,Условно,тело/материя,принцип целостности,явные/латентные,Аналоги существуют
3,Исследование медиа-эффекта,Да,поведение,принцип адаптации,индивидуальные/коллективные,Уникальный
4,Операционализация медиамодели,Нет,идентичность/границы,принцип эволюции,явные/латентные,Аналоги существуют
5,Выявление медийных структур,Да,время/ритм,принцип эволюции,дискретные/континуальные,Уникальный
6,Изучение коммуникационных моделей,Да,время/ритм,принцип взаимозависимости,необходимые/возможные,Уникальный
7,Применение теории технологического детерминизма,Условно,идентичность/границы,принцип системности,мгновенные/постепенные,Уникальный
8,Интерпретация культурных исследований,Условно,пространство,принцип адаптации,мгновенные/постепенные,Уникальный
9,Анализ текста как медиума,Нет,значения,принцип этики,цикличные/каскадные,Аналоги существуют
10,Определение границ медиа,Нет,время/ритм,принцип эволюции,эндогенные/экзогенные,Уникальный
11,Моделирование влияния медиатизации,Да,состояние,принцип системности,необходимые/возможные,Аналоги существуют
12,Разработка концепта медийного пространства,Нет,пространство,принцип адаптации,эндогенные/экзогенные,Уникальный
13,Уточнение понятий «горячие» и «холодные» медиа,Да,содержание,принцип интердисциплинарности,дискретные/континуальные,Аналоги существуют
14,Сравнение аналоговых и цифровых медиа,Нет,значения,принцип этики,цикличные/каскадные,Уникальный
15,Изучение медиалогического поля,Нет,нормы,принцип этики,эндогенные/экзогенные,Аналоги существуют
16,Построение медиасхем,Да,тело/материя,принцип взаимозависимости,индивидуальные/коллективные,Аналоги существуют
17,Разбор роли медиа в обществе,Условно,институты,принцип этики,необходимые/возможные,Аналоги существуют
18,Формализация медиаэффекта,Да,технология/инфраструктура,принцип целостности,институциональные/неформальные,Аналоги существуют
19,Кодирование медиасигналов,Нет,значения,принцип интердисциплинарности,индивидуальные/коллективные,Аналоги существуют
20,Критика медиатеории,Условно,память/наследие,принцип модальности,мгновенные/постепенные,Аналоги существуют
21,Анализ медиакомпетентности,Условно,идентичность/границы,принцип устойчивости,мгновенные/постепенные,Уникальный
22,Определение канала коммуникации,Нет,идентичность/границы,принцип конвергенции,цикличные/каскадные,Аналоги существуют
23,Выделение медиатекстов,Условно,отношения,принцип критического анализа,институциональные/неформальные,Уникальный
24,Изучение медиаморфоза,Нет,экономика/обмен,принцип обратной связи,явные/латентные,Аналоги существуют
25,Интерпретация месседжа,Нет,значения,принцип эволюции,необходимые/возможные,Уникальный
26,Определение референта,Да,технология/инфраструктура,принцип эволюции,мгновенные/постепенные,Аналоги существуют
27,Разбор знаковых систем,Да,содержание,принцип устойчивости,явные/латентные,Аналоги существуют
28,Составление медиатопики,Нет,технология/инфраструктура,принцип этики,мгновенные/постепенные,Аналоги существуют
29,Уточнение роли аудитории,Нет,нормы,принцип эволюции,цикличные/каскадные,Уникальный
30,Сравнение медиаплатформ,Да,поведение,принцип интердисциплинарности,явные/латентные,Уникальный
31,Анализ медиаэкономики,Условно,отношения,принцип модальности,эндогенные/экзогенные,Уникальный
32,Изучение идеологии в медиа,Нет,содержание,принцип системности,индивидуальные/коллективные,Уникальный
33,Определение политической экономии медиа,Нет,нормы,принцип целостности,мгновенные/постепенные,Аналоги существуют
34,Оценка медийного воздействия,Да,технология/инфраструктура,принцип целостности,мгновенные/постепенные,Аналоги существуют
35,Изучение культурных кодов,Да,функция,принцип конвергенции,необходимые/возможные,Уникальный
36,Анализ массовой коммуникации,Нет,дискурс,принцип устойчивости,индивидуальные/коллективные,Уникальный
37,Исследование гибридных медиа,Нет,время/ритм,принцип обратной связи,институциональные/неформальные,Уникальный
38,Определение медиаграмматики,Условно,идентичность/границы,принцип устойчивости,эндогенные/экзогенные,Аналоги существуют
39,Моделирование медиасреды,Да,время/ритм,принцип медиатеории,дискретные/континуальные,Аналоги существуют
40,Оценка медиа как технологии,Условно,идентичность/границы,принцип эволюции,цикличные/каскадные,Аналоги существуют
41,Обобщение медиатеорий,Условно,дискурс,принцип медиатеории,эндогенные/экзогенные,Уникальный
42,Идентификация медиа-парадигм,Условно,структура,принцип критического анализа,индивидуальные/коллективные,Уникальный
43,Анализ медиа как социальных институтов,Да,отношения,принцип модальности,индивидуальные/коллективные,Уникальный
44,Разработка теории медийных эффектов,Да,экономика/обмен,принцип взаимозависимости,цикличные/каскадные,Уникальный
45,Исследование медиатизации общества,Нет,идентичность/границы,принцип этики,мгновенные/постепенные,Уникальный
46,Изучение взаимосвязей СМИ и общества,Нет,идентичность/границы,принцип критического анализа,институциональные/неформальные,Аналоги существуют
47,Оценка динамики медиарассказов,Нет,значения,принцип модальности,индивидуальные/коллективные,Аналоги существуют
48,Определение категорий содержания,Условно,содержание,принцип конвергенции,институциональные/неформальные,Уникальный
49,Трансляция медиа моделей,Условно,поведение,принцип целостности,институциональные/неформальные,Уникальный
