№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Декодирование визуального сообщения,Да,состояние,принцип конвергенции,цикличные/каскадные,Уникальный
2,Анализ иконографии,Да,время/ритм,принцип обратной связи,институциональные/неформальные,Уникальный
3,Изучение зрительных привычек,Да,технология/инфраструктура,принцип целостности,цикличные/каскадные,Аналоги существуют
4,Интерпретация культурных образов,Нет,технология/инфраструктура,принцип обратной связи,мгновенные/постепенные,Аналоги существуют
5,Идентификация визуальных кодов,Да,дискурс,принцип обратной связи,явные/латентные,Аналоги существуют
6,Определение композиции,Условно,значения,принцип конвергенции,институциональные/неформальные,Уникальный
7,Исследование дизайна,Условно,значения,принцип медиатеории,дискретные/континуальные,Уникальный
8,Анализ инфографики,Да,институты,принцип этики,необходимые/возможные,Уникальный
9,Исследование визуальных нарративов,Да,дискурс,принцип модальности,явные/латентные,Аналоги существуют
10,Визуализация данных,Да,дискурс,принцип конвергенции,мгновенные/постепенные,Уникальный
11,Изучение цветовой символики,Нет,тело/материя,принцип целостности,эндогенные/экзогенные,Уникальный
12,Определение роли фотографии,Да,нормы,принцип модальности,цикличные/каскадные,Аналоги существуют
13,Изучение кинематографического кадра,Условно,дискурс,принцип адаптации,дискретные/континуальные,Уникальный
14,Сравнение стилевых направлений,Да,поведение,принцип системности,дискретные/континуальные,Уникальный
15,Анализ рекламных изображений,Нет,функция,принцип медиатеории,эндогенные/экзогенные,Аналоги существуют
16,Исследование мемов,Условно,значения,принцип устойчивости,институциональные/неформальные,Уникальный
17,Определение визуального шума,Да,содержание,принцип устойчивости,институциональные/неформальные,Уникальный
18,Анализ комиксов,Нет,пространство,принцип эволюции,дискретные/континуальные,Уникальный
19,Определение масштабирования,Нет,поведение,принцип адаптации,дискретные/континуальные,Аналоги существуют
20,Изучение визуальных метафор,Нет,символы,принцип системности,дискретные/континуальные,Аналоги существуют
21,Исследование эстетических норм,Да,экономика/обмен,принцип медиатеории,необходимые/возможные,Уникальный
22,Определение визуального жанра,Нет,идентичность/границы,принцип эволюции,индивидуальные/коллективные,Уникальный
23,Анализ культурных стереотипов,Да,идентичность/границы,принцип интердисциплинарности,необходимые/возможные,Уникальный
24,Изучение интерфейсов,Условно,символы,принцип эволюции,эндогенные/экзогенные,Аналоги существуют
25,Определение точек зрителя,Да,тело/материя,принцип взаимозависимости,эндогенные/экзогенные,Аналоги существуют
26,Исследование нелинейных повествований,Условно,поведение,принцип конвергенции,индивидуальные/коллективные,Уникальный
27,Анализ визуальной риторики,Нет,экономика/обмен,принцип этики,мгновенные/постепенные,Аналоги существуют
28,Определение зрительского ожидания,Да,память/наследие,принцип этики,цикличные/каскадные,Аналоги существуют
29,Исследование карикатур,Условно,содержание,принцип устойчивости,индивидуальные/коллективные,Аналоги существуют
30,Анализ пользовательских визуальных практик,Условно,содержание,принцип обратной связи,мгновенные/постепенные,Аналоги существуют
31,Определение роли жестов,Условно,отношения,принцип системности,мгновенные/постепенные,Уникальный
32,Изучение символов,Нет,отношения,принцип интердисциплинарности,индивидуальные/коллективные,Уникальный
33,Изучение визуальных идей,Да,структура,принцип модальности,цикличные/каскадные,Аналоги существуют
34,Исследование арт-производства,Нет,структура,принцип модальности,индивидуальные/коллективные,Аналоги существуют
35,Определение визуальных аффектов,Условно,дискурс,принцип медиатеории,дискретные/континуальные,Уникальный
36,Анализ граффити,Да,идентичность/границы,принцип этики,явные/латентные,Аналоги существуют
37,Изучение поствизуальности,Условно,значения,принцип обратной связи,институциональные/неформальные,Уникальный
38,Определение картографии,Условно,нормы,принцип конвергенции,эндогенные/экзогенные,Уникальный
39,Исследование абстракции,Да,дискурс,принцип эволюции,индивидуальные/коллективные,Уникальный
40,Анализ архитектурной визуализации,Условно,функция,принцип критического анализа,дискретные/континуальные,Уникальный
41,Разбор культурных ландшафтов,Нет,значения,принцип критического анализа,мгновенные/постепенные,Аналоги существуют
42,Определение визуального поля,Условно,технология/инфраструктура,принцип адаптации,индивидуальные/коллективные,Уникальный
43,Анализ шрифтов,Нет,идентичность/границы,принцип медиатеории,индивидуальные/коллективные,Аналоги существуют
44,Исследование визуального потребления,Да,нормы,принцип критического анализа,мгновенные/постепенные,Аналоги существуют
45,Определение визуальной грамотности,Нет,символы,принцип эволюции,институциональные/неформальные,Аналоги существуют
46,Анализ видеоигр как визуальной культуры,Условно,пространство,принцип медиатеории,явные/латентные,Уникальный
47,Исследование визуальной пропаганды,Нет,символы,принцип устойчивости,необходимые/возможные,Уникальный
48,Сбор визуальных данных,Условно,институты,принцип обратной связи,необходимые/возможные,Аналоги существуют
