№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Формулирование гипотезы,Да,"содержание; структура; дискурс","выдвижение проверяемого предположения","возможные; постепенно; индивидуальные","наука"
2,Операционализация понятий,Да,"структура; содержание; дискурс","перевод абстрактного в измеримое","возможные; постепенно; коллективные","методология"
3,Аргумент через цитирование,Да,"память; дискурс","ссылка на источник усиливает довод","возможные; мгновенные; коллективные","наука"
4,Аргумент через статистику,Да,"содержание; дискурс","числовые данные как довод","возможные; мгновенные; коллективные","социология; наука"
5,Аргумент через эксперимент,Да,"содержание; дискурс","экспериментальные данные убеждают","возможные; постепенно; коллективные","естественные науки"
6,Аргумент через репликацию,Да,"содержание; дискурс","повтор эксперимента усиливает достоверность","возможные; постепенно; коллективные","наука"
7,Аргумент через систематический обзор,Да,"содержание; память; дискурс","сумма исследований усиливает вывод","возможные; постепенно; коллективные","evidence-based"
8,Аргумент через мета-анализ,Да,"структура; содержание; дискурс","объединение статистик усиливает довод","возможные; постепенно; коллективные","evidence-based"
9,Аргумент через теорию,Да,"структура; содержание; дискурс","теоретическая рамка усиливает довод","возможные; постепенно; коллективные","наука"
10,Аргумент через модель,Да,"структура; содержание; дискурс","модель упрощает и убеждает","возможные; мгновенные; коллективные","наука; инженерия"
11,Аргумент через график,Да,"структура; символы; дискурс","визуализация данных усиливает вывод","возможные; мгновенные; коллективные","data viz"
12,Аргумент через таблицу,Да,"структура; символы; дискурс","систематизация данных усиливает","возможные; мгновенные; коллективные","наука"
13,Аргумент через диаграмму,Да,"структура; символы; дискурс","схема связей усиливает довод","возможные; мгновенные; коллективные","наука"
14,Аргумент через карту знаний,Да,"структура; символы; дискурс","mind-map усиливает восприятие","возможные; мгновенные; коллективные","образование"
15,Аргумент через footnote,Да,"структура; память; дискурс","сноска усиливает доверие","возможные; мгновенные; коллективные","академическая культура"
16,Аргумент через peer review,Условно,"нормы; институты; дискурс","рецензирование усиливает легитимность","возможные; постепенно; коллективные","наука"
17,Аргумент через индекс цитируемости,Условно,"память; институты; дискурс","частота цитирования как довод","возможные; постепенно; коллективные","академическая культура"
18,Аргумент через h-index,Условно,"память; институты; дискурс","индекс продуктивности как довод","возможные; постепенно; коллективные","академическая культура"
19,Аргумент через импакт-фактор,Условно,"память; институты; дискурс","репутация журнала как довод","возможные; постепенно; коллективные","академическая культура"
20,Аргумент через грант,Условно,"экономика; институты; дискурс","финансирование как легитимация","возможные; постепенно; коллективные","наука; политика"
21,Аргумент через академическую позицию,Условно,"идентичность; институты; дискурс","звёздность профессора как довод","возможные; мгновенные; коллективные","академическая культура"
22,Аргумент через кафедру/университет,Условно,"институты; идентичность; дискурс","бренд университета как довод","возможные; мгновенные; коллективные","академическая культура"
23,Аргумент через лабораторию,Условно,"институты; идентичность; дискурс","репутация лаборатории как довод","возможные; мгновенные; коллективные","наука"
24,Аргумент через конференцию,Условно,"институты; дискурс","публичное представление усиливает","возможные; мгновенные; коллективные","академическая культура"
25,Аргумент через post-peer review,Условно,"институты; дискурс","открытые комментарии усиливают","возможные; постепенно; коллективные","open science"
26,Аргумент через preprint,Условно,"институты; дискурс","быстрая публикация усиливает","возможные; мгновенные; коллективные","open science"
27,Аргумент через открытые данные,Да,"содержание; дискурс","доступные данные усиливают довод","возможные; мгновенные; коллективные","open science"
28,Аргумент через репозиторий,Да,"содержание; институты; дискурс","наличие в базе усиливает доверие","возможные; мгновенные; коллективные","open science"
29,Аргумент через open access,Да,"нормы; институты; дискурс","свободный доступ усиливает","возможные; мгновенные; коллективные","open science"
30,Аргумент через negative results,Да,"содержание; дискурс","отрицательные результаты как довод","возможные; постепенно; коллективные","наука"
31,Аргумент через case study,Да,"содержание; структура; дискурс","разбор единичного случая как довод","возможные; постепенно; коллективные","соцгуманитарные науки"
32,Аргумент через ethnography,Да,"содержание; структура; дискурс","погружение как довод","возможные; постепенно; коллективные","антропология; социология"
33,Аргумент через field work,Да,"содержание; структура; дискурс","полевое исследование как довод","возможные; постепенно; коллективные","соцгуманитарные науки"
34,Аргумент через архивацию,Да,"память; дискурс","архив как довод","возможные; постепенно; коллективные","история"
35,Аргумент через текстологию,Да,"структура; дискурс","анализ текста усиливает","возможные; постепенно; коллективные","филология"
36,Аргумент через hermeneutics,Да,"структура; дискурс","толкование текста как довод","возможные; постепенно; коллективные","гуманитарные науки"
37,Аргумент через критику источников,Да,"структура; дискурс","разбор происхождения усиливает","возможные; постепенно; коллективные","история"
38,Аргумент через контент-анализ,Да,"структура; дискурс","количественный анализ текста как довод","возможные; постепенно; коллективные","медиа-исследования"
39,Аргумент через дискурс-анализ,Да,"структура; дискурс","анализ дискурса как довод","возможные; постепенно; коллективные","лингвистика; философия"
40,Аргумент через сравнительный метод,Да,"структура; дискурс","сравнение объектов усиливает довод","возможные; постепенно; коллективные","соцгуманитарные науки"
41,Аргумент через исторический метод,Да,"структура; дискурс","историческая перспектива как довод","возможные; постепенно; коллективные","история"
42,Аргумент через статистическое моделирование,Да,"структура; дискурс","моделирование усиливает","возможные; постепенно; коллективные","наука; экономика"
43,Аргумент через machine learning,Да,"технология; дискурс","алгоритм усиливает довод","возможные; постепенно; коллективные","data science"
44,Аргумент через симуляцию,Да,"структура; технология; дискурс","компьютерное моделирование как довод","возможные; постепенно; коллективные","наука"
45,Аргумент через thought experiment,Да,"содержание; дискурс","мысленный эксперимент убеждает","возможные; мгновенные; индивидуальные","философия"
46,Аргумент через reductio ad absurdum,Да,"структура; дискурс","доведение до абсурда усиливает","возможные; мгновенные; коллективные","логика"
47,Аргумент через контрпример,Да,"структура; дискурс","единичный случай разрушает довод","возможные; мгновенные; коллективные","логика"
48,Аргумент через доказательство,Да,"структура; дискурс","строгая демонстрация как довод","возможные; постепенно; коллективные","математика"
49,Аргумент через аксиому,Нет,"нормы; структура; дискурс","самоочевидное положение как довод","необходимые; мгновенные; коллективные","математика"
50,Аргумент через теорему,Да,"структура; дискурс","строгое следствие усиливает довод","возможные; мгновенные; коллективные","математика"
51,Аргумент через лемму,Да,"структура; дискурс","промежуточное доказательство","возможные; мгновенные; коллективные","математика"
52,Аргумент через аксиоматику,Да,"структура; дискурс","система аксиом усиливает","возможные; постепенно; коллективные","математика"
53,Аргумент через дефиницию,Да,"структура; дискурс","чёткое определение усиливает довод","возможные; мгновенные; коллективные","логика; наука"
54,Аргумент через классификацию,Да,"структура; дискурс","систематизация усиливает довод","возможные; постепенно; коллективные","наука"
55,Аргумент через типологию,Да,"структура; дискурс","типизация как довод","возможные; постепенно; коллективные","гуманитарные науки"
56,Аргумент через шкалу,Да,"структура; дискурс","градуировка усиливает","возможные; мгновенные; коллективные","социология; психология"
57,Аргумент через индекс,Да,"структура; дискурс","числовой показатель как довод","возможные; мгновенные; коллективные","социология; экономика"
58,Аргумент через корреляцию,Да,"структура; дискурс","связь переменных как довод","возможные; мгновенные; коллективные","статистика"
59,Аргумент через каузальность,Условно,"структура; дискурс","причинная связь как довод","возможные; постепенно; коллективные","статистика; наука"
60,Аргумент через контроль переменных,Да,"структура; дискурс","исключение факторов усиливает довод","возможные; постепенно; коллективные","эксперимент"
61,Аргумент через валидность,Да,"нормы; структура; дискурс","валидное измерение усиливает довод","возможные; постепенно; коллективные","методология"
62,Аргумент через надёжность,Да,"нормы; структура; дискурс","повторяемость результатов как довод","возможные; постепенно; коллективные","методология"
63,Аргумент через репрезентативность,Да,"нормы; структура; дискурс","соответствие выборки усиливает вывод","возможные; постепенно; коллективные","социология; статистика"
64,Аргумент через выборку,Да,"структура; дискурс","объём и метод выборки как довод","возможные; постепенно; коллективные","наука"
65,Аргумент через рандомизацию,Да,"структура; дискурс","случайность усиливает достоверность","возможные; мгновенные; коллективные","эксперимент"
66,Аргумент через контрольную группу,Да,"структура; дискурс","сравнение с группой без воздействия","возможные; постепенно; коллективные","эксперимент"
67,Аргумент через плацебо,Да,"структура; дискурс","имитация воздействия как довод","возможные; постепенно; коллективные","медицина; психология"
68,Аргумент через двойное слепое исследование,Да,"структура; дискурс","ни исследователь, ни участник не знают","возможные; постепенно; коллективные","медицина"
69,Аргумент через рандомизированное контролируемое испытание (RCT),Да,"структура; дискурс","золотой стандарт эксперимента","возможные; постепенно; коллективные","медицина"
70,Аргумент через квазиэксперимент,Да,"структура; дискурс","частичный контроль как довод","возможные; постепенно; коллективные","соцгуманитарные науки"
71,Аргумент через лонгитюдное исследование,Да,"время; структура; дискурс","длительное наблюдение как довод","возможные; постепенно; коллективные","социология; психология"
72,Аргумент через панельное исследование,Да,"время; структура; дискурс","повторные замеры на одной выборке","возможные; постепенно; коллективные","социология"
73,Аргумент через cross-sectional исследование,Да,"структура; дискурс","срез данных усиливает вывод","возможные; мгновенные; коллективные","социология"
74,Аргумент через mixed-methods,Да,"структура; дискурс","комбинация количественных и качественных методов","возможные; постепенно; коллективные","методология"
75,Аргумент через triangulation,Да,"структура; дискурс","несколько методов усиливают вывод","возможные; постепенно; коллективные","методология"
76,Аргумент через validity check,Да,"структура; дискурс","дополнительные проверки усиливают","возможные; мгновенные; коллективные","методология"
77,Аргумент через reliability check,Да,"структура; дискурс","проверка повторяемости","возможные; мгновенные; коллективные","методология"
78,Аргумент через peer comparison,Да,"идентичность; дискурс","сравнение с коллегами усиливает довод","возможные; мгновенные; коллективные","академическая культура"
79,Аргумент через benchmarking,Да,"структура; дискурс","сравнение со стандартами усиливает","возможные; мгновенные; коллективные","образование; наука"
80,Аргумент через best practices,Да,"структура; дискурс","лучшая практика как довод","возможные; постепенно; коллективные","образование; менеджмент"
81,Аргумент через case comparison,Да,"структура; дискурс","сравнение случаев усиливает","возможные; постепенно; коллективные","социология; право"
82,Аргумент через интердисциплинарность,Да,"структура; дискурс","привлечение разных наук усиливает","возможные; постепенно; коллективные","академическая культура"
83,Аргумент через мультидисциплинарность,Да,"структура; дискурс","сосуществование дисциплин усиливает довод","возможные; постепенно; коллективные","академическая культура"
84,Аргумент через трансдисциплинарность,Да,"структура; дискурс","выход за границы дисциплин усиливает","возможные; постепенно; коллективные","академическая культура"
85,Аргумент через парадигму,Условно,"структура; дискурс","парадигма как рамка убеждает","возможные; постепенно; коллективные","философия науки"
86,Аргумент через смену парадигмы,Нет,"структура; дискурс","смена подрывает старые доводы","необходимые; постепенно; коллективные","философия науки"
87,Аргумент через программу исследования,Да,"структура; дискурс","программа как рамка убеждает","возможные; постепенно; коллективные","философия науки"
88,Аргумент через научную школу,Условно,"идентичность; институты; дискурс","школа усиливает довод","возможные; постепенно; коллективные","академическая культура"
89,Аргумент через цитатный круг,Условно,"память; институты; дискурс","взаимное цитирование как довод","возможные; постепенно; коллективные","академическая культура"
90,Аргумент через индекс журналов,Условно,"память; институты; дискурс","журнальный индекс усиливает довод","возможные; постепенно; коллективные","академическая культура"
91,Аргумент через репутацию редактора,Условно,"идентичность; институты; дискурс","фигура редактора как довод","возможные; мгновенные; коллективные","академическая культура"
92,Аргумент через академическое сообщество,Условно,"идентичность; институты; дискурс","сообщество подтверждает довод","возможные; постепенно; коллективные","академическая культура"
93,Аргумент через open peer commentary,Условно,"институты; дискурс","публичные комментарии усиливают довод","возможные; постепенно; коллективные","open science"
94,Аргумент через грантовое агентство,Условно,"экономика; институты; дискурс","финансирование как довод","возможные; постепенно; коллективные","академическая культура"
95,Аргумент через аккредитацию,Условно,"нормы; институты; дискурс","аккредитация усиливает довод","возможные; постепенно; коллективные","образование"
96,Аргумент через рейтинг,Условно,"память; институты; дискурс","место в рейтинге усиливает довод","возможные; постепенно; коллективные","академическая культура"
97,Аргумент через QS ranking,Условно,"память; институты; дискурс","международный рейтинг как довод","возможные; постепенно; коллективные","академическая культура"
98,Аргумент через Times Higher Education ranking,Условно,"память; институты; дискурс","позиция в THE как довод","возможные; постепенно; коллективные","академическая культура"
99,Аргумент через Shanghai ranking,Условно,"память; институты; дискурс","позиция в ARWU как довод","возможные; постепенно; коллективные","академическая культура"
100,Аргумент через внутренние университетские рейтинги,Условно,"память; институты; дискурс","локальные позиции как довод","возможные; постепенно; коллективные","академическая культура"
101,Аргумент через диплом,Условно,"идентичность; институты; дискурс","наличие степени усиливает довод","возможные; мгновенные; коллективные","академическая культура"
102,Аргумент через степень,Условно,"идентичность; институты; дискурс","PhD/Dr усиливает авторитет","возможные; мгновенные; коллективные","академическая культура"
103,Аргумент через honorary degree,Условно,"идентичность; институты; дискурс","почётная степень как довод","возможные; мгновенные; коллективные","академическая культура"
104,Аргумент через рецензирование учебников,Условно,"институты; дискурс","учебник как авторитетный довод","возможные; постепенно; коллективные","образование"
105,Аргумент через учебный план,Условно,"структура; институты; дискурс","включение темы в программу усиливает довод","возможные; постепенно; коллективные","образование"
106,Аргумент через экзамен,Условно,"нормы; институты; дискурс","экзамен подтверждает знание","возможные; мгновенные; коллективные","образование"
107,Аргумент через зачёт,Условно,"нормы; институты; дискурс","зачёт как довод","возможные; мгновенные; коллективные","образование"
108,Аргумент через дипломную работу,Условно,"содержание; институты; дискурс","диплом как довод","возможные; постепенно; коллективные","образование"
109,Аргумент через диссертацию,Условно,"содержание; институты; дискурс","диссертация как довод","возможные; постепенно; коллективные","академическая культура"
110,Аргумент через защиту диссертации,Условно,"институты; дискурс","публичная защита усиливает","возможные; мгновенные; коллективные","академическая культура"
111,Аргумент через оппонента,Условно,"идентичность; дискурс","оппонент усиливает довод","возможные; мгновенные; коллективные","академическая культура"
112,Аргумент через учёного совета,Условно,"институты; дискурс","коллективное решение как довод","возможные; мгновенные; коллективные","академическая культура"
113,Аргумент через habilitation,Условно,"институты; дискурс","вторая докторская как довод","возможные; постепенно; коллективные","европейская академическая культура"
114,Аргумент через tenure,Условно,"институты; дискурс","пожизненный контракт как довод","возможные; постепенно; коллективные","академическая культура"
115,Аргумент через кафедральное голосование,Условно,"институты; дискурс","голосование кафедры усиливает довод","возможные; мгновенные; коллективные","академическая культура"
116,Аргумент через грантовую заявку,Условно,"содержание; экономика; дискурс","заявка как довод","возможные; мгновенные; коллективные","академическая культура"
117,Аргумент через исследовательский проект,Условно,"содержание; дискурс","проект как довод","возможные; постепенно; коллективные","академическая культура"
118,Аргумент через рабочую гипотезу,Да,"содержание; дискурс","рабочая версия усиливает","возможные; мгновенные; коллективные","методология"
119,Аргумент через рабочий конспект,Да,"структура; дискурс","конспект как довод","возможные; мгновенные; индивидуальные","образование"
120,Аргумент через лекцию,Условно,"структура; дискурс","лекция как довод","возможные; мгновенные; коллективные","образование"
121,Аргумент через семинар,Условно,"структура; дискурс","обсуждение усиливает довод","возможные; мгновенные; коллективные","образование"
122,Аргумент через коллоквиум,Условно,"структура; дискурс","научное собрание как довод","возможные; мгновенные; коллективные","академическая культура"
123,Аргумент через workshop,Условно,"структура; дискурс","практическая работа как довод","возможные; мгновенные; коллективные","образование"
124,Аргумент через summer school,Условно,"структура; дискурс","летняя школа как довод","возможные; постепенно; коллективные","академическая культура"
125,Аргумент через лекцию-провокацию,Условно,"структура; дискурс","провокационная подача как довод","возможные; мгновенные; коллективные","образование"
126,Аргумент через публичную лекцию,Условно,"структура; дискурс","открытое выступление усиливает доверие","возможные; мгновенные; коллективные","академическая культура"
127,Аргумент через keynote,Условно,"идентичность; дискурс","ключевой доклад как довод","возможные; мгновенные; коллективные","академическая культура"
128,Аргумент через постер-сессию,Условно,"символы; дискурс","визуальная демонстрация усиливает","возможные; мгновенные; коллективные","академическая культура"
