№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,датировка закона,Да,содержание,принцип верховенства права,мгновенные/постепенные,без аналогов
2,реконструкция правовой доктрины,Условно,память/наследие,принцип пропорциональности,дискретные/континуальные,уникальный
3,контекстуализация юридической профессии,Нет,содержание,принцип пропорциональности,институциональные/неформальные,аналогичный процесс
4,датировка правовой кодексы,Да,технология/инфраструктура,принцип законности,дискретные/континуальные,без аналогов
5,контекстуализация догматической школы,Да,технология/инфраструктура,принцип законности,цикличные/каскадные,без аналогов
6,контекстуализация догматической школы,Нет,структура,принцип суверенитета,явные/латентные,имеет аналоги
7,документирование догматической школы,Условно,функция,принцип транспарентности,институциональные/неформальные,собственный
8,описание догматической школы,Нет,поведение,принцип гласности,явные/латентные,гибридный
9,реконструкция юридической профессии,Да,пространство,принцип эффективности,необходимые/возможные,имеет аналоги
10,контекстуализация правовой кодексы,Да,содержание,принцип суверенитета,явные/латентные,без аналогов
11,интерпретация юридической профессии,Да,функция,принцип сотрудничества,явные/латентные,без аналогов
12,документирование догматической школы,Нет,экономика/обмен,принцип гуманизма,явные/латентные,собственный
13,датировка закона,Да,функция,принцип сотрудничества,дискретные/континуальные,аналогичный процесс
14,документирование конституции,Нет,экономика/обмен,принцип гласности,эндогенные/экзогенные,уникальный
15,классификация правовой доктрины,Нет,институты,принцип сотрудничества,индивидуальные/коллективные,собственный
16,контекстуализация судебной реформы,Условно,отношения,принцип справедливости,мгновенные/постепенные,без аналогов
17,описание обычного права,Нет,отношения,принцип автономии,цикличные/каскадные,собственный
18,документирование правовой кодексы,Да,время/ритм,принцип равенства,явные/латентные,имеет аналоги
19,интерпретация правовой кодексы,Да,экономика/обмен,принцип справедливости,явные/латентные,имеет аналоги
20,исследование прецедента,Условно,функция,принцип сотрудничества,необходимые/возможные,уникальный
21,контекстуализация закона,Условно,структура,принцип верховенства права,эндогенные/экзогенные,аналогичный процесс
22,исследование судебной реформы,Нет,технология/инфраструктура,принцип суверенитета,мгновенные/постепенные,без аналогов
23,классификация правового института,Условно,содержание,принцип равенства,явные/латентные,уникальный
24,исследование судебной реформы,Да,пространство,принцип гуманизма,необходимые/возможные,аналогичный процесс
25,описание обычного права,Условно,содержание,принцип эффективности,цикличные/каскадные,гибридный
26,сравнение закона,Условно,отношения,принцип гласности,мгновенные/постепенные,аналогичный процесс
27,реконструкция обычного права,Условно,тело/материя,принцип справедливости,цикличные/каскадные,имеет аналоги
28,контекстуализация конституции,Да,поведение,принцип справедливости,дискретные/континуальные,аналогичный процесс
29,сравнение догматической школы,Нет,нормы,принцип суверенитета,институциональные/неформальные,собственный
30,анализ закона,Нет,значения,принцип транспарентности,цикличные/каскадные,собственный
31,реконструкция правовой доктрины,Да,поведение,принцип равенства,институциональные/неформальные,гибридный
32,документирование конституции,Условно,символы,принцип законности,дискретные/континуальные,собственный
33,реконструкция конституции,Нет,нормы,принцип гуманизма,эндогенные/экзогенные,гибридный
34,документирование правовой кодексы,Нет,идентичность/границы,принцип справедливости,индивидуальные/коллективные,без аналогов
35,сравнение обычного права,Нет,дискурс,принцип гуманизма,необходимые/возможные,уникальный
36,сравнение правовой кодексы,Да,институты,принцип гуманизма,дискретные/континуальные,собственный
37,контекстуализация закона,Нет,значения,принцип сотрудничества,цикличные/каскадные,собственный
38,интерпретация закона,Да,дискурс,принцип пропорциональности,индивидуальные/коллективные,собственный
39,описание правовой кодексы,Нет,функция,принцип верховенства права,дискретные/континуальные,уникальный
40,анализ судебной реформы,Нет,технология/инфраструктура,принцип суверенитета,эндогенные/экзогенные,гибридный
41,описание правового института,Нет,состояние,принцип равенства,необходимые/возможные,собственный
42,документирование судебной реформы,Нет,состояние,принцип законности,цикличные/каскадные,собственный
43,анализ догматической школы,Да,символы,принцип справедливости,явные/латентные,аналогичный процесс
44,описание обычного права,Нет,дискурс,принцип равенства,эндогенные/экзогенные,уникальный
45,классификация судебной реформы,Условно,время/ритм,принцип суверенитета,индивидуальные/коллективные,аналогичный процесс
46,сравнение конституции,Да,память/наследие,принцип законности,явные/латентные,собственный
47,классификация прецедента,Да,идентичность/границы,принцип законности,явные/латентные,без аналогов
48,сравнение закона,Да,структура,принцип транспарентности,дискретные/континуальные,без аналогов
49,сравнение правовой доктрины,Условно,тело/материя,принцип верховенства права,индивидуальные/коллективные,гибридный
50,исследование правовой кодексы,Нет,пространство,принцип гласности,индивидуальные/коллективные,уникальный
