№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,верификация цифровой подписи,Нет,институты,принцип суверенитета,институциональные/неформальные,имеет аналоги
2,разработка искусственного интеллекта,Условно,технология/инфраструктура,принцип верховенства права,индивидуальные/коллективные,без аналогов
3,кодирование информационной системы,Да,поведение,принцип суверенитета,мгновенные/постепенные,гибридный
4,обновление электронного реестра,Нет,технология/инфраструктура,принцип транспарентности,эндогенные/экзогенные,уникальный
5,обновление информационной системы,Да,содержание,принцип автономии,дискретные/континуальные,без аналогов
6,верификация искусственного интеллекта,Да,память/наследие,принцип пропорциональности,необходимые/возможные,аналогичный процесс
7,интеграция информационной системы,Да,поведение,принцип справедливости,явные/латентные,имеет аналоги
8,анализ блокчейн-структуры,Нет,отношения,принцип эффективности,явные/латентные,без аналогов
9,разработка цифровой подписи,Условно,пространство,принцип справедливости,институциональные/неформальные,имеет аналоги
10,оптимизация алгоритма,Нет,время/ритм,принцип пропорциональности,необходимые/возможные,собственный
11,кодирование блокчейн-структуры,Нет,функция,принцип равенства,цикличные/каскадные,уникальный
12,верификация цифровой подписи,Условно,институты,принцип эффективности,явные/латентные,собственный
13,автоматизация правовой базы данных,Да,значения,принцип пропорциональности,институциональные/неформальные,имеет аналоги
14,оптимизация цифровой подписи,Да,память/наследие,принцип пропорциональности,цикличные/каскадные,уникальный
15,разработка правового классификатора,Нет,функция,принцип суверенитета,явные/латентные,уникальный
16,моделирование цифровой подписи,Нет,технология/инфраструктура,принцип законности,институциональные/неформальные,имеет аналоги
17,обновление цифровой подписи,Да,пространство,принцип пропорциональности,дискретные/континуальные,без аналогов
18,обновление алгоритма,Да,символы,принцип эффективности,явные/латентные,имеет аналоги
19,анализ правового классификатора,Условно,поведение,принцип равенства,институциональные/неформальные,без аналогов
20,обновление блокчейн-структуры,Условно,память/наследие,принцип гласности,необходимые/возможные,уникальный
21,интеграция электронного реестра,Да,содержание,принцип гласности,эндогенные/экзогенные,гибридный
22,анализ искусственного интеллекта,Условно,время/ритм,принцип сотрудничества,эндогенные/экзогенные,аналогичный процесс
23,анализ автоматизированного документа,Да,память/наследие,принцип гласности,цикличные/каскадные,уникальный
24,обновление автоматизированного документа,Да,тело/материя,принцип справедливости,эндогенные/экзогенные,собственный
25,моделирование алгоритма,Нет,символы,принцип пропорциональности,дискретные/континуальные,имеет аналоги
26,кодирование блокчейн-структуры,Да,поведение,принцип автономии,дискретные/континуальные,гибридный
27,кодирование искусственного интеллекта,Да,функция,принцип равенства,мгновенные/постепенные,без аналогов
28,интеграция электронного реестра,Условно,экономика/обмен,принцип верховенства права,институциональные/неформальные,аналогичный процесс
29,кодирование автоматизированного документа,Да,время/ритм,принцип суверенитета,необходимые/возможные,без аналогов
30,верификация искусственного интеллекта,Нет,поведение,принцип справедливости,дискретные/континуальные,аналогичный процесс
31,разработка цифровой подписи,Условно,отношения,принцип равенства,индивидуальные/коллективные,собственный
32,анализ облачного сервиса,Условно,идентичность/границы,принцип пропорциональности,дискретные/континуальные,аналогичный процесс
33,оптимизация правовой базы данных,Нет,символы,принцип сотрудничества,эндогенные/экзогенные,аналогичный процесс
34,анализ автоматизированного документа,Да,дискурс,принцип эффективности,индивидуальные/коллективные,гибридный
35,автоматизация блокчейн-структуры,Да,структура,принцип законности,явные/латентные,имеет аналоги
36,анализ информационной системы,Условно,содержание,принцип сотрудничества,необходимые/возможные,собственный
37,интеграция электронного реестра,Да,поведение,принцип автономии,эндогенные/экзогенные,собственный
38,верификация искусственного интеллекта,Условно,структура,принцип транспарентности,дискретные/континуальные,гибридный
39,автоматизация информационной системы,Условно,технология/инфраструктура,принцип гласности,явные/латентные,без аналогов
40,моделирование облачного сервиса,Условно,экономика/обмен,принцип пропорциональности,цикличные/каскадные,гибридный
41,анализ правовой базы данных,Нет,состояние,принцип сотрудничества,эндогенные/экзогенные,гибридный
42,интеграция алгоритма,Нет,экономика/обмен,принцип автономии,мгновенные/постепенные,без аналогов
43,моделирование информационной системы,Нет,время/ритм,принцип сотрудничества,цикличные/каскадные,гибридный
44,цифровизация облачного сервиса,Условно,отношения,принцип справедливости,мгновенные/постепенные,аналогичный процесс
45,автоматизация блокчейн-структуры,Нет,символы,принцип эффективности,дискретные/континуальные,собственный
46,автоматизация цифровой подписи,Нет,память/наследие,принцип верховенства права,явные/латентные,гибридный
47,интеграция цифровой подписи,Условно,функция,принцип транспарентности,эндогенные/экзогенные,уникальный
48,цифровизация правового классификатора,Нет,отношения,принцип автономии,эндогенные/экзогенные,собственный
49,интеграция облачного сервиса,Да,нормы,принцип верховенства права,цикличные/каскадные,имеет аналоги
50,разработка облачного сервиса,Да,дискурс,принцип сотрудничества,мгновенные/постепенные,без аналогов
