№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,изучение обычная,Нет,нормы,принцип гласности,необходимые/возможные,без аналогов
2,анализ правового символа,Да,дискурс,принцип законности,индивидуальные/коллективные,имеет аналоги
3,описание спора,Да,пространство,принцип верховенства права,эндогенные/экзогенные,аналогичный процесс
4,объяснение правовой культуры,Условно,пространство,принцип пропорциональности,дискретные/континуальные,без аналогов
5,классификация мировоззрения,Нет,состояние,принцип гласности,явные/латентные,собственный
6,наблюдение спора,Условно,структура,принцип гласности,необходимые/возможные,без аналогов
7,сбор данных обычного права,Условно,символы,принцип равенства,эндогенные/экзогенные,имеет аналоги
8,анализ обычного права,Нет,функция,принцип сотрудничества,индивидуальные/коллективные,аналогичный процесс
9,анализ правовой культуры,Да,тело/материя,принцип верховенства права,необходимые/возможные,без аналогов
10,анализ обычного права,Нет,значения,принцип справедливости,индивидуальные/коллективные,собственный
11,интерпретация обычная,Да,символы,принцип справедливости,мгновенные/постепенные,аналогичный процесс
12,изучение традиции,Нет,идентичность/границы,принцип транспарентности,дискретные/континуальные,без аналогов
13,документирование ритуала,Нет,память/наследие,принцип автономии,эндогенные/экзогенные,гибридный
14,изучение обычного права,Да,отношения,принцип верховенства права,явные/латентные,имеет аналоги
15,сбор данных правового символа,Да,память/наследие,принцип пропорциональности,мгновенные/постепенные,без аналогов
16,наблюдение социальной нормы,Условно,поведение,принцип пропорциональности,цикличные/каскадные,имеет аналоги
17,описание спора,Да,структура,принцип законности,дискретные/континуальные,собственный
18,описание спора,Условно,институты,принцип равенства,институциональные/неформальные,гибридный
19,классификация мировоззрения,Да,тело/материя,принцип верховенства права,дискретные/континуальные,без аналогов
20,классификация ритуала,Да,символы,принцип суверенитета,мгновенные/постепенные,собственный
21,классификация ритуала,Нет,пространство,принцип эффективности,индивидуальные/коллективные,собственный
22,изучение культурной практики,Нет,поведение,принцип суверенитета,дискретные/континуальные,без аналогов
23,объяснение спора,Условно,память/наследие,принцип законности,цикличные/каскадные,уникальный
24,документирование правового символа,Нет,символы,принцип автономии,индивидуальные/коллективные,собственный
25,интерпретация культурной практики,Да,пространство,принцип суверенитета,эндогенные/экзогенные,аналогичный процесс
26,документирование ритуала,Да,содержание,принцип гуманизма,цикличные/каскадные,собственный
27,объяснение социальной нормы,Да,идентичность/границы,принцип верховенства права,мгновенные/постепенные,имеет аналоги
28,сбор данных правового символа,Нет,символы,принцип законности,явные/латентные,уникальный
29,классификация традиции,Нет,содержание,принцип законности,цикличные/каскадные,имеет аналоги
30,сбор данных правового символа,Да,содержание,принцип сотрудничества,необходимые/возможные,имеет аналоги
31,сравнение социальной нормы,Условно,символы,принцип законности,необходимые/возможные,собственный
32,документирование традиции,Да,технология/инфраструктура,принцип гуманизма,необходимые/возможные,уникальный
33,анализ ритуала,Нет,идентичность/границы,принцип эффективности,явные/латентные,гибридный
34,сравнение правовой культуры,Нет,время/ритм,принцип пропорциональности,цикличные/каскадные,гибридный
35,сравнение ритуала,Нет,память/наследие,принцип верховенства права,явные/латентные,имеет аналоги
36,описание правового символа,Да,тело/материя,принцип транспарентности,институциональные/неформальные,собственный
37,интерпретация культурной практики,Да,тело/материя,принцип законности,институциональные/неформальные,без аналогов
38,сравнение обычного права,Условно,тело/материя,принцип гуманизма,индивидуальные/коллективные,аналогичный процесс
39,наблюдение культурной практики,Нет,символы,принцип транспарентности,необходимые/возможные,гибридный
40,наблюдение социальной нормы,Нет,структура,принцип суверенитета,эндогенные/экзогенные,без аналогов
41,наблюдение обычная,Да,память/наследие,принцип гуманизма,институциональные/неформальные,собственный
42,объяснение традиции,Нет,дискурс,принцип сотрудничества,эндогенные/экзогенные,уникальный
43,анализ традиции,Да,функция,принцип пропорциональности,институциональные/неформальные,без аналогов
44,наблюдение обычная,Условно,значения,принцип гласности,индивидуальные/коллективные,уникальный
45,описание традиции,Нет,идентичность/границы,принцип автономии,мгновенные/постепенные,аналогичный процесс
46,документирование спора,Нет,экономика/обмен,принцип суверенитета,явные/латентные,без аналогов
47,анализ культурной практики,Да,время/ритм,принцип гласности,необходимые/возможные,гибридный
48,сбор данных обычного права,Да,структура,принцип пропорциональности,индивидуальные/коллективные,уникальный
49,сбор данных спора,Условно,отношения,принцип автономии,эндогенные/экзогенные,гибридный
50,изучение спора,Да,отношения,принцип гуманизма,институциональные/неформальные,без аналогов
