№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,интерпретация поведения,Нет,значения,принцип транспарентности,эндогенные/экзогенные,аналогичный процесс
2,исследование социального контроля,Да,структура,принцип сотрудничества,институциональные/неформальные,уникальный
3,влияние статуса,Нет,состояние,принцип верховенства права,мгновенные/постепенные,гибридный
4,интерпретация социального контроля,Нет,пространство,принцип гласности,дискретные/континуальные,имеет аналоги
5,мониторинг поведения,Нет,поведение,принцип законности,мгновенные/постепенные,уникальный
6,интерпретация поведения,Да,содержание,принцип равенства,явные/латентные,без аналогов
7,анализ социального контроля,Условно,память/наследие,принцип справедливости,необходимые/возможные,аналогичный процесс
8,исследование правоприменения,Да,время/ритм,принцип гуманизма,эндогенные/экзогенные,уникальный
9,мониторинг правоотношения,Условно,значения,принцип пропорциональности,индивидуальные/коллективные,имеет аналоги
10,моделирование организации,Да,институты,принцип гуманизма,мгновенные/постепенные,без аналогов
11,исследование социальной практики,Нет,пространство,принцип автономии,институциональные/неформальные,гибридный
12,моделирование нормы,Условно,структура,принцип эффективности,эндогенные/экзогенные,гибридный
13,сравнение организации,Да,экономика/обмен,принцип справедливости,эндогенные/экзогенные,без аналогов
14,выявление правоприменения,Нет,технология/инфраструктура,принцип верховенства права,институциональные/неформальные,гибридный
15,анализ социальной функции,Нет,поведение,принцип верховенства права,эндогенные/экзогенные,имеет аналоги
16,исследование социального контроля,Да,структура,принцип пропорциональности,эндогенные/экзогенные,аналогичный процесс
17,моделирование социального контроля,Да,время/ритм,принцип транспарентности,цикличные/каскадные,собственный
18,влияние организации,Да,символы,принцип равенства,явные/латентные,имеет аналоги
19,измерение правового института,Да,функция,принцип законности,необходимые/возможные,собственный
20,сравнение правового института,Условно,отношения,принцип эффективности,цикличные/каскадные,собственный
21,выявление поведения,Нет,технология/инфраструктура,принцип справедливости,мгновенные/постепенные,без аналогов
22,сравнение организации,Условно,пространство,принцип автономии,дискретные/континуальные,собственный
23,измерение нормы,Условно,память/наследие,принцип автономии,мгновенные/постепенные,собственный
24,сравнение правоприменения,Да,символы,принцип справедливости,индивидуальные/коллективные,собственный
25,исследование нормы,Условно,тело/материя,принцип гуманизма,индивидуальные/коллективные,аналогичный процесс
26,исследование правоприменения,Да,дискурс,принцип гуманизма,мгновенные/постепенные,гибридный
27,обобщение поведения,Нет,время/ритм,принцип сотрудничества,мгновенные/постепенные,собственный
28,интерпретация статуса,Нет,дискурс,принцип автономии,мгновенные/постепенные,гибридный
29,моделирование социального контроля,Условно,структура,принцип транспарентности,мгновенные/постепенные,собственный
30,измерение организации,Да,дискурс,принцип гласности,явные/латентные,уникальный
31,интерпретация правоотношения,Нет,отношения,принцип гласности,институциональные/неформальные,без аналогов
32,влияние поведения,Да,пространство,принцип автономии,цикличные/каскадные,гибридный
33,измерение правоприменения,Нет,значения,принцип сотрудничества,цикличные/каскадные,имеет аналоги
34,мониторинг статуса,Условно,идентичность/границы,принцип верховенства права,индивидуальные/коллективные,собственный
35,мониторинг социального контроля,Нет,экономика/обмен,принцип автономии,индивидуальные/коллективные,уникальный
36,обобщение социальной функции,Да,память/наследие,принцип справедливости,явные/латентные,без аналогов
37,моделирование поведения,Условно,отношения,принцип законности,явные/латентные,собственный
38,моделирование социальной функции,Да,структура,принцип верховенства права,индивидуальные/коллективные,собственный
39,измерение поведения,Нет,значения,принцип гуманизма,цикличные/каскадные,аналогичный процесс
40,исследование статуса,Нет,тело/материя,принцип пропорциональности,дискретные/континуальные,аналогичный процесс
41,сравнение социального контроля,Нет,значения,принцип законности,эндогенные/экзогенные,без аналогов
42,исследование правоотношения,Да,отношения,принцип гласности,дискретные/континуальные,имеет аналоги
43,интерпретация нормы,Нет,тело/материя,принцип верховенства права,мгновенные/постепенные,имеет аналоги
44,измерение правоотношения,Нет,структура,принцип транспарентности,институциональные/неформальные,без аналогов
45,моделирование статуса,Да,содержание,принцип гласности,индивидуальные/коллективные,имеет аналоги
46,анализ социального контроля,Условно,технология/инфраструктура,принцип транспарентности,эндогенные/экзогенные,имеет аналоги
47,интерпретация нормы,Да,содержание,принцип автономии,мгновенные/постепенные,без аналогов
48,исследование нормы,Да,время/ритм,принцип автономии,мгновенные/постепенные,имеет аналоги
49,влияние организации,Нет,память/наследие,принцип эффективности,институциональные/неформальные,уникальный
50,моделирование правоприменения,Да,структура,принцип равенства,дискретные/континуальные,имеет аналоги
