№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,идентификация судебной практики,Нет,тело/материя,принцип равенства,мгновенные/постепенные,собственный
2,идентификация семьи права,Условно,структура,принцип эффективности,явные/латентные,собственный
3,идентификация договора,Нет,институты,принцип верховенства права,индивидуальные/коллективные,собственный
4,классификация семьи права,Условно,память/наследие,принцип эффективности,цикличные/каскадные,имеет аналоги
5,перенос правовой системы,Условно,отношения,принцип законности,дискретные/континуальные,имеет аналоги
6,классификация суда,Нет,состояние,принцип гласности,явные/латентные,собственный
7,обобщение семьи права,Нет,отношения,принцип автономии,индивидуальные/коллективные,собственный
8,классификация кодекса,Нет,тело/материя,принцип гуманизма,эндогенные/экзогенные,аналогичный процесс
9,анализ судебной практики,Нет,институты,принцип равенства,институциональные/неформальные,гибридный
10,идентификация суда,Условно,тело/материя,принцип пропорциональности,эндогенные/экзогенные,уникальный
11,выявление различий судебной практики,Нет,экономика/обмен,принцип равенства,цикличные/каскадные,без аналогов
12,классификация суда,Условно,значения,принцип суверенитета,институциональные/неформальные,без аналогов
13,сравнение суда,Да,отношения,принцип гласности,необходимые/возможные,уникальный
14,сравнение судебной практики,Да,тело/материя,принцип равенства,дискретные/континуальные,имеет аналоги
15,выявление различий института,Нет,тело/материя,принцип равенства,явные/латентные,гибридный
16,перенос института,Условно,содержание,принцип транспарентности,необходимые/возможные,имеет аналоги
17,классификация кодекса,Нет,дискурс,принцип транспарентности,индивидуальные/коллективные,уникальный
18,идентификация договора,Нет,пространство,принцип справедливости,цикличные/каскадные,без аналогов
19,обобщение процедуры,Нет,пространство,принцип равенства,индивидуальные/коллективные,уникальный
20,анализ суда,Нет,институты,принцип транспарентности,дискретные/континуальные,собственный
21,сравнение процедуры,Условно,идентичность/границы,принцип эффективности,мгновенные/постепенные,уникальный
22,перенос судебной практики,Да,символы,принцип транспарентности,дискретные/континуальные,уникальный
23,сопоставление кодекса,Нет,значения,принцип суверенитета,необходимые/возможные,имеет аналоги
24,сравнение процедуры,Нет,состояние,принцип верховенства права,эндогенные/экзогенные,без аналогов
25,анализ правовой системы,Условно,дискурс,принцип законности,эндогенные/экзогенные,аналогичный процесс
26,перенос правового принципа,Да,нормы,принцип верховенства права,эндогенные/экзогенные,уникальный
27,анализ суда,Да,идентичность/границы,принцип сотрудничества,мгновенные/постепенные,собственный
28,классификация процедуры,Нет,содержание,принцип транспарентности,мгновенные/постепенные,без аналогов
29,идентификация процедуры,Условно,содержание,принцип гуманизма,мгновенные/постепенные,аналогичный процесс
30,выделение сходств судебной практики,Условно,поведение,принцип автономии,необходимые/возможные,уникальный
31,выделение сходств процедуры,Да,содержание,принцип равенства,необходимые/возможные,без аналогов
32,выделение сходств судебной практики,Да,символы,принцип гуманизма,индивидуальные/коллективные,без аналогов
33,сравнение процедуры,Нет,дискурс,принцип гуманизма,институциональные/неформальные,имеет аналоги
34,заимствование процедуры,Да,структура,принцип равенства,необходимые/возможные,имеет аналоги
35,выявление различий правового принципа,Нет,дискурс,принцип законности,мгновенные/постепенные,гибридный
36,сравнение судебной практики,Да,пространство,принцип транспарентности,дискретные/континуальные,уникальный
37,перенос процедуры,Да,отношения,принцип равенства,необходимые/возможные,гибридный
38,обобщение судебной практики,Условно,значения,принцип суверенитета,институциональные/неформальные,без аналогов
39,выявление различий института,Условно,идентичность/границы,принцип автономии,мгновенные/постепенные,гибридный
40,выявление различий обычаев,Условно,значения,принцип транспарентности,институциональные/неформальные,уникальный
41,выявление различий суда,Условно,время/ритм,принцип гласности,дискретные/континуальные,уникальный
42,классификация института,Нет,отношения,принцип суверенитета,мгновенные/постепенные,аналогичный процесс
43,идентификация семьи права,Да,функция,принцип равенства,индивидуальные/коллективные,имеет аналоги
44,заимствование правового принципа,Условно,технология/инфраструктура,принцип гласности,мгновенные/постепенные,имеет аналоги
45,анализ правового принципа,Нет,идентичность/границы,принцип гуманизма,дискретные/континуальные,аналогичный процесс
46,выявление различий судебной практики,Условно,технология/инфраструктура,принцип гласности,явные/латентные,имеет аналоги
47,анализ правового принципа,Условно,экономика/обмен,принцип пропорциональности,необходимые/возможные,уникальный
48,выявление различий договора,Да,пространство,принцип сотрудничества,необходимые/возможные,уникальный
49,обобщение института,Да,идентичность/границы,принцип сотрудничества,необходимые/возможные,уникальный
50,заимствование процедуры,Да,поведение,принцип эффективности,необходимые/возможные,аналогичный процесс
