№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,систематизация термина,Условно,состояние,принцип транспарентности,цикличные/каскадные,уникальный
2,толкование аксиомы,Нет,символы,принцип эффективности,необходимые/возможные,собственный
3,обоснование правовой нормы,Да,нормы,принцип законности,мгновенные/постепенные,аналогичный процесс
4,формулирование категории,Да,нормы,принцип равенства,дискретные/континуальные,уникальный
5,систематизация категории,Условно,поведение,принцип гуманизма,мгновенные/постепенные,имеет аналоги
6,формулирование аксиомы,Условно,пространство,принцип автономии,мгновенные/постепенные,без аналогов
7,разработка категориального аппарата,Условно,нормы,принцип гласности,индивидуальные/коллективные,уникальный
8,разработка аксиомы,Условно,пространство,принцип справедливости,эндогенные/экзогенные,гибридный
9,толкование правовой идеи,Условно,идентичность/границы,принцип верховенства права,цикличные/каскадные,собственный
10,применение правовой нормы,Условно,время/ритм,принцип эффективности,институциональные/неформальные,аналогичный процесс
11,разработка правовой нормы,Нет,время/ритм,принцип эффективности,явные/латентные,без аналогов
12,классификация доктрины,Условно,нормы,принцип справедливости,цикличные/каскадные,имеет аналоги
13,толкование правовой идеи,Нет,память/наследие,принцип транспарентности,институциональные/неформальные,собственный
14,систематизация категориального аппарата,Условно,отношения,принцип гласности,эндогенные/экзогенные,аналогичный процесс
15,анализ принципа,Условно,память/наследие,принцип гуманизма,институциональные/неформальные,уникальный
16,сравнение принципа,Нет,значения,принцип гуманизма,явные/латентные,гибридный
17,анализ правовой концепции,Условно,экономика/обмен,принцип транспарентности,индивидуальные/коллективные,имеет аналоги
18,толкование правовой концепции,Да,пространство,принцип равенства,мгновенные/постепенные,гибридный
19,критику термина,Условно,технология/инфраструктура,принцип сотрудничества,необходимые/возможные,имеет аналоги
20,применение аксиомы,Нет,технология/инфраструктура,принцип верховенства права,дискретные/континуальные,уникальный
21,сравнение категориального аппарата,Нет,идентичность/границы,принцип гласности,цикличные/каскадные,имеет аналоги
22,анализ принципа,Нет,функция,принцип транспарентности,явные/латентные,имеет аналоги
23,систематизация принципа,Да,дискурс,принцип гласности,индивидуальные/коллективные,без аналогов
24,формулирование правовой концепции,Да,содержание,принцип автономии,необходимые/возможные,аналогичный процесс
25,критику правовой идеи,Нет,идентичность/границы,принцип верховенства права,индивидуальные/коллективные,уникальный
26,толкование правовой нормы,Условно,отношения,принцип верховенства права,дискретные/континуальные,уникальный
27,формулирование аксиомы,Нет,символы,принцип эффективности,необходимые/возможные,собственный
28,толкование логической структуры,Да,символы,принцип сотрудничества,эндогенные/экзогенные,имеет аналоги
29,обоснование принципа,Условно,отношения,принцип автономии,эндогенные/экзогенные,имеет аналоги
30,обоснование принципа,Условно,функция,принцип верховенства права,индивидуальные/коллективные,уникальный
31,разработка категориального аппарата,Нет,значения,принцип законности,мгновенные/постепенные,собственный
32,разработка правовой идеи,Условно,память/наследие,принцип сотрудничества,эндогенные/экзогенные,уникальный
33,обоснование логической структуры,Условно,пространство,принцип пропорциональности,мгновенные/постепенные,без аналогов
34,обоснование правовой нормы,Условно,тело/материя,принцип гласности,эндогенные/экзогенные,собственный
35,применение принципа,Да,структура,принцип сотрудничества,мгновенные/постепенные,без аналогов
36,применение правовой концепции,Нет,тело/материя,принцип равенства,цикличные/каскадные,имеет аналоги
37,толкование категории,Да,время/ритм,принцип равенства,явные/латентные,аналогичный процесс
38,разработка логической структуры,Нет,время/ритм,принцип сотрудничества,индивидуальные/коллективные,аналогичный процесс
39,классификация аксиомы,Да,пространство,принцип гласности,индивидуальные/коллективные,собственный
40,систематизация принципа,Нет,время/ритм,принцип сотрудничества,цикличные/каскадные,имеет аналоги
41,обоснование логической структуры,Нет,институты,принцип гуманизма,необходимые/возможные,аналогичный процесс
42,анализ категориального аппарата,Да,время/ритм,принцип транспарентности,индивидуальные/коллективные,имеет аналоги
43,критику принципа,Да,содержание,принцип эффективности,эндогенные/экзогенные,собственный
44,систематизация логической структуры,Да,структура,принцип гласности,цикличные/каскадные,уникальный
45,применение категориального аппарата,Да,символы,принцип законности,явные/латентные,уникальный
46,систематизация правовой нормы,Условно,технология/инфраструктура,принцип равенства,институциональные/неформальные,имеет аналоги
47,формулирование термина,Условно,время/ритм,принцип гласности,дискретные/континуальные,без аналогов
48,анализ принципа,Условно,символы,принцип сотрудничества,дискретные/континуальные,гибридный
49,сравнение правовой нормы,Нет,символы,принцип пропорциональности,явные/латентные,гибридный
50,обоснование правовой концепции,Нет,технология/инфраструктура,принцип гуманизма,институциональные/неформальные,аналогичный процесс
