№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,распознавание лиц,Нет,тело/материя,законы диффузии,возможные; институциональные,Схожие процессы существуют
2,подавление импульсов— модуляция,Условно,тело/материя,принцип конкурентного ингибирования,латентные; явные,Уникальный процесс
3,обучение подкреплением— модуляция,Условно,тело/материя,законы электрофизиологии,континуальные; необходимые; экзогенные,Аналоги в других системах
4,когнитивная гибкость— активация,Да,дискурс,правило специфичности,возможные; необходимые,Уникальный процесс
5,абстракция— нарушение,Да,символы,правило специфичности,индивидуальные; континуальные,Аналоги в других системах
6,решение задач— модуляция,Условно,отношения,закон химической кинетики,мгновенные; каскадные; институциональные,Схожие процессы существуют
7,интероцепция— модуляция,Нет,идентичность/границы,законы электрофизиологии,институциональные; мгновенные; цикличные,Схожие процессы существуют
8,музыкальное восприятие— нарушение,Нет,значения,принцип приспособления,каскадные; неформальные; латентные,Уникальный процесс
9,самосознание— ингибиция,Нет,тело/материя,доктрина нейрона,экзогенные; континуальные,Уникальный процесс
10,распознавание лиц— нарушение,Да,отношения,закон химической кинетики,латентные; индивидуальные; постепенные,Схожие процессы существуют
11,решение задач— ингибиция,Условно,институты,принцип приспособления,постепенные; каскадные; цикличные; латентные,Схожие процессы существуют
12,обучение подкреплением— ингибиция,Нет,содержание,эвристика обратной связи,институциональные; каскадные; постепенные,Уникальный процесс
13,генерация внутренних моделей— регуляция,Нет,нормы,правило специфичности,необходимые; мгновенные,Аналоги в других системах
14,самосознание— модуляция,Нет,дискурс,эвристика обратной связи,индивидуальные; постепенные; неформальные,Схожие процессы существуют
15,кодирование последовательностей— нарушение,Нет,пространство,эвристика прогнозирования,индивидуальные; континуальные; постепенные; явные,Аналоги в других системах
16,теория разума— регуляция,Да,структура,законы диффузии,цикличные; институциональные,Аналоги в других системах
17,интероцепция,Нет,идентичность/границы,гомеостаз,каскадные; коллективные; необходимые,Схожие процессы существуют
18,ментальная навигация— модуляция,Условно,время/ритм,принцип конкурентного ингибирования,латентные; цикличные; каскадные,Аналоги в других системах
19,социальное познание— ингибиция,Нет,время/ритм,принцип Хебба,возможные; неформальные; постепенные; дискретные,Схожие процессы существуют
20,ментальная навигация— нарушение,Нет,технология/инфраструктура,принцип Хебба,каскадные; мгновенные; постепенные,Уникальный процесс
21,селекция внимания— модуляция,Да,значения,принцип минимальной энергии,возможные; постепенные; экзогенные; каскадные,Схожие процессы существуют
22,теория разума— ингибиция,Нет,время/ритм,законы электрофизиологии,индивидуальные; явные; каскадные; возможные,Аналоги в других системах
23,теория разума— модуляция,Условно,идентичность/границы,гомеостаз,возможные; неформальные; каскадные; коллективные,Схожие процессы существуют
24,консолидация памяти— активация,Условно,память/наследие,эвристика прогнозирования,постепенные; явные,Аналоги в других системах
25,одометриа у животных— регуляция,Условно,функция,принцип Хебба,институциональные; мгновенные; дискретные; возможные,Схожие процессы существуют
26,принятие решения— регуляция,Да,значения,эвристика прогнозирования,дискретные; каскадные; институциональные,Схожие процессы существуют
27,математическое мышление— регуляция,Да,поведение,эвристика прогнозирования,латентные; дискретные; явные,Схожие процессы существуют
28,интерпретация сенсорного шума,Да,институты,законы электрофизиологии,мгновенные; эндогенные; институциональные,Аналоги в других системах
29,поддержание цели,Нет,содержание,эвристика прогнозирования,коллективные; индивидуальные; латентные; дискретные,Аналоги в других системах
30,гипнотическая суггестия,Условно,пространство,доктрина нейрона,явные; эндогенные,Аналоги в других системах
31,категоризация— нарушение,Нет,структура,принцип минимальной энергии,возможные; необходимые; каскадные; мгновенные,Схожие процессы существуют
32,метапознание— регуляция,Да,функция,эвристика стохастического резонанса,неформальные; индивидуальные; каскадные; необходимые,Схожие процессы существуют
33,гипнотическая суггестия— регуляция,Нет,содержание,принцип пластичности,неформальные; каскадные; цикличные,Уникальный процесс
34,абстракция— регуляция,Нет,содержание,принцип приспособления,эндогенные; возможные,Уникальный процесс
35,концептуальное обобщение— регуляция,Нет,память/наследие,принцип пластичности,возможные; неформальные; индивидуальные; каскадные,Аналоги в других системах
36,обратное подавление памяти— модуляция,Нет,дискурс,правило специфичности,латентные; необходимые; возможные,Схожие процессы существуют
37,обратное подавление памяти— нарушение,Нет,идентичность/границы,доктрина нейрона,каскадные; цикличные; необходимые,Уникальный процесс
38,решение задач— регуляция,Да,технология/инфраструктура,принцип минимальной энергии,дискретные; латентные; эндогенные; возможные,Аналоги в других системах
39,обработка обмана— ингибиция,Да,структура,эвристика стохастического резонанса,континуальные; необходимые; цикличные,Схожие процессы существуют
40,теория разума— активация,Нет,структура,принцип конкурентного ингибирования,институциональные; континуальные; индивидуальные,Аналоги в других системах
41,селекция внимания— ингибиция,Условно,нормы,законы диффузии,возможные; эндогенные; континуальные,Уникальный процесс
42,эмоциональная регуляция— регуляция,Да,значения,эвристика прогнозирования,явные; возможные; мгновенные; эндогенные,Схожие процессы существуют
43,селекция внимания— регуляция,Условно,идентичность/границы,принцип пластичности,цикличные; неформальные; необходимые; коллективные,Уникальный процесс
44,регуляция ожиданий— модуляция,Условно,структура,эвристика обратной связи,латентные; неформальные; постепенные,Уникальный процесс
45,нарративная интеграция— нарушение,Нет,технология/инфраструктура,принцип пластичности,коллективные; дискретные,Уникальный процесс
46,абстракция— ингибиция,Да,структура,правило специфичности,индивидуальные; каскадные,Уникальный процесс
47,извлечение памяти— регуляция,Да,функция,принцип Хебба,мгновенные; неформальные,Аналоги в других системах
48,извлечение памяти,Условно,значения,принцип минимальной энергии,дискретные; необходимые,Аналоги в других системах
49,нарративная интеграция,Условно,состояние,правило специфичности,цикличные; латентные,Аналоги в других системах
50,переключение внимания— регуляция,Нет,экономика/обмен,принцип пластичности,каскадные; дискретные; латентные; постепенные,Уникальный процесс
51,моделирование будущего— нарушение,Условно,память/наследие,принцип приспособления,каскадные; явные,Схожие процессы существуют
52,моделирование будущего— регуляция,Нет,институты,закон сохранения энергии,цикличные; каскадные; необходимые; возможные,Уникальный процесс
53,категоризация— активация,Условно,тело/материя,законы электрофизиологии,каскадные; возможные,Уникальный процесс
54,метапознание— активация,Да,экономика/обмен,принцип пластичности,мгновенные; необходимые,Уникальный процесс
55,когнитивная гибкость,Условно,идентичность/границы,гомеостаз,эндогенные; латентные,Аналоги в других системах
56,эмпатия— регуляция,Нет,значения,правило специфичности,латентные; экзогенные; институциональные; необходимые,Схожие процессы существуют
57,обработка обмана,Условно,время/ритм,принцип минимальной энергии,эндогенные; коллективные,Схожие процессы существуют
58,интероцепция— нарушение,Да,тело/материя,законы электрофизиологии,коллективные; цикличные; каскадные; возможные,Уникальный процесс
