№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,секреция паратиреоидного гормона— нарушение,Условно,память/наследие,законы электрофизиологии,возможные; мгновенные,Уникальный процесс
2,секреция кальцитонина— ингибиция,Условно,экономика/обмен,эвристика стохастического резонанса,экзогенные; эндогенные,Аналоги в других системах
3,секреция инсулина— активация,Условно,технология/инфраструктура,принцип приспособления,континуальные; эндогенные; дискретные,Аналоги в других системах
4,периовуляторный всплеск гормонов— активация,Да,функция,законы диффузии,индивидуальные; латентные,Уникальный процесс
5,секреция кортизола— регуляция,Условно,отношения,принцип конкурентного ингибирования,коллективные; экзогенные,Аналоги в других системах
6,секреция тестостерона— нарушение,Нет,символы,принцип Хебба,институциональные; неформальные; каскадные,Аналоги в других системах
7,секреция прогестерона— ингибиция,Условно,структура,принцип конкурентного ингибирования,неформальные; институциональные; индивидуальные; возможные,Схожие процессы существуют
8,секреция меланоцит-стимулирующего гормона— регуляция,Да,значения,правило специфичности,явные; латентные,Уникальный процесс
9,обратная связь гипоталамо-гипофизарной оси— активация,Да,состояние,законы электрофизиологии,мгновенные; постепенные; цикличные,Уникальный процесс
10,секреция андрогенов— ингибиция,Да,дискурс,закон химической кинетики,континуальные; институциональные; индивидуальные,Уникальный процесс
11,секреция пролактина— ингибиция,Нет,значения,эвристика прогнозирования,возможные; индивидуальные; мгновенные,Аналоги в других системах
12,секреция кальцитонина,Условно,идентичность/границы,доктрина нейрона,латентные; институциональные; необходимые; цикличные,Уникальный процесс
13,секреция прогестерона— модуляция,Условно,содержание,гомеостаз,постепенные; институциональные,Уникальный процесс
14,секреция прогестерона— нарушение,Нет,значения,принцип Хебба,эндогенные; континуальные; институциональные; постепенные,Уникальный процесс
15,секреция тиреотропин-рилизинг гормона— нарушение,Условно,технология/инфраструктура,принцип пластичности,возможные; необходимые; индивидуальные; латентные,Аналоги в других системах
16,регуляция осмотического давления— нарушение,Условно,нормы,эвристика прогнозирования,дискретные; явные,Схожие процессы существуют
17,высвобождение АКТГ— модуляция,Да,структура,принцип минимальной энергии,постепенные; индивидуальные; возможные,Схожие процессы существуют
18,выброс окситоцина— нарушение,Условно,институты,принцип приспособления,эндогенные; экзогенные; латентные; континуальные,Схожие процессы существуют
19,периовуляторный всплеск гормонов— нарушение,Нет,память/наследие,гомеостаз,неформальные; постепенные; каскадные,Уникальный процесс
20,секреция меланоцит-стимулирующего гормона— нарушение,Нет,экономика/обмен,эвристика прогнозирования,каскадные; латентные; мгновенные,Уникальный процесс
21,антидиуретический ответ— нарушение,Да,нормы,законы электрофизиологии,институциональные; постепенные; цикличные,Схожие процессы существуют
22,регуляция осмотического давления— активация,Нет,символы,принцип приспособления,континуальные; возможные,Аналоги в других системах
23,секреция гормонов надпочечников— активация,Нет,отношения,правило специфичности,континуальные; экзогенные; возможные; постепенные,Аналоги в других системах
24,секреция инсулина— модуляция,Да,значения,принцип пластичности,экзогенные; латентные; цикличные; индивидуальные,Уникальный процесс
25,секреция глюкокортикоидов— ингибиция,Условно,память/наследие,законы электрофизиологии,постепенные; необходимые; дискретные; эндогенные,Аналоги в других системах
26,секреция хорионического гонадотропина— ингибиция,Условно,структура,принцип приспособления,коллективные; дискретные,Аналоги в других системах
27,гормональный всплеск пубертата— ингибиция,Да,состояние,гомеостаз,коллективные; латентные; цикличные,Аналоги в других системах
28,секреция кортизола,Нет,экономика/обмен,принцип приспособления,континуальные; цикличные,Уникальный процесс
29,секреция ТТГ— модуляция,Условно,состояние,принцип пластичности,экзогенные; явные,Аналоги в других системах
30,выброс ЛГ и ФСГ— ингибиция,Да,идентичность/границы,закон сохранения энергии,дискретные; неформальные; возможные,Схожие процессы существуют
31,выброс кортикотропин-рилизинг гормона— ингибиция,Нет,время/ритм,правило специфичности,неформальные; эндогенные; индивидуальные,Аналоги в других системах
32,секреция кортизола— активация,Условно,структура,эвристика прогнозирования,необходимые; каскадные; континуальные,Уникальный процесс
33,секреция лептина— модуляция,Условно,время/ритм,принцип конкурентного ингибирования,эндогенные; неформальные,Аналоги в других системах
34,выброс кортикотропин-рилизинг гормона,Условно,время/ритм,закон химической кинетики,неформальные; индивидуальные; институциональные; каскадные,Аналоги в других системах
35,секреция прогестерона— активация,Условно,память/наследие,принцип минимальной энергии,континуальные; латентные; коллективные,Аналоги в других системах
36,секреция эндорфинов— нарушение,Да,поведение,принцип конкурентного ингибирования,индивидуальные; коллективные,Уникальный процесс
37,обратная связь гипоталамо-гипофизарной оси— нарушение,Нет,технология/инфраструктура,принцип минимальной энергии,цикличные; явные; каскадные; неформальные,Аналоги в других системах
38,секреция грелина— модуляция,Условно,символы,правило специфичности,постепенные; латентные,Аналоги в других системах
39,секреция гормона роста,Нет,функция,закон сохранения энергии,латентные; мгновенные; необходимые; институциональные,Аналоги в других системах
40,конверсия Т4 в Т3— ингибиция,Да,пространство,принцип конкурентного ингибирования,мгновенные; латентные; коллективные,Схожие процессы существуют
41,периовуляторный всплеск гормонов— модуляция,Нет,экономика/обмен,закон сохранения энергии,каскадные; эндогенные; экзогенные; континуальные,Уникальный процесс
42,секреция эстрогенов— активация,Да,символы,закон сохранения энергии,коллективные; эндогенные; постепенные; мгновенные,Аналоги в других системах
