№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,переработка клеточных обломков— регуляция,Условно,экономика/обмен,принцип приспособления,дискретные; явные,Уникальный процесс
2,моноцитарная инвазия,Условно,идентичность/границы,закон сохранения энергии,возможные; коллективные,Уникальный процесс
3,отложение амилоида— ингибиция,Нет,структура,эвристика стохастического резонанса,неформальные; дискретные; постепенные; индивидуальные,Уникальный процесс
4,секреция интерлейкинов,Нет,экономика/обмен,принцип приспособления,коллективные; дискретные,Схожие процессы существуют
5,презентация антигенов— модуляция,Условно,содержание,доктрина нейрона,дискретные; эндогенные,Схожие процессы существуют
6,миграция лимфоцитов— нарушение,Условно,дискурс,эвристика стохастического резонанса,индивидуальные; неформальные,Аналоги в других системах
7,медиаторы воспаления,Условно,символы,принцип конкурентного ингибирования,индивидуальные; коллективные; возможные,Уникальный процесс
8,переключение В-клеточного класса— модуляция,Условно,отношения,закон сохранения энергии,индивидуальные; постепенные; мгновенные; явные,Схожие процессы существуют
9,секреция интерферонов— нарушение,Да,поведение,закон химической кинетики,возможные; индивидуальные,Схожие процессы существуют
10,нейроантигенная толерантность— нарушение,Да,идентичность/границы,гомеостаз,институциональные; индивидуальные,Схожие процессы существуют
11,детоксикация патологических белков,Условно,тело/материя,принцип приспособления,неформальные; мгновенные; латентные; индивидуальные,Схожие процессы существуют
12,глиальное ремоделирование— активация,Да,отношения,принцип Хебба,каскадные; цикличные; экзогенные,Уникальный процесс
13,апоптоз инфицированных клеток— нарушение,Да,институты,правило специфичности,явные; экзогенные; постепенные; каскадные,Аналоги в других системах
14,барьерные функции крови-мозга— активация,Да,дискурс,доктрина нейрона,латентные; экзогенные,Аналоги в других системах
15,отложение амилоида— модуляция,Условно,отношения,эвристика прогнозирования,каскадные; латентные,Уникальный процесс
16,секреция интерферонов— ингибиция,Условно,нормы,принцип конкурентного ингибирования,экзогенные; институциональные; неформальные,Схожие процессы существуют
17,выработка хемокинов— модуляция,Условно,дискурс,эвристика прогнозирования,возможные; дискретные,Уникальный процесс
18,хроническое воспаление— ингибиция,Да,структура,доктрина нейрона,каскадные; коллективные; индивидуальные; континуальные,Аналоги в других системах
19,моноцитарная инвазия— регуляция,Нет,память/наследие,эвристика стохастического резонанса,эндогенные; дискретные,Схожие процессы существуют
20,апоптоз инфицированных клеток— активация,Да,институты,закон сохранения энергии,индивидуальные; институциональные,Схожие процессы существуют
21,пролиферация иммунных клеток— активация,Условно,структура,принцип конкурентного ингибирования,коллективные; институциональные; континуальные,Уникальный процесс
22,фагоцитоз— активация,Да,состояние,эвристика стохастического резонанса,экзогенные; институциональные,Схожие процессы существуют
23,нейровоспалительная реакция,Да,институты,эвристика стохастического резонанса,явные; цикличные,Аналоги в других системах
24,ингибирование воспаления— активация,Условно,отношения,правило специфичности,экзогенные; явные,Схожие процессы существуют
25,распознавание антигенов,Да,идентичность/границы,принцип приспособления,явные; эндогенные; экзогенные; латентные,Аналоги в других системах
26,фагоцитоз— ингибиция,Да,память/наследие,законы диффузии,мгновенные; каскадные; возможные,Схожие процессы существуют
