№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,рост аксонов— модуляция,Условно,содержание,закон химической кинетики,неформальные; эндогенные,Схожие процессы существуют
2,демиелинизация— ингибиция,Условно,институты,принцип Хебба,континуальные; цикличные; возможные; экзогенные,Уникальный процесс
3,синаптическая перестройка— ингибиция,Да,тело/материя,эвристика обратной связи,институциональные; возможные,Схожие процессы существуют
4,аксональное прорыв,Условно,дискурс,правило специфичности,неформальные; явные; мгновенные,Схожие процессы существуют
5,восстановление памяти— модуляция,Нет,время/ритм,закон сохранения энергии,эндогенные; дискретные; постепенные; возможные,Аналоги в других системах
6,долговременная депрессия— активация,Нет,идентичность/границы,эвристика обратной связи,коллективные; неформальные,Уникальный процесс
7,синаптическая перестройка— регуляция,Да,время/ритм,доктрина нейрона,коллективные; цикличные; неформальные; каскадные,Уникальный процесс
8,быстрая пластичность— активация,Нет,функция,закон химической кинетики,цикличные; континуальные,Схожие процессы существуют
9,фенотипическая пластичность— ингибиция,Условно,технология/инфраструктура,принцип Хебба,коллективные; экзогенные; индивидуальные,Аналоги в других системах
10,медленная пластичность— активация,Нет,поведение,правило специфичности,коллективные; институциональные; экзогенные; эндогенные,Уникальный процесс
11,перестройка зрительной коры— активация,Да,память/наследие,закон сохранения энергии,латентные; индивидуальные,Схожие процессы существуют
12,контекст-зависимая пластичность— модуляция,Нет,дискурс,закон химической кинетики,неформальные; мгновенные; постепенные; дискретные,Аналоги в других системах
13,перестройка зрительной коры— модуляция,Нет,отношения,принцип минимальной энергии,мгновенные; возможные; институциональные; явные,Схожие процессы существуют
14,гомеостатическая пластичность— регуляция,Нет,экономика/обмен,принцип пластичности,неформальные; эндогенные; каскадные; постепенные,Аналоги в других системах
15,глутаматергическая пластичность— модуляция,Условно,значения,принцип пластичности,коллективные; дискретные,Уникальный процесс
16,формирование новых синапсов,Нет,состояние,принцип Хебба,латентные; континуальные; неформальные,Уникальный процесс
17,габА-ергическая пластичность— ингибиция,Условно,память/наследие,закон сохранения энергии,коллективные; индивидуальные,Схожие процессы существуют
18,реабилитационная пластичность— нарушение,Нет,нормы,доктрина нейрона,латентные; неформальные,Аналоги в других системах
19,реабилитационная пластичность— ингибиция,Нет,экономика/обмен,гомеостаз,мгновенные; эндогенные,Схожие процессы существуют
20,прореживание синапсов,Условно,время/ритм,принцип конкурентного ингибирования,латентные; дискретные; возможные; коллективные,Схожие процессы существуют
