№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,экспансия территории,Нет,содержание,структурно-функциональный подход,мгновенные/постепенные,Аналоги
2,аннексия территории,Условно,отношения,эмпирическая верификация,дискретные/континуальные,Аналоги
3,территориальная уступка,Да,состояние,критическая теория,индивидуальные/коллективные,Аналоги
4,демаркация границы,Нет,функция,поведенческий подход,эндогенные/экзогенные,Уникальный
5,разрешение пограничного спора,Условно,поведение,институционализм,институциональные/неформальные,Аналоги
6,контроль ресурсов,Да,нормы,культурный релятивизм,цикличные/каскадные,Аналоги
7,контроль морских путей,Нет,институты,гегельянская диалектика,явные/латентные,Аналоги
8,контроль узловых точек,Условно,дискурс,онтологический анализ,необходимые/возможные,Уникальный
9,диверсификация торговых маршрутов,Да,символы,герменевтика,мгновенные/постепенные,Аналоги
10,формирование стратегических союзов,Нет,значения,прагматизм,дискретные/континуальные,Аналоги
11,распад союзов,Условно,пространство,феноменология,индивидуальные/коллективные,Аналоги
12,проекция силы,Да,время/ритм,системный анализ,эндогенные/экзогенные,Уникальный
13,создание военной базы,Нет,технология/инфраструктура,стохастическое моделирование,институциональные/неформальные,Аналоги
14,создание буферной зоны,Условно,тело/материя,рациональный выбор,цикличные/каскадные,Аналоги
15,установление сферы влияния,Да,экономика/обмен,структурно-функциональный подход,явные/латентные,Аналоги
16,модернизация флота,Нет,идентичность/границы,эмпирическая верификация,необходимые/возможные,Уникальный
17,контроль ядра (heartland),Условно,память/наследие,критическая теория,мгновенные/постепенные,Аналоги
18,контроль окраин (rimland),Да,структура,поведенческий подход,дискретные/континуальные,Аналоги
19,патрулирование морских путей,Нет,содержание,институционализм,индивидуальные/коллективные,Аналоги
20,строительство трубопровода,Условно,отношения,культурный релятивизм,эндогенные/экзогенные,Уникальный
21,нарушение трубопровода,Да,состояние,гегельянская диалектика,институциональные/неформальные,Аналоги
22,морская блокада,Нет,функция,онтологический анализ,цикличные/каскадные,Аналоги
23,проникновение в воздушное пространство,Условно,поведение,герменевтика,явные/латентные,Аналоги
24,гонка вооружений,Да,нормы,прагматизм,необходимые/возможные,Уникальный
25,контроль вооружений,Нет,институты,феноменология,мгновенные/постепенные,Аналоги
26,региональная интеграция,Условно,дискурс,системный анализ,дискретные/континуальные,Аналоги
27,региональная фрагментация,Да,символы,стохастическое моделирование,индивидуальные/коллективные,Аналоги
28,адаптация к климату,Нет,значения,рациональный выбор,эндогенные/экзогенные,Уникальный
29,управление климатической миграцией,Условно,пространство,структурно-функциональный подход,институциональные/неформальные,Аналоги
30,использование демографического сдвига,Да,время/ритм,эмпирическая верификация,цикличные/каскадные,Аналоги
31,развитие инфраструктурных коридоров,Нет,технология/инфраструктура,критическая теория,явные/латентные,Аналоги
32,строительство порта,Условно,тело/материя,поведенческий подход,необходимые/возможные,Уникальный
33,национализация канала,Да,экономика/обмен,институционализм,мгновенные/постепенные,Аналоги
34,строительство канала,Нет,идентичность/границы,культурный релятивизм,дискретные/континуальные,Аналоги
35,разработка маршрутов шелкового пути,Условно,память/наследие,гегельянская диалектика,индивидуальные/коллективные,Аналоги
36,секьюритизация воды,Да,структура,онтологический анализ,эндогенные/экзогенные,Уникальный
37,переговоры по водным ресурсам,Нет,содержание,герменевтика,институциональные/неформальные,Аналоги
38,балансировка энергетической безопасности,Условно,отношения,прагматизм,цикличные/каскадные,Аналоги
39,стратегическое перераспределение,Да,состояние,феноменология,явные/латентные,Аналоги
40,милитаризация островов,Нет,функция,системный анализ,необходимые/возможные,Уникальный
41,закрытие баз,Условно,поведение,стохастическое моделирование,мгновенные/постепенные,Аналоги
42,развитие логистических узлов,Да,нормы,рациональный выбор,дискретные/континуальные,Аналоги
43,перенаправление потоков,Нет,институты,структурно-функциональный подход,индивидуальные/коллективные,Аналоги
44,геостратегическое позиционирование,Условно,дискурс,эмпирическая верификация,эндогенные/экзогенные,Уникальный
