№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,формирование отношения,Нет,содержание,структурно-функциональный подход,мгновенные/постепенные,Аналоги
2,изменение отношения,Условно,отношения,эмпирическая верификация,дискретные/континуальные,Аналоги
3,формирование мнения,Да,состояние,критическая теория,индивидуальные/коллективные,Аналоги
4,укрепление мнения,Нет,функция,поведенческий подход,эндогенные/экзогенные,Уникальный
5,активация когнитивного уклона,Условно,поведение,институционализм,институциональные/неформальные,Аналоги
6,разрешение когнитивного диссонанса,Да,нормы,культурный релятивизм,цикличные/каскадные,Аналоги
7,эвристическая обработка,Нет,институты,гегельянская диалектика,явные/латентные,Аналоги
8,систематическая обработка,Условно,дискурс,онтологический анализ,необходимые/возможные,Уникальный
9,фузия идентичности,Да,символы,герменевтика,мгновенные/постепенные,Аналоги
10,групповая идентификация,Нет,значения,прагматизм,дискретные/континуальные,Аналоги
11,социальная категоризация,Условно,пространство,феноменология,индивидуальные/коллективные,Аналоги
12,активация стереотипа,Да,время/ритм,системный анализ,эндогенные/экзогенные,Уникальный
13,моральное суждение,Нет,технология/инфраструктура,стохастическое моделирование,институциональные/неформальные,Аналоги
14,активация эмпатии,Условно,тело/материя,рациональный выбор,цикличные/каскадные,Аналоги
15,возбуждение страха,Да,экономика/обмен,структурно-функциональный подход,явные/латентные,Аналоги
16,мобилизация гнева,Нет,идентичность/границы,эмпирическая верификация,необходимые/возможные,Уникальный
17,чувствительность отвращения,Условно,память/наследие,критическая теория,мгновенные/постепенные,Аналоги
18,восприятие угрозы,Да,структура,поведенческий подход,дискретные/континуальные,Аналоги
19,оптимистический уклон,Нет,содержание,институционализм,индивидуальные/коллективные,Аналоги
20,подтверждающий уклон,Условно,отношения,культурный релятивизм,эндогенные/экзогенные,Уникальный
21,мотивированное рассуждение,Да,состояние,гегельянская диалектика,институциональные/неформальные,Аналоги
22,проекция,Нет,функция,онтологический анализ,цикличные/каскадные,Аналоги
23,назначение виновного,Условно,поведение,герменевтика,явные/латентные,Аналоги
24,политическая социализация,Да,нормы,прагматизм,необходимые/возможные,Уникальный
25,социальное обучение,Нет,институты,феноменология,мгновенные/постепенные,Аналоги
26,подчинение,Условно,дискурс,системный анализ,дискретные/континуальные,Аналоги
27,конформизм,Да,символы,стохастическое моделирование,индивидуальные/коллективные,Аналоги
28,убеждение,Нет,значения,рациональный выбор,эндогенные/экзогенные,Уникальный
29,устойчивость к убеждению,Условно,пространство,структурно-функциональный подход,институциональные/неформальные,Аналоги
30,усвоение пропаганды,Да,время/ритм,эмпирическая верификация,цикличные/каскадные,Аналоги
31,распространение слухов,Нет,технология/инфраструктура,критическая теория,явные/латентные,Аналоги
32,коррекция слухов,Условно,тело/материя,поведенческий подход,необходимые/возможные,Уникальный
33,реакция на символические знаки,Да,экономика/обмен,институционализм,мгновенные/постепенные,Аналоги
34,поляризация группы,Нет,идентичность/границы,культурный релятивизм,дискретные/континуальные,Аналоги
35,дифференциация свой-чужой,Условно,память/наследие,гегельянская диалектика,индивидуальные/коллективные,Аналоги
36,когнитивная доступность,Да,структура,онтологический анализ,эндогенные/экзогенные,Уникальный
37,селективная экспозиция,Нет,содержание,герменевтика,институциональные/неформальные,Аналоги
38,селективное восприятие,Условно,отношения,прагматизм,цикличные/каскадные,Аналоги
39,селективное сохранение,Да,состояние,феноменология,явные/латентные,Аналоги
40,справление с информационной перегрузкой,Нет,функция,системный анализ,необходимые/возможные,Уникальный
41,эмоциональная контагия,Условно,поведение,стохастическое моделирование,мгновенные/постепенные,Аналоги
42,обновление эвристик,Да,нормы,рациональный выбор,дискретные/континуальные,Аналоги
43,искажение восприятия,Нет,институты,структурно-функциональный подход,индивидуальные/коллективные,Аналоги
44,когнитивная замена,Условно,дискурс,эмпирическая верификация,эндогенные/экзогенные,Уникальный
45,распознавание ложной информации,Да,символы,критическая теория,институциональные/неформальные,Аналоги
46,формирование политической памяти,Нет,значения,поведенческий подход,цикличные/каскадные,Аналоги
47,конструирование восприятия справедливости,Условно,пространство,институционализм,явные/латентные,Аналоги
48,ассоциативное обучение,Да,время/ритм,культурный релятивизм,необходимые/возможные,Уникальный
